uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,1,2016-08-03T15:00:12.746Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,754,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,24658,touch_object,0,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,2,2016-08-03T15:00:45.838Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,60,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,21351,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,3,2016-08-03T15:01:14.650Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2924,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,13712,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,4,2016-08-03T15:01:38.584Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,186,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,8582,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,5,2016-08-03T15:01:54.635Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,274,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,15671,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,6,2016-08-03T15:02:22.288Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1355,pez_imp,CENTER_RIGHT,boton_imp,CENTER_LEFT,7109,touch_object,0,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,7,2016-08-03T15:02:38.120Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1468,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,29543,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,8,2016-08-03T15:03:16.440Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1447,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,13904,touch_object,0,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,9,2016-08-03T15:03:39.057Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,2585,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,8608,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,10,2016-08-03T15:03:57.541Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,2671,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,11211,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,11,2016-08-03T15:04:18.709Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1250,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,11910,touch_object,0,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,12,2016-08-03T15:04:39.143Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1753,canguro_imp,CENTER_RIGHT,pinguino_imp,CENTER_LEFT,24321,touch_object,0,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,13,2016-08-03T15:05:12.496Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1720,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,8269,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,14,2016-08-03T15:05:29.779Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,599,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,8741,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,15,2016-08-03T15:05:46.431Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,1239,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,6525,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,16,2016-08-03T15:06:01.515Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,1104,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,6359,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,17,2016-08-03T15:06:16.282Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,1079,peludo_imp,CENTER_LEFT,peludo_imp,CENTER_LEFT,13153,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,18,2016-08-03T15:06:37.817Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,1324,accidente_imp,CENTER_RIGHT,accidente_imp,CENTER_RIGHT,3474,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,19,2016-08-03T15:06:49.917Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,1424,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,4853,touch_object,1,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,20,2016-08-03T15:07:16.428Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,2191,rio_imp,CENTER_LEFT,bosque_imp,CENTER_RIGHT,10866,touch_object,0,1
62DCAD9340624806883AD7375C76D036,Unknown,2016-08-03,"",Espanol_Grupo1_imp,537,4,2016-08-03T15:00:11.000Z,2016-08-03T15:16:30.000Z,21,2016-08-03T15:07:36.837Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,2021,rojo_imp,CENTER_LEFT,grande_imp,CENTER_RIGHT,9484,touch_object,0,1
