uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,1,2016-07-22T23:54:40.878Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,349,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,3489,touch_object,0,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,2,2016-07-22T23:54:52.329Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1583,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,1812,touch_object,0,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,3,2016-07-22T23:55:02.997Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,797,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,1896,touch_object,1,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,4,2016-07-22T23:55:13.047Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,365,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,2164,touch_object,0,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,5,2016-07-22T23:55:22.864Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,853,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,3386,touch_object,0,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,6,2016-07-22T23:55:34.381Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,460,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1666,touch_object,1,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,7,2016-07-22T23:55:43.798Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,507,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4260,touch_object,1,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,8,2016-07-22T23:55:55.866Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,531,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,7590,touch_object,1,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,9,2016-07-22T23:56:13.064Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,487,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2054,touch_object,1,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,10,2016-07-22T23:56:23.001Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,388,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,1644,touch_object,1,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,11,2016-07-22T23:56:32.368Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,367,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,4400,touch_object,1,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,12,2016-07-22T23:56:44.418Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,519,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,2398,touch_object,0,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,13,2016-07-22T23:56:54.619Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,403,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,3215,touch_object,1,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,14,2016-07-22T23:57:05.520Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,349,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,3243,touch_object,1,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,15,2016-07-22T23:57:16.404Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1305,canguro_imp,CENTER_RIGHT,pinguino_imp,CENTER_LEFT,3464,touch_object,0,1
64B3AB3B58E1452AAA653D4921C4B831,Unknown,2016-07-22,"",Espanol_Grupo1_imp,628,1,2016-07-22T23:54:39.000Z,2016-07-23T00:03:58.000Z,16,2016-07-22T23:57:28.455Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,464,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,2009,touch_object,1,1
