uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,1,2016-07-22T22:32:13.538Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2737,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,38497,touch_object,1,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,2,2016-07-22T22:33:02.603Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1888,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3276,touch_object,1,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,3,2016-07-22T22:33:15.079Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,864,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,3180,touch_object,0,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,4,2016-07-22T22:33:26.397Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1240,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,3014,touch_object,0,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,5,2016-07-22T22:33:37.932Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1158,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,2766,touch_object,0,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,6,2016-07-22T22:33:49.181Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,993,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,3607,touch_object,1,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,7,2016-07-22T22:34:01.099Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2487,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,7613,touch_object,1,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,8,2016-07-22T22:34:32.311Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,543,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3306,touch_object,1,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,9,2016-07-22T22:34:43.635Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1478,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,5032,touch_object,1,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,10,2016-07-22T22:34:57.435Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1007,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,4653,touch_object,0,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,11,2016-07-22T22:35:10.387Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,1085,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,7576,touch_object,0,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,12,2016-07-22T22:35:26.337Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,650,mariposa_imp,CENTER_RIGHT,tortuga_imp,CENTER_LEFT,2717,touch_object,0,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,13,2016-07-22T22:35:36.971Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,220,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,3227,touch_object,0,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,14,2016-07-22T22:35:47.704Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1856,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,9415,touch_object,1,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,15,2016-07-22T22:36:06.323Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1063,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,5765,touch_object,1,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,16,2016-07-22T22:36:20.457Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,973,inflar_imp,CENTER_LEFT,atajar_imp,CENTER_RIGHT,12111,touch_object,0,1
6D7F3E52123740B48E70A5E6B4167BC5,Unknown,2016-07-22,"",Espanol_Grupo1_imp,627,1,2016-07-22T22:32:11.000Z,2016-07-22T23:50:48.000Z,17,2016-07-22T22:36:40.858Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,595,avion_imp,CENTER_RIGHT,colectivo_imp,CENTER_LEFT,2988,touch_object,0,1
