uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,1,2016-07-19T23:35:52.729Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1302,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,9771,touch_object,0,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,2,2016-07-19T23:36:11.289Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1357,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,14637,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,3,2016-07-19T23:36:34.690Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,429,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3227,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,4,2016-07-19T23:36:45.658Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,791,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,9936,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,5,2016-07-19T23:37:03.709Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,717,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,3105,touch_object,0,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,6,2016-07-19T23:37:14.825Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,698,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,2049,touch_object,0,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,7,2016-07-19T23:37:24.876Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,219,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,964,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,8,2016-07-19T23:37:37.959Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,537,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3934,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,9,2016-07-19T23:37:49.845Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,589,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2760,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,10,2016-07-19T23:38:00.511Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,305,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2653,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,11,2016-07-19T23:38:10.779Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,512,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,3593,touch_object,0,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,12,2016-07-19T23:38:22.196Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,470,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1940,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,13,2016-07-19T23:38:31.913Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1044,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,3588,touch_object,0,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,14,2016-07-19T23:38:43.831Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,805,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,2373,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,15,2016-07-19T23:38:54.315Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1275,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,2567,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,16,2016-07-19T23:39:05.466Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,576,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,2235,touch_object,1,1
7013022595EE41E78BF35A1C15A35B0A,Unknown,2016-07-19,"",Espanol_Grupo1_imp,625,1,2016-07-19T23:35:51.000Z,2016-07-19T23:45:10.000Z,17,2016-07-19T23:39:15.616Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,333,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1899,touch_object,1,1
