uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
779B9A1AB89F4BEE845D176BCB80E4C8,Unknown,2016-07-29,"",Espanol_Grupo1_imp,539,2,2016-07-29T15:59:26.000Z,2016-07-29T16:15:39.000Z,1,2016-07-29T15:59:27.277Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,149,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,26707,touch_object,1,1
779B9A1AB89F4BEE845D176BCB80E4C8,Unknown,2016-07-29,"",Espanol_Grupo1_imp,539,2,2016-07-29T15:59:26.000Z,2016-07-29T16:15:39.000Z,2,2016-07-29T16:00:01.843Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,12864,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,24070,touch_object,1,1
779B9A1AB89F4BEE845D176BCB80E4C8,Unknown,2016-07-29,"",Espanol_Grupo1_imp,539,2,2016-07-29T15:59:26.000Z,2016-07-29T16:15:39.000Z,3,2016-07-29T16:00:46.055Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,177,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,57270,touch_object,1,1
779B9A1AB89F4BEE845D176BCB80E4C8,Unknown,2016-07-29,"",Espanol_Grupo1_imp,539,2,2016-07-29T15:59:26.000Z,2016-07-29T16:15:39.000Z,4,2016-07-29T16:01:50.792Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,18125,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,25165,touch_object,0,1
779B9A1AB89F4BEE845D176BCB80E4C8,Unknown,2016-07-29,"",Espanol_Grupo1_imp,539,2,2016-07-29T15:59:26.000Z,2016-07-29T16:15:39.000Z,5,2016-07-29T16:02:41.363Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,3683,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,4769,touch_object,1,1
779B9A1AB89F4BEE845D176BCB80E4C8,Unknown,2016-07-29,"",Espanol_Grupo1_imp,539,2,2016-07-29T15:59:26.000Z,2016-07-29T16:15:39.000Z,6,2016-07-29T16:03:08.953Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,3491,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3276,touch_object,1,1
779B9A1AB89F4BEE845D176BCB80E4C8,Unknown,2016-07-29,"",Espanol_Grupo1_imp,539,2,2016-07-29T15:59:26.000Z,2016-07-29T16:15:39.000Z,7,2016-07-29T16:03:23.130Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,235,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,7122,touch_object,1,1
779B9A1AB89F4BEE845D176BCB80E4C8,Unknown,2016-07-29,"",Espanol_Grupo1_imp,539,2,2016-07-29T15:59:26.000Z,2016-07-29T16:15:39.000Z,8,2016-07-29T16:03:37.782Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,257,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,7865,touch_object,0,1
779B9A1AB89F4BEE845D176BCB80E4C8,Unknown,2016-07-29,"",Espanol_Grupo1_imp,539,2,2016-07-29T15:59:26.000Z,2016-07-29T16:15:39.000Z,9,2016-07-29T16:03:53.216Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,724,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,17368,touch_object,1,1
779B9A1AB89F4BEE845D176BCB80E4C8,Unknown,2016-07-29,"",Espanol_Grupo1_imp,539,2,2016-07-29T15:59:26.000Z,2016-07-29T16:15:39.000Z,10,2016-07-29T16:04:18.601Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,2515,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,5681,touch_object,1,1
