uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,1,2016-08-29T13:17:22.239Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,5423,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,7790,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,2,2016-08-29T13:17:43.750Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1560,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2344,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,3,2016-08-29T13:17:55.046Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1006,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,4872,touch_object,0,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,4,2016-08-29T13:18:08.230Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,815,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,4978,touch_object,0,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,5,2016-08-29T13:18:21.329Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,368,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2362,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,6,2016-08-29T13:18:31.396Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,960,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3886,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,7,2016-08-29T13:18:47.043Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1518,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3267,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,8,2016-08-29T13:18:59.312Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,674,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,4587,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,9,2016-08-29T13:19:11.929Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1825,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,3641,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,10,2016-08-29T13:19:24.746Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,3864,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,2585,touch_object,0,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,11,2016-08-29T13:19:38.512Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,6993,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1620,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,12,2016-08-29T13:19:54.446Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,899,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,2327,touch_object,0,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,13,2016-08-29T13:20:04.979Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,2208,canguro_imp,CENTER_RIGHT,pinguino_imp,CENTER_LEFT,3168,touch_object,0,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,14,2016-08-29T13:20:17.680Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,566,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,2740,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,15,2016-08-29T13:20:28.363Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1534,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,4065,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,16,2016-08-29T13:20:41.312Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,846,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1599,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,17,2016-08-29T13:20:51.112Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,861,caballo_imp,CENTER_LEFT,gato_imp,CENTER_RIGHT,6617,touch_object,0,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,18,2016-08-29T13:21:05.913Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,1070,peludo_imp,CENTER_LEFT,rayado_imp,CENTER_RIGHT,3572,touch_object,0,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,19,2016-08-29T13:21:17.862Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,1165,accidente_imp,CENTER_RIGHT,accidente_imp,CENTER_RIGHT,2027,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,20,2016-08-29T13:21:28.396Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,678,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,2254,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,21,2016-08-29T13:21:53.153Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,872,rio_imp,CENTER_LEFT,rio_imp,CENTER_LEFT,2063,touch_object,1,1
77E7B1FB7F11404D8F6934C5A7D175AB,Unknown,2016-08-29,"",Espanol_Grupo1_imp,861,1,2016-08-29T13:17:19.000Z,2016-08-29T13:27:35.000Z,22,2016-08-29T13:22:03.563Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,1136,rojo_imp,CENTER_LEFT,rojo_imp,CENTER_LEFT,2788,touch_object,1,1
