uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
790DA88EB9E5465F8E27C4EDE5141AD8,Unknown,2016-07-19,"",Espanol_Grupo1_imp,622,1,2016-07-19T22:03:40.000Z,2016-07-19T22:12:58.000Z,1,2016-07-19T22:03:42.027Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1896,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,2623,touch_object,0,1
790DA88EB9E5465F8E27C4EDE5141AD8,Unknown,2016-07-19,"",Espanol_Grupo1_imp,622,1,2016-07-19T22:03:40.000Z,2016-07-19T22:12:58.000Z,2,2016-07-19T22:03:54.244Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2625,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,5485,touch_object,1,1
790DA88EB9E5465F8E27C4EDE5141AD8,Unknown,2016-07-19,"",Espanol_Grupo1_imp,622,1,2016-07-19T22:03:40.000Z,2016-07-19T22:12:58.000Z,3,2016-07-19T22:04:09.706Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,3449,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2811,touch_object,1,1
790DA88EB9E5465F8E27C4EDE5141AD8,Unknown,2016-07-19,"",Espanol_Grupo1_imp,622,1,2016-07-19T22:03:40.000Z,2016-07-19T22:12:58.000Z,4,2016-07-19T22:04:23.307Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,311,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,3543,touch_object,0,1
790DA88EB9E5465F8E27C4EDE5141AD8,Unknown,2016-07-19,"",Espanol_Grupo1_imp,622,1,2016-07-19T22:03:40.000Z,2016-07-19T22:12:58.000Z,5,2016-07-19T22:04:34.440Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1505,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,3115,touch_object,0,1
790DA88EB9E5465F8E27C4EDE5141AD8,Unknown,2016-07-19,"",Espanol_Grupo1_imp,622,1,2016-07-19T22:03:40.000Z,2016-07-19T22:12:58.000Z,6,2016-07-19T22:04:46.340Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,5087,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4047,touch_object,1,1
790DA88EB9E5465F8E27C4EDE5141AD8,Unknown,2016-07-19,"",Espanol_Grupo1_imp,622,1,2016-07-19T22:03:40.000Z,2016-07-19T22:12:58.000Z,7,2016-07-19T22:05:02.759Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,604,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,4658,touch_object,1,1
790DA88EB9E5465F8E27C4EDE5141AD8,Unknown,2016-07-19,"",Espanol_Grupo1_imp,622,1,2016-07-19T22:03:40.000Z,2016-07-19T22:12:58.000Z,8,2016-07-19T22:05:22.555Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,3252,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2635,touch_object,1,1
790DA88EB9E5465F8E27C4EDE5141AD8,Unknown,2016-07-19,"",Espanol_Grupo1_imp,622,1,2016-07-19T22:03:40.000Z,2016-07-19T22:12:58.000Z,9,2016-07-19T22:05:35.860Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,975,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2116,touch_object,1,1
790DA88EB9E5465F8E27C4EDE5141AD8,Unknown,2016-07-19,"",Espanol_Grupo1_imp,622,1,2016-07-19T22:03:40.000Z,2016-07-19T22:12:58.000Z,10,2016-07-19T22:05:46.244Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,822,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,3038,touch_object,0,1
