uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,1,2016-08-10T22:45:40.418Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,7682,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,22374,touch_object,1,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,2,2016-08-10T22:46:18.256Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,442,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,6244,touch_object,1,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,3,2016-08-10T22:46:32.303Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,56,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,1241,touch_object,0,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,4,2016-08-10T22:46:40.942Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,24,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,2560,touch_object,0,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,5,2016-08-10T22:46:50.818Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,148,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,1084,touch_object,0,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,6,2016-08-10T22:46:59.335Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,617,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,1617,touch_object,1,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,7,2016-08-10T22:47:08.839Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,51,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,1068,touch_object,1,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,8,2016-08-10T22:47:21.040Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,102,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1699,touch_object,1,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,9,2016-08-10T22:47:30.227Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,28,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,1032,touch_object,1,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,10,2016-08-10T22:47:38.605Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,282,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,1861,touch_object,0,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,11,2016-08-10T22:47:48.071Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,808,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,3303,touch_object,0,1
89D929A2810E44469EC950CD54319C64,Unknown,2016-08-10,"",Espanol_Grupo1_imp,492,7,2016-08-10T22:45:39.000Z,,12,2016-08-10T22:47:59.488Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1863,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2446,touch_object,1,1
