uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,1,2016-07-23T00:55:20.476Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2052,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,19284,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,2,2016-07-23T00:55:49.553Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,677,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,4778,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,3,2016-07-23T00:56:02.297Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,854,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,6560,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,4,2016-07-23T00:56:16.998Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1014,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,7469,touch_object,0,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,5,2016-07-23T00:56:32.750Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1645,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,10691,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,6,2016-07-23T00:57:05.897Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,331,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,4360,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,7,2016-07-23T00:57:17.970Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1751,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,8799,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,8,2016-07-23T00:57:35.818Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1115,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,12232,touch_object,0,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,9,2016-07-23T00:57:56.437Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,4874,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,9001,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,10,2016-07-23T00:58:17.621Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,810,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,3928,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,11,2016-07-23T00:58:29.673Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,912,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,5381,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,12,2016-07-23T00:58:43.256Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1809,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,5271,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,13,2016-07-23T00:58:57.656Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,3713,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,6220,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,14,2016-07-23T00:59:14.907Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,662,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,4744,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,15,2016-07-23T00:59:27.642Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,1745,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,4822,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,16,2016-07-23T00:59:41.493Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,746,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,3923,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,17,2016-07-23T00:59:53.460Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,1386,peludo_imp,CENTER_LEFT,peludo_imp,CENTER_LEFT,7751,touch_object,1,1
8BD1E81E5F084A95B5DD85D0900EF07D,Unknown,2016-07-23,"",Espanol_Grupo1_imp,629,1,2016-07-23T00:55:18.000Z,2016-07-23T01:07:47.000Z,18,2016-07-23T01:00:09.894Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,1736,accidente_imp,CENTER_RIGHT,accidente_imp,CENTER_RIGHT,6986,touch_object,1,1
