uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,1,2016-07-29T22:57:26.953Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,521,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,5661,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,2,2016-07-29T22:57:40.954Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2065,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,885,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,3,2016-07-29T22:57:51.199Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1390,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,1173,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,4,2016-07-29T22:58:01.082Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1025,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,1199,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,5,2016-07-29T22:58:10.599Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,55,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,965,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,6,2016-07-29T22:58:18.900Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,554,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,1288,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,7,2016-07-29T22:58:28.017Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,485,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,540,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,8,2016-07-29T22:58:36.334Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1218,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,1054,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,9,2016-07-29T22:58:45.901Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,455,correr_imp,CENTER_RIGHT,sonreir_imp,CENTER_LEFT,1681,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,10,2016-07-29T22:58:55.333Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,34,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,3568,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,11,2016-07-29T22:59:06.236Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,560,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,5419,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,12,2016-07-29T22:59:22.226Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,820,boton_imp,CENTER_LEFT,boton_imp,CENTER_LEFT,1546,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,13,2016-07-29T22:59:31.954Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,260,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,2278,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,14,2016-07-29T22:59:41.804Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1051,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,1637,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,15,2016-07-29T22:59:51.788Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,615,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,1627,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,16,2016-07-29T23:00:01.323Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,974,tortuga_imp,CENTER_LEFT,tortuga_imp,CENTER_LEFT,2458,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,17,2016-07-29T23:00:12.072Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,5879,redondo_imp,CENTER_RIGHT,redondo_imp,CENTER_RIGHT,1305,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,18,2016-07-29T23:00:26.557Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,448,pinguino_imp,CENTER_LEFT,canguro_imp,CENTER_RIGHT,1433,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,19,2016-07-29T23:00:35.725Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,345,lleno_imp,CENTER_LEFT,alto_imp,CENTER_RIGHT,2932,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,20,2016-07-29T23:00:46.274Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1137,atajar_imp,CENTER_RIGHT,inflar_imp,CENTER_LEFT,3246,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,21,2016-07-29T23:00:57.959Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,1491,colectivo_imp,CENTER_LEFT,avion_imp,CENTER_RIGHT,1978,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,22,2016-07-29T23:01:08.709Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,8089,gato_imp,CENTER_RIGHT,gato_imp,CENTER_RIGHT,1998,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,23,2016-07-29T23:01:26.110Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,429,rayado_imp,CENTER_RIGHT,rayado_imp,CENTER_RIGHT,2697,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,24,2016-07-29T23:01:36.544Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,391,helicoptero_imp,CENTER_LEFT,accidente_imp,CENTER_RIGHT,1662,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,25,2016-07-29T23:01:45.878Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,178,casa_imp,CENTER_LEFT,comida_imp,CENTER_RIGHT,2013,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,26,2016-07-29T23:01:57.490Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,404,bosque_imp,CENTER_RIGHT,bosque_imp,CENTER_RIGHT,1627,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,27,2016-07-29T23:02:06.896Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,1119,grande_imp,CENTER_RIGHT,grande_imp,CENTER_RIGHT,1520,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,28,2016-07-29T23:02:16.829Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,1865,tijera_imp,CENTER_LEFT,bicicleta_imp,CENTER_RIGHT,585,touch_object,0,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,29,2016-07-29T23:02:26.546Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,1180,atar_imp,CENTER_LEFT,atar_imp,CENTER_LEFT,667,touch_object,1,1
8E3ADC8D01494053B97D2C32807C4C2A,Unknown,2016-07-29,"",Espanol_Grupo2_imp,540,3,2016-07-29T22:57:24.000Z,2016-07-29T23:07:20.000Z,30,2016-07-29T23:02:35.714Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,8479,tocar_imp,CENTER_RIGHT,tocar_imp,CENTER_RIGHT,1429,touch_object,1,1
