uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
937683DF8C5D41E48069C9300569644F,Unknown,2016-06-22,"",Espanol_Grupo1_imp,760,1,2016-06-22T21:09:43.000Z,,1,2016-06-22T21:09:45.395Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1971,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,4481,touch_object,0,1
937683DF8C5D41E48069C9300569644F,Unknown,2016-06-22,"",Espanol_Grupo1_imp,760,1,2016-06-22T21:09:43.000Z,,2,2016-06-22T21:09:59.565Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2384,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,6228,touch_object,1,1
937683DF8C5D41E48069C9300569644F,Unknown,2016-06-22,"",Espanol_Grupo1_imp,760,1,2016-06-22T21:09:43.000Z,,3,2016-06-22T21:10:15.526Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,3762,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,917,touch_object,1,1
937683DF8C5D41E48069C9300569644F,Unknown,2016-06-22,"",Espanol_Grupo1_imp,760,1,2016-06-22T21:09:43.000Z,,4,2016-06-22T21:10:27.509Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,6529,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,9624,touch_object,1,1
937683DF8C5D41E48069C9300569644F,Unknown,2016-06-22,"",Espanol_Grupo1_imp,760,1,2016-06-22T21:09:43.000Z,,5,2016-06-22T21:10:50.994Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,966,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,7725,touch_object,0,1
937683DF8C5D41E48069C9300569644F,Unknown,2016-06-22,"",Espanol_Grupo1_imp,760,1,2016-06-22T21:09:43.000Z,,6,2016-06-22T21:11:06.981Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,5032,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,4152,touch_object,1,1
937683DF8C5D41E48069C9300569644F,Unknown,2016-06-22,"",Espanol_Grupo1_imp,760,1,2016-06-22T21:09:43.000Z,,7,2016-06-22T21:11:40.534Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,939,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,14870,touch_object,1,1
937683DF8C5D41E48069C9300569644F,Unknown,2016-06-22,"",Espanol_Grupo1_imp,760,1,2016-06-22T21:09:43.000Z,,8,2016-06-22T21:12:03.715Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1450,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,13653,touch_object,1,1
937683DF8C5D41E48069C9300569644F,Unknown,2016-06-22,"",Espanol_Grupo1_imp,760,1,2016-06-22T21:09:43.000Z,,9,2016-06-22T21:12:26.100Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1804,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,17377,touch_object,1,1
937683DF8C5D41E48069C9300569644F,Unknown,2016-06-22,"",Espanol_Grupo1_imp,760,1,2016-06-22T21:09:43.000Z,,10,2016-06-22T21:12:52.585Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,3705,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,6338,touch_object,0,1
