uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
CBDE60018C784B7DB28345CB0D8526D3,Unknown,2016-09-28,"",Espanol_Grupo1_imp,639,1,2016-09-28T02:58:13.000Z,2016-09-28T03:09:31.000Z,1,2016-09-28T02:58:15.925Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1177,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,3841,touch_object,1,1
CBDE60018C784B7DB28345CB0D8526D3,Unknown,2016-09-28,"",Espanol_Grupo1_imp,639,1,2016-09-28T02:58:13.000Z,2016-09-28T03:09:31.000Z,2,2016-09-28T02:58:28.934Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,850,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,4722,touch_object,1,1
CBDE60018C784B7DB28345CB0D8526D3,Unknown,2016-09-28,"",Espanol_Grupo1_imp,639,1,2016-09-28T02:58:13.000Z,2016-09-28T03:09:31.000Z,3,2016-09-28T02:58:41.811Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1464,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4433,touch_object,1,1
CBDE60018C784B7DB28345CB0D8526D3,Unknown,2016-09-28,"",Espanol_Grupo1_imp,639,1,2016-09-28T02:58:13.000Z,2016-09-28T03:09:31.000Z,4,2016-09-28T02:58:55.013Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,346,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,5434,touch_object,0,1
CBDE60018C784B7DB28345CB0D8526D3,Unknown,2016-09-28,"",Espanol_Grupo1_imp,639,1,2016-09-28T02:58:13.000Z,2016-09-28T03:09:31.000Z,5,2016-09-28T02:59:08.064Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,726,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,4290,touch_object,1,1
CBDE60018C784B7DB28345CB0D8526D3,Unknown,2016-09-28,"",Espanol_Grupo1_imp,639,1,2016-09-28T02:58:13.000Z,2016-09-28T03:09:31.000Z,6,2016-09-28T02:59:29.818Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,403,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3033,touch_object,1,1
CBDE60018C784B7DB28345CB0D8526D3,Unknown,2016-09-28,"",Espanol_Grupo1_imp,639,1,2016-09-28T02:58:13.000Z,2016-09-28T03:09:31.000Z,7,2016-09-28T02:59:40.665Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1024,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,4418,touch_object,1,1
CBDE60018C784B7DB28345CB0D8526D3,Unknown,2016-09-28,"",Espanol_Grupo1_imp,639,1,2016-09-28T02:58:13.000Z,2016-09-28T03:09:31.000Z,8,2016-09-28T02:59:53.449Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1508,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2747,touch_object,1,1
CBDE60018C784B7DB28345CB0D8526D3,Unknown,2016-09-28,"",Espanol_Grupo1_imp,639,1,2016-09-28T02:58:13.000Z,2016-09-28T03:09:31.000Z,9,2016-09-28T03:00:04.999Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,3156,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,3874,touch_object,0,1
CBDE60018C784B7DB28345CB0D8526D3,Unknown,2016-09-28,"",Espanol_Grupo1_imp,639,1,2016-09-28T02:58:13.000Z,2016-09-28T03:09:31.000Z,10,2016-09-28T03:00:19.318Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,771,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2776,touch_object,1,1
