uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
D72C8C4560754ED9B7E37E8BFAA65A77,Unknown,2016-09-21,"",Espanol_Grupo1_imp,638,2,2016-09-21T22:40:12.000Z,2016-09-21T22:50:50.000Z,1,2016-09-21T22:40:15.466Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1726,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,3471,touch_object,0,1
D72C8C4560754ED9B7E37E8BFAA65A77,Unknown,2016-09-21,"",Espanol_Grupo1_imp,638,2,2016-09-21T22:40:12.000Z,2016-09-21T22:50:50.000Z,2,2016-09-21T22:40:28.224Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,204,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,1512,touch_object,0,1
D72C8C4560754ED9B7E37E8BFAA65A77,Unknown,2016-09-21,"",Espanol_Grupo1_imp,638,2,2016-09-21T22:40:12.000Z,2016-09-21T22:50:50.000Z,3,2016-09-21T22:40:37.218Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,219,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,3251,touch_object,1,1
D72C8C4560754ED9B7E37E8BFAA65A77,Unknown,2016-09-21,"",Espanol_Grupo1_imp,638,2,2016-09-21T22:40:12.000Z,2016-09-21T22:50:50.000Z,4,2016-09-21T22:40:48.036Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2913,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,3069,touch_object,0,1
D72C8C4560754ED9B7E37E8BFAA65A77,Unknown,2016-09-21,"",Espanol_Grupo1_imp,638,2,2016-09-21T22:40:12.000Z,2016-09-21T22:50:50.000Z,5,2016-09-21T22:41:01.286Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,183,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,5945,touch_object,1,1
D72C8C4560754ED9B7E37E8BFAA65A77,Unknown,2016-09-21,"",Espanol_Grupo1_imp,638,2,2016-09-21T22:40:12.000Z,2016-09-21T22:50:50.000Z,6,2016-09-21T22:41:14.687Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,699,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,8858,touch_object,0,1
D72C8C4560754ED9B7E37E8BFAA65A77,Unknown,2016-09-21,"",Espanol_Grupo1_imp,638,2,2016-09-21T22:40:12.000Z,2016-09-21T22:50:50.000Z,7,2016-09-21T22:41:31.554Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,730,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,16841,touch_object,1,1
D72C8C4560754ED9B7E37E8BFAA65A77,Unknown,2016-09-21,"",Espanol_Grupo1_imp,638,2,2016-09-21T22:40:12.000Z,2016-09-21T22:50:50.000Z,8,2016-09-21T22:41:56.439Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,278,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,7606,touch_object,1,1
D72C8C4560754ED9B7E37E8BFAA65A77,Unknown,2016-09-21,"",Espanol_Grupo1_imp,638,2,2016-09-21T22:40:12.000Z,2016-09-21T22:50:50.000Z,9,2016-09-21T22:42:21.800Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,269,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,4998,touch_object,1,1
D72C8C4560754ED9B7E37E8BFAA65A77,Unknown,2016-09-21,"",Espanol_Grupo1_imp,638,2,2016-09-21T22:40:12.000Z,2016-09-21T22:50:50.000Z,10,2016-09-21T22:42:34.441Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1209,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,7014,touch_object,1,1
