uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
07695454F949436F89199D692D13010F,Unknown,2016-07-22,"",Espanol_Grupo1_imp,626,1,2016-07-22T05:01:54.000Z,2016-07-22T05:10:40.000Z,1,2016-07-22T05:01:56.363Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1860,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,6095,touch_object,1,1
07695454F949436F89199D692D13010F,Unknown,2016-07-22,"",Espanol_Grupo1_imp,626,1,2016-07-22T05:01:54.000Z,2016-07-22T05:10:40.000Z,2,2016-07-22T05:02:12.075Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2037,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1593,touch_object,1,1
07695454F949436F89199D692D13010F,Unknown,2016-07-22,"",Espanol_Grupo1_imp,626,1,2016-07-22T05:01:54.000Z,2016-07-22T05:10:40.000Z,3,2016-07-22T05:02:23.036Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2056,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2350,touch_object,1,1
07695454F949436F89199D692D13010F,Unknown,2016-07-22,"",Espanol_Grupo1_imp,626,1,2016-07-22T05:01:54.000Z,2016-07-22T05:10:40.000Z,4,2016-07-22T05:02:34.771Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2444,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,7298,touch_object,0,1
07695454F949436F89199D692D13010F,Unknown,2016-07-22,"",Espanol_Grupo1_imp,626,1,2016-07-22T05:01:54.000Z,2016-07-22T05:10:40.000Z,5,2016-07-22T05:02:51.805Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,668,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,1593,touch_object,1,1
07695454F949436F89199D692D13010F,Unknown,2016-07-22,"",Espanol_Grupo1_imp,626,1,2016-07-22T05:01:54.000Z,2016-07-22T05:10:40.000Z,6,2016-07-22T05:03:05.877Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,572,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1522,touch_object,1,1
07695454F949436F89199D692D13010F,Unknown,2016-07-22,"",Espanol_Grupo1_imp,626,1,2016-07-22T05:01:54.000Z,2016-07-22T05:10:40.000Z,7,2016-07-22T05:03:15.355Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,566,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,4021,touch_object,1,1
07695454F949436F89199D692D13010F,Unknown,2016-07-22,"",Espanol_Grupo1_imp,626,1,2016-07-22T05:01:54.000Z,2016-07-22T05:10:40.000Z,8,2016-07-22T05:03:27.274Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,180,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,3702,touch_object,1,1
07695454F949436F89199D692D13010F,Unknown,2016-07-22,"",Espanol_Grupo1_imp,626,1,2016-07-22T05:01:54.000Z,2016-07-22T05:10:40.000Z,9,2016-07-22T05:03:38.457Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,781,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,1793,touch_object,0,1
07695454F949436F89199D692D13010F,Unknown,2016-07-22,"",Espanol_Grupo1_imp,626,1,2016-07-22T05:01:54.000Z,2016-07-22T05:10:40.000Z,10,2016-07-22T05:03:48.308Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,384,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1519,touch_object,1,1
