uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,1,2016-09-15T19:00:23.304Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1635,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,6868,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,2,2016-09-15T19:00:39.520Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,61,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,8862,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,3,2016-09-15T19:00:55.814Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,349,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3027,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,4,2016-09-15T19:01:06.481Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,230,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,7196,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,5,2016-09-15T19:01:21.198Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,676,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,4931,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,6,2016-09-15T19:01:34.082Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,174,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,3343,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,7,2016-09-15T19:01:44.900Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,5845,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,8996,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,8,2016-09-15T19:02:16.525Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1115,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2832,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,9,2016-09-15T19:02:27.901Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,513,clavar_imp,CENTER_RIGHT,barrer_imp,CENTER_LEFT,6255,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,10,2016-09-15T19:02:41.952Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,3102,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,10462,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,11,2016-09-15T19:03:02.804Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,782,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,3312,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,12,2016-09-15T19:03:14.171Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,617,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2094,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,13,2016-09-15T19:03:24.172Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,501,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,2682,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,14,2016-09-15T19:03:34.623Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,2052,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,8114,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,15,2016-09-15T19:03:52.090Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,660,alto_imp,CENTER_RIGHT,lleno_imp,CENTER_LEFT,1957,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,16,2016-09-15T19:04:01.991Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,560,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,2004,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,17,2016-09-15T19:04:11.841Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,1951,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1994,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,18,2016-09-15T19:04:23.075Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,597,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,2592,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,19,2016-09-15T19:04:33.575Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,1810,peludo_imp,CENTER_LEFT,rayado_imp,CENTER_RIGHT,2410,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,20,2016-09-15T19:04:45.093Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,494,accidente_imp,CENTER_RIGHT,helicoptero_imp,CENTER_LEFT,18013,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,21,2016-09-15T19:05:10.878Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,4056,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,2826,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,22,2016-09-15T19:05:28.421Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,741,rio_imp,CENTER_LEFT,bosque_imp,CENTER_RIGHT,2310,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,23,2016-09-15T19:05:38.829Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,1039,rojo_imp,CENTER_LEFT,grande_imp,CENTER_RIGHT,2174,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,24,2016-09-15T19:05:49.330Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,975,bicicleta_imp,CENTER_RIGHT,bicicleta_imp,CENTER_RIGHT,1565,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,25,2016-09-15T19:05:59.180Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,664,pisar_imp,CENTER_RIGHT,pisar_imp,CENTER_RIGHT,8382,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,26,2016-09-15T19:06:15.516Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,1072,romper_imp,CENTER_LEFT,tocar_imp,CENTER_RIGHT,2367,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,27,2016-09-15T19:06:26.232Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,975,hombre_imp,CENTER_LEFT,pato_imp,CENTER_RIGHT,1558,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,28,2016-09-15T19:06:36.049Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,2546,medico_imp,CENTER_RIGHT,grupo_imp,CENTER_LEFT,6249,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,29,2016-09-15T19:06:52.117Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,529,viejo_imp,CENTER_LEFT,descalzo_imp,CENTER_RIGHT,1854,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,30,2016-09-15T19:07:01.767Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,1282,cabeza_imp,CENTER_RIGHT,cabeza_imp,CENTER_RIGHT,3588,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,31,2016-09-15T19:07:13.917Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,439,gorro_imp,CENTER_LEFT,gorro_imp,CENTER_LEFT,1731,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,32,2016-09-15T19:07:23.385Z,0,3,block2,mountain,11,2,rota_imp,,pesada_imp,,,,,,304,rota_imp,CENTER_LEFT,pesada_imp,CENTER_RIGHT,2382,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,33,2016-09-15T19:07:33.336Z,0,3,block2,mountain,12,2,sucia_imp,,limpia_imp,,,,,,823,limpia_imp,CENTER_RIGHT,sucia_imp,CENTER_LEFT,1921,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,34,2016-09-15T19:07:43.352Z,0,3,block2,mountain,13,2,canilla_imp,,vela_imp,,,,,,434,canilla_imp,CENTER_LEFT,canilla_imp,CENTER_LEFT,8794,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,35,2016-09-15T19:07:59.887Z,0,3,block2,mountain,14,2,lapiz_imp,,pantalon_imp,,,,,,543,lapiz_imp,CENTER_LEFT,lapiz_imp,CENTER_LEFT,8164,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,36,2016-09-15T19:08:27.210Z,0,4,block3,desert,1,2,mueble_imp,,bolso_imp,,,,,,244,bolso_imp,CENTER_RIGHT,bolso_imp,CENTER_RIGHT,10726,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,37,2016-09-15T19:08:45.573Z,0,4,block3,desert,2,2,muneca_imp,,mochila_imp,,,,,,1536,mochila_imp,CENTER_RIGHT,mochila_imp,CENTER_RIGHT,2024,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,38,2016-09-15T19:08:56.424Z,0,4,block3,desert,3,2,perro_imp,,nene_imp,,,,,,7253,perro_imp,CENTER_LEFT,perro_imp,CENTER_LEFT,4801,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,39,2016-09-15T19:09:15.774Z,0,4,block3,desert,4,2,patear_imp,,arrancar_imp,,,,,,731,arrancar_imp,CENTER_RIGHT,arrancar_imp,CENTER_RIGHT,8895,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,40,2016-09-15T19:09:32.709Z,0,4,block3,desert,5,2,llorar_imp,,saltar_imp,,,,,,631,saltar_imp,CENTER_RIGHT,saltar_imp,CENTER_RIGHT,6460,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,41,2016-09-15T19:09:47.110Z,0,4,block3,desert,6,2,triste_imp,,contento_imp,,,,,,145,triste_imp,CENTER_LEFT,triste_imp,CENTER_LEFT,2588,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,42,2016-09-15T19:09:57.127Z,0,4,block3,desert,7,2,lampara_imp,,empanada_imp,,,,,,189,lampara_imp,CENTER_LEFT,lampara_imp,CENTER_LEFT,2083,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,43,2016-09-15T19:10:06.710Z,0,4,block3,desert,8,2,jugar_imp,,dormir_imp,,,,,,167,dormir_imp,CENTER_RIGHT,dormir_imp,CENTER_RIGHT,2388,touch_object,1,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,44,2016-09-15T19:10:16.545Z,0,4,block3,desert,9,2,barco_imp,,tren_imp,,,,,,631,barco_imp,CENTER_LEFT,tren_imp,CENTER_RIGHT,1995,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,45,2016-09-15T19:10:26.462Z,0,4,block3,desert,10,2,atrapar_imp,,soplar_imp,,,,,,173,atrapar_imp,CENTER_LEFT,soplar_imp,CENTER_RIGHT,3650,touch_object,0,1
1C106127C7A3457788B8895F3FA45300,Unknown,2016-09-15,"",Espanol_Grupo1_imp,547,1,2016-09-15T19:00:22.000Z,2016-09-15T19:11:23.000Z,46,2016-09-15T19:10:37.596Z,0,4,block3,desert,11,2,mosquito_imp,,loro_imp,,,,,,4760,loro_imp,CENTER_RIGHT,loro_imp,CENTER_RIGHT,5976,touch_object,1,1
