uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,1,2016-09-08T19:25:09.710Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2546,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,46845,touch_object,0,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,2,2016-09-08T19:26:07.013Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,972,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,3265,touch_object,0,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,3,2016-09-08T19:26:18.523Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2581,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,13487,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,4,2016-09-08T19:26:41.941Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1773,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1804,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,5,2016-09-08T19:26:52.809Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,839,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,3888,touch_object,0,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,6,2016-09-08T19:27:04.827Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2637,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4189,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,7,2016-09-08T19:27:18.944Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,539,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,2798,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,8,2016-09-08T19:27:36.346Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,877,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1972,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,9,2016-09-08T19:27:46.529Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1028,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,1713,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,10,2016-09-08T19:27:56.596Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1697,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,1664,touch_object,0,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,11,2016-09-08T19:28:07.247Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,2552,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,1577,touch_object,0,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,12,2016-09-08T19:28:18.647Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,2442,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1564,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,13,2016-09-08T19:28:29.948Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1458,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,1820,touch_object,0,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,14,2016-09-08T19:28:40.499Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,2010,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1560,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,15,2016-09-08T19:28:51.365Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,3157,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,1358,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,16,2016-09-08T19:29:03.183Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1707,inflar_imp,CENTER_LEFT,atajar_imp,CENTER_RIGHT,1694,touch_object,0,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,17,2016-09-08T19:29:13.865Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,2477,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1496,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,18,2016-09-08T19:29:25.151Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,577,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,1403,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,19,2016-09-08T19:29:34.435Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,1027,peludo_imp,CENTER_LEFT,rayado_imp,CENTER_RIGHT,1947,touch_object,0,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,20,2016-09-08T19:29:44.702Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,905,accidente_imp,CENTER_RIGHT,accidente_imp,CENTER_RIGHT,1798,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,21,2016-09-08T19:29:54.703Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,699,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,1341,touch_object,1,1
236F62CE67A24B73832AEBE3A080007B,Unknown,2016-09-08,"",Espanol_Grupo1_imp,10013,1,2016-09-08T19:25:08.000Z,2016-09-08T19:34:51.000Z,22,2016-09-08T19:30:07.210Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,246,rio_imp,CENTER_LEFT,bosque_imp,CENTER_RIGHT,1537,touch_object,0,1
