uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,1,2016-08-31T20:46:14.706Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2123,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,3972,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,2,2016-08-31T20:46:28.522Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,720,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1748,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,3,2016-08-31T20:46:38.271Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,963,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,1970,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,4,2016-08-31T20:46:48.521Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,281,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,2204,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,5,2016-08-31T20:46:59.426Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,610,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1167,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,6,2016-08-31T20:47:08.590Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,271,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,1451,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,7,2016-08-31T20:47:17.624Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,124,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,2125,touch_object,0,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,8,2016-08-31T20:47:27.159Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,2302,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2032,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,9,2016-08-31T20:47:38.775Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,218,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1109,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,10,2016-08-31T20:47:47.409Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,183,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,4037,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,11,2016-08-31T20:47:58.909Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,539,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1408,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,12,2016-08-31T20:48:08.160Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,257,alto_imp,CENTER_RIGHT,lleno_imp,CENTER_LEFT,1348,touch_object,0,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,13,2016-08-31T20:48:17.061Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,254,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,1245,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,14,2016-08-31T20:48:25.844Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,624,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1018,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,15,2016-08-31T20:48:34.795Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,248,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,1141,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,16,2016-08-31T20:48:43.495Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,345,peludo_imp,CENTER_LEFT,peludo_imp,CENTER_LEFT,2323,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,17,2016-08-31T20:48:53.479Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,1206,accidente_imp,CENTER_RIGHT,helicoptero_imp,CENTER_LEFT,10404,touch_object,0,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,18,2016-08-31T20:49:12.381Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,177,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,1515,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,19,2016-08-31T20:49:22.516Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,415,rio_imp,CENTER_LEFT,rio_imp,CENTER_LEFT,1399,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,20,2016-08-31T20:49:31.698Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,274,rojo_imp,CENTER_LEFT,rojo_imp,CENTER_LEFT,1183,touch_object,1,1
27F7693DCB31488F89026C819F7D89A9,Unknown,2016-08-31,"",Espanol_Grupo1_imp,557,1,2016-08-31T20:46:13.000Z,2016-08-31T20:53:42.000Z,21,2016-08-31T20:49:40.449Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,613,bicicleta_imp,CENTER_RIGHT,bicicleta_imp,CENTER_RIGHT,1071,touch_object,1,1
