uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
355104586D6C4DB085E19BCCFB393611,Unknown,2016-06-22,"",Espanol_Grupo1_imp,650,3,2016-06-22T13:11:47.000Z,2016-06-22T13:30:24.000Z,1,2016-06-22T13:11:50.952Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,3177,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,30729,touch_object,0,1
355104586D6C4DB085E19BCCFB393611,Unknown,2016-06-22,"",Espanol_Grupo1_imp,650,3,2016-06-22T13:11:47.000Z,2016-06-22T13:30:24.000Z,2,2016-06-22T13:12:32.866Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1103,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,11902,touch_object,0,1
355104586D6C4DB085E19BCCFB393611,Unknown,2016-06-22,"",Espanol_Grupo1_imp,650,3,2016-06-22T13:11:47.000Z,2016-06-22T13:30:24.000Z,3,2016-06-22T13:12:53.199Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2358,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,10646,touch_object,1,1
355104586D6C4DB085E19BCCFB393611,Unknown,2016-06-22,"",Espanol_Grupo1_imp,650,3,2016-06-22T13:11:47.000Z,2016-06-22T13:30:24.000Z,4,2016-06-22T13:13:13.699Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1880,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,16930,touch_object,1,1
355104586D6C4DB085E19BCCFB393611,Unknown,2016-06-22,"",Espanol_Grupo1_imp,650,3,2016-06-22T13:11:47.000Z,2016-06-22T13:30:24.000Z,5,2016-06-22T13:13:39.881Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1250,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,8502,touch_object,0,1
355104586D6C4DB085E19BCCFB393611,Unknown,2016-06-22,"",Espanol_Grupo1_imp,650,3,2016-06-22T13:11:47.000Z,2016-06-22T13:30:24.000Z,6,2016-06-22T13:13:56.948Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1378,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,21449,touch_object,1,1
355104586D6C4DB085E19BCCFB393611,Unknown,2016-06-22,"",Espanol_Grupo1_imp,650,3,2016-06-22T13:11:47.000Z,2016-06-22T13:30:24.000Z,7,2016-06-22T13:14:27.114Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,820,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,26064,touch_object,1,1
355104586D6C4DB085E19BCCFB393611,Unknown,2016-06-22,"",Espanol_Grupo1_imp,650,3,2016-06-22T13:11:47.000Z,2016-06-22T13:30:24.000Z,8,2016-06-22T13:15:04.139Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1354,pez_imp,CENTER_RIGHT,boton_imp,CENTER_LEFT,16273,touch_object,0,1
355104586D6C4DB085E19BCCFB393611,Unknown,2016-06-22,"",Espanol_Grupo1_imp,650,3,2016-06-22T13:11:47.000Z,2016-06-22T13:30:24.000Z,9,2016-06-22T13:15:29.282Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,2297,clavar_imp,CENTER_RIGHT,barrer_imp,CENTER_LEFT,8712,touch_object,0,1
355104586D6C4DB085E19BCCFB393611,Unknown,2016-06-22,"",Espanol_Grupo1_imp,650,3,2016-06-22T13:11:47.000Z,2016-06-22T13:30:24.000Z,10,2016-06-22T13:15:47.632Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1511,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,7067,touch_object,0,1
