uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,1,2016-09-09T02:28:34.788Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,6134,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,6658,touch_object,1,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,2,2016-09-09T02:28:55.392Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1563,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2138,touch_object,1,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,3,2016-09-09T02:29:06.386Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1490,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4406,touch_object,1,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,4,2016-09-09T02:29:19.569Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1872,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,7094,touch_object,0,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,5,2016-09-09T02:29:35.821Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1452,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,4273,touch_object,1,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,6,2016-09-09T02:29:55.047Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1374,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2113,touch_object,1,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,7,2016-09-09T02:30:05.938Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,596,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,5084,touch_object,1,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,8,2016-09-09T02:30:18.940Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,2990,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2886,touch_object,1,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,9,2016-09-09T02:30:32.107Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,647,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,4189,touch_object,1,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,10,2016-09-09T02:30:44.241Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,7846,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1925,touch_object,1,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,11,2016-09-09T02:31:01.309Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,181,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,2853,touch_object,1,1
36229D62364944FE8ABC80DE8C9D8206,Unknown,2016-09-09,"",Espanol_Grupo1_imp,637,1,2016-09-09T02:28:32.000Z,2016-09-09T02:38:29.000Z,12,2016-09-09T02:31:11.626Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,284,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,2991,touch_object,1,1
