uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,1,2016-09-19T16:53:34.705Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,5973,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,3528,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,2,2016-09-19T16:53:55.201Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,4495,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,7268,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,3,2016-09-19T16:54:14.392Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2901,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,2536,touch_object,0,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,4,2016-09-19T16:54:27.233Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,376,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2908,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,5,2016-09-19T16:54:38.158Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,641,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,22254,touch_object,0,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,6,2016-09-19T16:55:08.524Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,560,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,2939,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,7,2016-09-19T16:55:22.988Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,445,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1827,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,8,2016-09-19T16:55:32.792Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,946,clavar_imp,CENTER_RIGHT,barrer_imp,CENTER_LEFT,3258,touch_object,0,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,9,2016-09-19T16:55:44.309Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1695,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,3025,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,10,2016-09-19T16:55:56.407Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,1233,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,2348,touch_object,0,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,11,2016-09-19T16:56:07.310Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,2973,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1689,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,12,2016-09-19T16:56:19.345Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,2066,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,3037,touch_object,0,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,13,2016-09-19T16:56:31.763Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,971,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1650,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,14,2016-09-19T16:56:41.708Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,488,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,4624,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,15,2016-09-19T16:56:54.247Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1414,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,5323,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,16,2016-09-19T16:57:08.359Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,875,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1588,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,17,2016-09-19T16:57:18.159Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,737,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,2880,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,18,2016-09-19T16:57:29.126Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,758,peludo_imp,CENTER_LEFT,peludo_imp,CENTER_LEFT,8571,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,19,2016-09-19T16:57:45.792Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,1334,accidente_imp,CENTER_RIGHT,accidente_imp,CENTER_RIGHT,7162,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,20,2016-09-19T16:58:01.609Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,1243,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,2163,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,21,2016-09-19T16:58:14.730Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,1101,rio_imp,CENTER_LEFT,rio_imp,CENTER_LEFT,3162,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,22,2016-09-19T16:58:26.409Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,498,rojo_imp,CENTER_LEFT,rojo_imp,CENTER_LEFT,2139,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,23,2016-09-19T16:58:36.408Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,941,bicicleta_imp,CENTER_RIGHT,bicicleta_imp,CENTER_RIGHT,2038,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,24,2016-09-19T16:58:46.709Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,1309,pisar_imp,CENTER_RIGHT,atar_imp,CENTER_LEFT,3806,touch_object,0,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,25,2016-09-19T16:58:59.126Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,801,romper_imp,CENTER_LEFT,romper_imp,CENTER_LEFT,2275,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,26,2016-09-19T16:59:09.525Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,249,hombre_imp,CENTER_LEFT,hombre_imp,CENTER_LEFT,1898,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,27,2016-09-19T16:59:19.009Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,345,medico_imp,CENTER_RIGHT,medico_imp,CENTER_RIGHT,1655,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,28,2016-09-19T16:59:28.342Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,1007,viejo_imp,CENTER_LEFT,viejo_imp,CENTER_LEFT,2224,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,29,2016-09-19T16:59:38.925Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,1314,cabeza_imp,CENTER_RIGHT,cabeza_imp,CENTER_RIGHT,1909,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,30,2016-09-19T16:59:49.475Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,544,gorro_imp,CENTER_LEFT,gorro_imp,CENTER_LEFT,1269,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,31,2016-09-19T16:59:58.642Z,0,3,block2,mountain,11,2,rota_imp,,pesada_imp,,,,,,3228,rota_imp,CENTER_LEFT,pesada_imp,CENTER_RIGHT,6157,touch_object,0,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,32,2016-09-19T17:00:15.326Z,0,3,block2,mountain,12,2,sucia_imp,,limpia_imp,,,,,,745,limpia_imp,CENTER_RIGHT,limpia_imp,CENTER_RIGHT,2589,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,33,2016-09-19T17:00:25.992Z,0,3,block2,mountain,13,2,canilla_imp,,vela_imp,,,,,,1312,canilla_imp,CENTER_LEFT,canilla_imp,CENTER_LEFT,3179,touch_object,1,1
3744706ECB07442683350A317CC0707E,Unknown,2016-09-19,"",Espanol_Grupo1_imp,864,1,2016-09-19T16:53:27.000Z,2016-09-19T17:03:44.000Z,34,2016-09-19T17:00:37.793Z,0,3,block2,mountain,14,2,lapiz_imp,,pantalon_imp,,,,,,1276,lapiz_imp,CENTER_LEFT,lapiz_imp,CENTER_LEFT,2834,touch_object,1,1
