uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,1,2016-09-02T19:04:48.937Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,3613,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,8823,touch_object,1,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,2,2016-09-02T19:05:09.093Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,3508,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,1798,touch_object,0,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,3,2016-09-02T19:05:21.688Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,785,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,935,touch_object,1,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,4,2016-09-02T19:05:30.687Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,313,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4830,touch_object,1,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,5,2016-09-02T19:05:43.121Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,482,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,1945,touch_object,0,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,6,2016-09-02T19:05:52.823Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,157,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,1777,touch_object,0,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,7,2016-09-02T19:06:02.022Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,364,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,2447,touch_object,1,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,8,2016-09-02T19:06:19.453Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,3815,pez_imp,CENTER_RIGHT,boton_imp,CENTER_LEFT,1912,touch_object,0,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,9,2016-09-02T19:06:32.525Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1027,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,5049,touch_object,1,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,10,2016-09-02T19:06:45.892Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,786,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2641,touch_object,1,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,11,2016-09-02T19:06:56.609Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,4057,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,3717,touch_object,1,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,12,2016-09-02T19:07:11.676Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1019,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1680,touch_object,1,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,13,2016-09-02T19:07:21.660Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1811,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,3637,touch_object,1,1
41C7ABAAE0BA4A5AABA433706FF11209,Unknown,2016-09-02,"",Espanol_Grupo1_imp,545,1,2016-09-02T19:04:47.000Z,2016-09-02T19:14:02.000Z,14,2016-09-02T19:07:34.394Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,145,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,3975,touch_object,1,1
