uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,1,2016-08-10T23:55:53.566Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,236,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,7574,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,2,2016-08-10T23:56:09.000Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,86,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1807,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,3,2016-08-10T23:56:18.194Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,35,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2627,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,4,2016-08-10T23:56:28.145Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,185,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3608,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,5,2016-08-10T23:56:40.703Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,346,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1403,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,6,2016-08-10T23:56:49.813Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1034,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2453,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,7,2016-08-10T23:57:00.597Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,927,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,5688,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,8,2016-08-10T23:57:14.497Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,242,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,3266,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,9,2016-08-10T23:57:25.298Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,261,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1410,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,10,2016-08-10T23:57:34.282Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,158,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,2362,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,11,2016-08-10T23:57:44.115Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,372,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1421,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,12,2016-08-10T23:57:53.200Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,243,alto_imp,CENTER_RIGHT,lleno_imp,CENTER_LEFT,5797,touch_object,0,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,13,2016-08-10T23:58:06.518Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1972,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,1711,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,14,2016-08-10T23:58:17.501Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,1874,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1449,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,15,2016-08-10T23:58:28.119Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,374,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,1879,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,16,2016-08-10T23:58:37.669Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,932,peludo_imp,CENTER_LEFT,peludo_imp,CENTER_LEFT,2527,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,17,2016-08-10T23:58:48.436Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,1113,accidente_imp,CENTER_RIGHT,helicoptero_imp,CENTER_LEFT,2691,touch_object,0,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,18,2016-08-10T23:58:59.520Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,357,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,1628,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,19,2016-08-10T23:59:18.403Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,701,rio_imp,CENTER_LEFT,rio_imp,CENTER_LEFT,2029,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,20,2016-08-10T23:59:28.505Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,339,rojo_imp,CENTER_LEFT,rojo_imp,CENTER_LEFT,1297,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,21,2016-08-10T23:59:37.455Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,261,bicicleta_imp,CENTER_RIGHT,bicicleta_imp,CENTER_RIGHT,1303,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,22,2016-08-10T23:59:46.306Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,481,pisar_imp,CENTER_RIGHT,pisar_imp,CENTER_RIGHT,13373,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,23,2016-08-11T00:00:07.440Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,1442,romper_imp,CENTER_LEFT,romper_imp,CENTER_LEFT,4006,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,24,2016-08-11T00:00:20.191Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,670,hombre_imp,CENTER_LEFT,hombre_imp,CENTER_LEFT,4152,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,25,2016-08-11T00:00:32.292Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,82,medico_imp,CENTER_RIGHT,medico_imp,CENTER_RIGHT,1831,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,26,2016-08-11T00:00:41.509Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,230,viejo_imp,CENTER_LEFT,viejo_imp,CENTER_LEFT,2825,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,27,2016-08-11T00:00:51.859Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,355,cabeza_imp,CENTER_RIGHT,cabeza_imp,CENTER_RIGHT,2020,touch_object,1,1
466B470ECC134576B2C50BD95A28D331,Unknown,2016-08-10,"",Espanol_Grupo1_imp,493,1,2016-08-10T23:55:52.000Z,2016-08-11T00:04:12.000Z,28,2016-08-11T00:01:01.527Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,665,gorro_imp,CENTER_LEFT,gorro_imp,CENTER_LEFT,1963,touch_object,1,1
