uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,1,2016-08-19T15:43:35.520Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,3219,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,4993,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,2,2016-08-19T15:43:52.075Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,617,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,4351,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,3,2016-08-19T15:44:04.572Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,480,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,3153,touch_object,0,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,4,2016-08-19T15:44:15.523Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1261,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,1954,touch_object,0,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,5,2016-08-19T15:44:26.055Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,525,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,1684,touch_object,0,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,6,2016-08-19T15:44:35.539Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,304,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,1694,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,7,2016-08-19T15:44:44.856Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,843,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,2283,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,8,2016-08-19T15:44:59.349Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,504,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1965,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,9,2016-08-19T15:45:09.273Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,731,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,1868,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,10,2016-08-19T15:45:19.222Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,826,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,3917,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,11,2016-08-19T15:45:31.272Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,760,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,3137,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,12,2016-08-19T15:45:42.505Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,519,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1841,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,13,2016-08-19T15:45:52.205Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,526,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,2027,touch_object,0,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,14,2016-08-19T15:46:02.056Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,665,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1889,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,15,2016-08-19T15:46:11.989Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,821,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,1788,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,16,2016-08-19T15:46:21.989Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1485,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,2679,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,17,2016-08-19T15:46:33.505Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,1487,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1764,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,18,2016-08-19T15:46:44.105Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,1787,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,2041,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,19,2016-08-19T15:46:55.256Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,619,peludo_imp,CENTER_LEFT,peludo_imp,CENTER_LEFT,2549,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,20,2016-08-19T15:47:05.805Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,959,accidente_imp,CENTER_RIGHT,accidente_imp,CENTER_RIGHT,1957,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,21,2016-08-19T15:47:16.055Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,328,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,1629,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,22,2016-08-19T15:47:29.397Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,382,rio_imp,CENTER_LEFT,rio_imp,CENTER_LEFT,1928,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,23,2016-08-19T15:47:39.156Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,1849,rojo_imp,CENTER_LEFT,rojo_imp,CENTER_LEFT,2117,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,24,2016-08-19T15:47:50.472Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,650,bicicleta_imp,CENTER_RIGHT,bicicleta_imp,CENTER_RIGHT,2229,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,25,2016-08-19T15:48:00.672Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,606,pisar_imp,CENTER_RIGHT,pisar_imp,CENTER_RIGHT,4111,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,26,2016-08-19T15:48:12.739Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,894,romper_imp,CENTER_LEFT,romper_imp,CENTER_LEFT,3681,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,27,2016-08-19T15:48:24.639Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,838,hombre_imp,CENTER_LEFT,hombre_imp,CENTER_LEFT,12686,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,28,2016-08-19T15:48:45.539Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,1387,medico_imp,CENTER_RIGHT,medico_imp,CENTER_RIGHT,9037,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,29,2016-08-19T15:49:03.289Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,850,viejo_imp,CENTER_LEFT,viejo_imp,CENTER_LEFT,9012,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,30,2016-08-19T15:49:20.489Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,292,cabeza_imp,CENTER_RIGHT,cabeza_imp,CENTER_RIGHT,1650,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,31,2016-08-19T15:49:29.805Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,426,gorro_imp,CENTER_LEFT,gorro_imp,CENTER_LEFT,1501,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,32,2016-08-19T15:49:39.055Z,0,3,block2,mountain,11,2,rota_imp,,pesada_imp,,,,,,700,rota_imp,CENTER_LEFT,rota_imp,CENTER_LEFT,3193,touch_object,1,1
5048823B774642EF8701970781EB6F13,Unknown,2016-08-19,"",Espanol_Grupo1_imp,858,1,2016-08-19T15:43:33.000Z,2016-08-19T15:52:48.000Z,33,2016-08-19T15:49:50.306Z,0,3,block2,mountain,12,2,sucia_imp,,limpia_imp,,,,,,681,limpia_imp,CENTER_RIGHT,limpia_imp,CENTER_RIGHT,2077,touch_object,1,1
