uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,1,2016-09-20T18:45:27.127Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,909,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,4161,touch_object,1,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,2,2016-09-20T18:45:39.809Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,300,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,6113,touch_object,0,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,3,2016-09-20T18:45:53.488Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2807,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,3648,touch_object,0,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,4,2016-09-20T18:46:07.221Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,143,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1466,touch_object,1,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,5,2016-09-20T18:46:16.105Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1425,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,3312,touch_object,0,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,6,2016-09-20T18:46:28.122Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,289,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,1513,touch_object,1,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,7,2016-09-20T18:46:37.206Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,960,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,11158,touch_object,1,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,8,2016-09-20T18:46:58.145Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,872,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3208,touch_object,1,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,9,2016-09-20T18:47:09.657Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,877,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,13801,touch_object,1,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,10,2016-09-20T18:47:31.626Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,3309,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,16308,touch_object,1,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,11,2016-09-20T18:47:58.544Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,1533,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,5834,touch_object,0,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,12,2016-09-20T18:48:13.178Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1105,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,5899,touch_object,1,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,13,2016-09-20T18:48:27.480Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,561,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,6674,touch_object,1,1
514AD1A4D6464C388947643D979D3ADA,Unknown,2016-09-20,"",Espanol_Grupo1_imp,2001,1,2016-09-20T18:45:25.000Z,2016-09-20T18:58:10.000Z,14,2016-09-20T18:48:42.029Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,740,canguro_imp,CENTER_RIGHT,pinguino_imp,CENTER_LEFT,2581,touch_object,0,1
