uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
5C53DAE539EB4F2B879B17B02B1C8428,Unknown,2016-08-18,"",Espanol_Grupo1_imp,800,2,2016-08-18T05:00:24.000Z,2016-08-18T05:16:51.000Z,1,2016-08-18T05:00:27.435Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,878,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,14708,touch_object,0,1
5C53DAE539EB4F2B879B17B02B1C8428,Unknown,2016-08-18,"",Espanol_Grupo1_imp,800,2,2016-08-18T05:00:24.000Z,2016-08-18T05:16:51.000Z,2,2016-08-18T05:00:50.766Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2033,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,8658,touch_object,0,1
5C53DAE539EB4F2B879B17B02B1C8428,Unknown,2016-08-18,"",Espanol_Grupo1_imp,800,2,2016-08-18T05:00:24.000Z,2016-08-18T05:16:51.000Z,3,2016-08-18T05:01:08.726Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,29986,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,7725,touch_object,1,1
5C53DAE539EB4F2B879B17B02B1C8428,Unknown,2016-08-18,"",Espanol_Grupo1_imp,800,2,2016-08-18T05:00:24.000Z,2016-08-18T05:16:51.000Z,4,2016-08-18T05:01:53.763Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1518,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,6143,touch_object,1,1
5C53DAE539EB4F2B879B17B02B1C8428,Unknown,2016-08-18,"",Espanol_Grupo1_imp,800,2,2016-08-18T05:00:24.000Z,2016-08-18T05:16:51.000Z,5,2016-08-18T05:02:08.729Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,3942,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,11525,touch_object,0,1
5C53DAE539EB4F2B879B17B02B1C8428,Unknown,2016-08-18,"",Espanol_Grupo1_imp,800,2,2016-08-18T05:00:24.000Z,2016-08-18T05:16:51.000Z,6,2016-08-18T05:02:31.481Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1390,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,10079,touch_object,1,1
5C53DAE539EB4F2B879B17B02B1C8428,Unknown,2016-08-18,"",Espanol_Grupo1_imp,800,2,2016-08-18T05:00:24.000Z,2016-08-18T05:16:51.000Z,7,2016-08-18T05:02:50.249Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,960,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,7022,touch_object,0,1
5C53DAE539EB4F2B879B17B02B1C8428,Unknown,2016-08-18,"",Espanol_Grupo1_imp,800,2,2016-08-18T05:00:24.000Z,2016-08-18T05:16:51.000Z,8,2016-08-18T05:03:05.499Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,812,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,8638,touch_object,0,1
5C53DAE539EB4F2B879B17B02B1C8428,Unknown,2016-08-18,"",Espanol_Grupo1_imp,800,2,2016-08-18T05:00:24.000Z,2016-08-18T05:16:51.000Z,9,2016-08-18T05:03:22.217Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,994,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,5480,touch_object,1,1
5C53DAE539EB4F2B879B17B02B1C8428,Unknown,2016-08-18,"",Espanol_Grupo1_imp,800,2,2016-08-18T05:00:24.000Z,2016-08-18T05:16:51.000Z,10,2016-08-18T05:03:42.959Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1165,pez_imp,CENTER_RIGHT,boton_imp,CENTER_LEFT,7263,touch_object,0,1
