uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,1,2016-08-05T15:34:10.994Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,879,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,9189,touch_object,0,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,2,2016-08-05T15:34:28.635Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1490,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,5183,touch_object,0,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,3,2016-08-05T15:34:42.628Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,69,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,3710,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,4,2016-08-05T15:34:53.763Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1514,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2087,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,5,2016-08-05T15:35:04.646Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,953,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,7703,touch_object,0,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,6,2016-08-05T15:35:20.565Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,76,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,9808,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,7,2016-08-05T15:35:37.766Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,234,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,8755,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,8,2016-08-05T15:35:58.406Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,616,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2306,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,9,2016-08-05T15:36:08.734Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,509,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,12875,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,10,2016-08-05T15:36:29.435Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1463,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,7945,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,11,2016-08-05T15:36:46.136Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,727,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,19139,touch_object,0,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,12,2016-08-05T15:37:13.287Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,421,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2512,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,13,2016-08-05T15:37:23.504Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1012,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,4596,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,14,2016-08-05T15:37:36.405Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,2392,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,2316,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,15,2016-08-05T15:37:48.406Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,905,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,1563,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,16,2016-08-05T15:37:58.172Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1729,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,5331,touch_object,1,1
646F5F5DA5224A84BAD36D8025646509,Unknown,2016-08-05,"",Espanol_Grupo1_imp,491,5,2016-08-05T15:34:09.000Z,2016-08-05T15:44:07.000Z,17,2016-08-05T15:38:12.557Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,2162,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,2992,touch_object,1,1
