uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
87AE5F7418EF4B20BFAF3ACA05B6E315,Unknown,2016-09-19,"",Espanol_Grupo1_imp,548,1,2016-09-19T20:01:14.000Z,2016-09-19T20:10:16.000Z,1,2016-09-19T20:01:15.043Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,142,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,2918,touch_object,1,1
87AE5F7418EF4B20BFAF3ACA05B6E315,Unknown,2016-09-19,"",Espanol_Grupo1_imp,548,1,2016-09-19T20:01:14.000Z,2016-09-19T20:10:16.000Z,2,2016-09-19T20:01:25.860Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,85,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,1646,touch_object,0,1
87AE5F7418EF4B20BFAF3ACA05B6E315,Unknown,2016-09-19,"",Espanol_Grupo1_imp,548,1,2016-09-19T20:01:14.000Z,2016-09-19T20:10:16.000Z,3,2016-09-19T20:01:34.871Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,178,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3343,touch_object,1,1
87AE5F7418EF4B20BFAF3ACA05B6E315,Unknown,2016-09-19,"",Espanol_Grupo1_imp,548,1,2016-09-19T20:01:14.000Z,2016-09-19T20:10:16.000Z,4,2016-09-19T20:01:45.721Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,116,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2673,touch_object,1,1
87AE5F7418EF4B20BFAF3ACA05B6E315,Unknown,2016-09-19,"",Espanol_Grupo1_imp,548,1,2016-09-19T20:01:14.000Z,2016-09-19T20:10:16.000Z,5,2016-09-19T20:01:55.805Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,272,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,7682,touch_object,1,1
87AE5F7418EF4B20BFAF3ACA05B6E315,Unknown,2016-09-19,"",Espanol_Grupo1_imp,548,1,2016-09-19T20:01:14.000Z,2016-09-19T20:10:16.000Z,6,2016-09-19T20:02:13.520Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,28,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2537,touch_object,1,1
87AE5F7418EF4B20BFAF3ACA05B6E315,Unknown,2016-09-19,"",Espanol_Grupo1_imp,548,1,2016-09-19T20:01:14.000Z,2016-09-19T20:10:16.000Z,7,2016-09-19T20:02:23.440Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,62,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,6191,touch_object,1,1
87AE5F7418EF4B20BFAF3ACA05B6E315,Unknown,2016-09-19,"",Espanol_Grupo1_imp,548,1,2016-09-19T20:01:14.000Z,2016-09-19T20:10:16.000Z,8,2016-09-19T20:02:37.025Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,215,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,4349,touch_object,1,1
87AE5F7418EF4B20BFAF3ACA05B6E315,Unknown,2016-09-19,"",Espanol_Grupo1_imp,548,1,2016-09-19T20:01:14.000Z,2016-09-19T20:10:16.000Z,9,2016-09-19T20:02:48.907Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,65,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,4679,touch_object,1,1
87AE5F7418EF4B20BFAF3ACA05B6E315,Unknown,2016-09-19,"",Espanol_Grupo1_imp,548,1,2016-09-19T20:01:14.000Z,2016-09-19T20:10:16.000Z,10,2016-09-19T20:03:00.959Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1506,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1758,touch_object,1,1
