uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,1,2016-08-11T14:34:02.433Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1073,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,22603,touch_object,1,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,2,2016-08-11T14:34:35.515Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1116,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3079,touch_object,1,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,3,2016-08-11T14:34:47.078Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,952,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,3572,touch_object,1,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,4,2016-08-11T14:34:58.978Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,619,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,14253,touch_object,1,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,5,2016-08-11T14:35:28.404Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,413,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2890,touch_object,1,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,6,2016-08-11T14:35:39.197Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,554,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,16567,touch_object,1,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,7,2016-08-11T14:36:03.678Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,21576,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,5336,touch_object,1,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,8,2016-08-11T14:36:37.911Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,483,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,3971,touch_object,0,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,9,2016-08-11T14:36:49.680Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,504,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1717,touch_object,1,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,10,2016-08-11T14:36:59.244Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,464,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,2580,touch_object,1,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,11,2016-08-11T14:37:09.646Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,440,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1708,touch_object,1,1
91B6DF4C43B74D38B9391A60A859D900,Unknown,2016-08-11,"",Espanol_Grupo1_imp,695,1,2016-08-11T14:33:59.000Z,2016-08-11T14:43:58.000Z,12,2016-08-11T14:37:19.128Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,624,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,2435,touch_object,1,1
