uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,1,2016-07-27T04:15:17.473Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,843,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,4900,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,2,2016-07-27T04:15:31.050Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1332,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,2745,touch_object,0,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,3,2016-07-27T04:15:42.445Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2277,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2948,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,4,2016-07-27T04:15:54.995Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,3009,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4850,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,5,2016-07-27T04:16:10.179Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,658,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,3356,touch_object,0,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,6,2016-07-27T04:16:21.496Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2177,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,9216,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,7,2016-07-27T04:16:47.515Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1753,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,9042,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,8,2016-07-27T04:17:05.732Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1523,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,3374,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,9,2016-07-27T04:17:17.933Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1705,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,9142,touch_object,0,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,10,2016-07-27T04:17:36.067Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,5243,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,4845,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,11,2016-07-27T04:17:53.485Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,413,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2213,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,12,2016-07-27T04:18:03.419Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,364,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,3370,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,13,2016-07-27T04:18:14.452Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1149,canguro_imp,CENTER_RIGHT,pinguino_imp,CENTER_LEFT,7597,touch_object,0,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,14,2016-07-27T04:18:30.471Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1017,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,5815,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,15,2016-07-27T04:18:44.670Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1184,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,5511,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,16,2016-07-27T04:18:58.672Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,5047,avion_imp,CENTER_RIGHT,colectivo_imp,CENTER_LEFT,2301,touch_object,0,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,17,2016-07-27T04:19:13.306Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,994,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,2687,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,18,2016-07-27T04:19:24.306Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,1332,peludo_imp,CENTER_LEFT,rayado_imp,CENTER_RIGHT,3466,touch_object,0,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,19,2016-07-27T04:19:36.374Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,1240,accidente_imp,CENTER_RIGHT,helicoptero_imp,CENTER_LEFT,2551,touch_object,0,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,20,2016-07-27T04:19:47.441Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,1343,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,3228,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,21,2016-07-27T04:20:02.807Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,2225,rio_imp,CENTER_LEFT,rio_imp,CENTER_LEFT,3717,touch_object,1,1
9A923F79338649408053BA41F84C5D0C,Unknown,2016-07-27,"",Espanol_Grupo1_imp,631,1,2016-07-27T04:15:15.000Z,2016-07-27T04:27:02.000Z,22,2016-07-27T04:20:16.126Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,723,rojo_imp,CENTER_LEFT,grande_imp,CENTER_RIGHT,2313,touch_object,0,1
