uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
9ACD24CC5EC44A07AA32D1B2170C2C04,Unknown,2016-08-23,"",Espanol_Grupo1_imp,859,1,2016-08-23T21:39:14.000Z,2016-08-23T21:50:01.000Z,1,2016-08-23T21:39:18.441Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,5477,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,14368,touch_object,0,1
9ACD24CC5EC44A07AA32D1B2170C2C04,Unknown,2016-08-23,"",Espanol_Grupo1_imp,859,1,2016-08-23T21:39:14.000Z,2016-08-23T21:50:01.000Z,2,2016-08-23T21:39:47.117Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,794,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,6733,touch_object,1,1
9ACD24CC5EC44A07AA32D1B2170C2C04,Unknown,2016-08-23,"",Espanol_Grupo1_imp,859,1,2016-08-23T21:39:14.000Z,2016-08-23T21:50:01.000Z,3,2016-08-23T21:40:02.375Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,517,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,5400,touch_object,0,1
9ACD24CC5EC44A07AA32D1B2170C2C04,Unknown,2016-08-23,"",Espanol_Grupo1_imp,859,1,2016-08-23T21:39:14.000Z,2016-08-23T21:50:01.000Z,4,2016-08-23T21:40:15.724Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1448,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2297,touch_object,1,1
9ACD24CC5EC44A07AA32D1B2170C2C04,Unknown,2016-08-23,"",Espanol_Grupo1_imp,859,1,2016-08-23T21:39:14.000Z,2016-08-23T21:50:01.000Z,5,2016-08-23T21:40:26.791Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1011,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,11871,touch_object,0,1
9ACD24CC5EC44A07AA32D1B2170C2C04,Unknown,2016-08-23,"",Espanol_Grupo1_imp,859,1,2016-08-23T21:39:14.000Z,2016-08-23T21:50:01.000Z,6,2016-08-23T21:40:46.990Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,988,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,9187,touch_object,1,1
9ACD24CC5EC44A07AA32D1B2170C2C04,Unknown,2016-08-23,"",Espanol_Grupo1_imp,859,1,2016-08-23T21:39:14.000Z,2016-08-23T21:50:01.000Z,7,2016-08-23T21:41:04.475Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,901,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3019,touch_object,1,1
9ACD24CC5EC44A07AA32D1B2170C2C04,Unknown,2016-08-23,"",Espanol_Grupo1_imp,859,1,2016-08-23T21:39:14.000Z,2016-08-23T21:50:01.000Z,8,2016-08-23T21:41:19.562Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,745,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,4587,touch_object,1,1
9ACD24CC5EC44A07AA32D1B2170C2C04,Unknown,2016-08-23,"",Espanol_Grupo1_imp,859,1,2016-08-23T21:39:14.000Z,2016-08-23T21:50:01.000Z,9,2016-08-23T21:41:32.458Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1334,clavar_imp,CENTER_RIGHT,barrer_imp,CENTER_LEFT,2265,touch_object,0,1
9ACD24CC5EC44A07AA32D1B2170C2C04,Unknown,2016-08-23,"",Espanol_Grupo1_imp,859,1,2016-08-23T21:39:14.000Z,2016-08-23T21:50:01.000Z,10,2016-08-23T21:41:43.358Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1537,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2821,touch_object,1,1
