uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,1,2016-08-03T18:29:45.238Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1033,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,3075,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,2,2016-08-03T18:29:59.395Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,654,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,1821,touch_object,0,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,3,2016-08-03T18:30:09.941Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,655,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2391,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,4,2016-08-03T18:30:20.306Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1058,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,3158,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,5,2016-08-03T18:30:31.873Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,711,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,3732,touch_object,0,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,6,2016-08-03T18:30:43.639Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2370,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,8498,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,7,2016-08-03T18:32:00.317Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,3235,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1578,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,8,2016-08-03T18:32:12.623Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1016,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,9561,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,9,2016-08-03T18:32:30.573Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1401,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,3298,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,10,2016-08-03T18:32:42.606Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,496,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,2390,touch_object,0,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,11,2016-08-03T18:32:52.806Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1041,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1474,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,12,2016-08-03T18:33:02.640Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1300,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,1907,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,13,2016-08-03T18:33:13.222Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,937,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1573,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,14,2016-08-03T18:33:23.073Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,640,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,1768,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,15,2016-08-03T18:33:32.877Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,586,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,2458,touch_object,1,1
9B08168378D14A3984F1BE6653830961,Unknown,2016-08-03,"",Espanol_Grupo1_imp,694,1,2016-08-03T18:29:42.000Z,2016-08-03T18:39:44.000Z,16,2016-08-03T18:33:43.256Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,665,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1411,touch_object,1,1
