uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
A94762FF2DF04A6288FE55716D664CE2,Unknown,2016-09-19,"",Espanol_Grupo1_imp,549,1,2016-09-19T20:14:40.000Z,,1,2016-09-19T20:14:41.090Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,128,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,12016,touch_object,1,1
A94762FF2DF04A6288FE55716D664CE2,Unknown,2016-09-19,"",Espanol_Grupo1_imp,549,1,2016-09-19T20:14:40.000Z,,2,2016-09-19T20:15:00.749Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,865,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,5740,touch_object,1,1
A94762FF2DF04A6288FE55716D664CE2,Unknown,2016-09-19,"",Espanol_Grupo1_imp,549,1,2016-09-19T20:14:40.000Z,,3,2016-09-19T20:15:14.649Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,276,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,6017,touch_object,1,1
A94762FF2DF04A6288FE55716D664CE2,Unknown,2016-09-19,"",Espanol_Grupo1_imp,549,1,2016-09-19T20:14:40.000Z,,4,2016-09-19T20:15:28.233Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,94,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,2497,touch_object,0,1
A94762FF2DF04A6288FE55716D664CE2,Unknown,2016-09-19,"",Espanol_Grupo1_imp,549,1,2016-09-19T20:14:40.000Z,,5,2016-09-19T20:15:38.101Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,572,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3221,touch_object,1,1
A94762FF2DF04A6288FE55716D664CE2,Unknown,2016-09-19,"",Espanol_Grupo1_imp,549,1,2016-09-19T20:14:40.000Z,,6,2016-09-19T20:15:49.876Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,103,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2084,touch_object,1,1
A94762FF2DF04A6288FE55716D664CE2,Unknown,2016-09-19,"",Espanol_Grupo1_imp,549,1,2016-09-19T20:14:40.000Z,,7,2016-09-19T20:15:59.437Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,56,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,4407,touch_object,1,1
A94762FF2DF04A6288FE55716D664CE2,Unknown,2016-09-19,"",Espanol_Grupo1_imp,549,1,2016-09-19T20:14:40.000Z,,8,2016-09-19T20:16:11.203Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,261,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,3657,touch_object,1,1
A94762FF2DF04A6288FE55716D664CE2,Unknown,2016-09-19,"",Espanol_Grupo1_imp,549,1,2016-09-19T20:14:40.000Z,,9,2016-09-19T20:16:22.454Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,217,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2816,touch_object,1,1
A94762FF2DF04A6288FE55716D664CE2,Unknown,2016-09-19,"",Espanol_Grupo1_imp,549,1,2016-09-19T20:14:40.000Z,,10,2016-09-19T20:16:32.770Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,191,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1706,touch_object,1,1
