uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
AAB6E9817140429BB915866A37543EBE,Unknown,2016-08-23,"",Espanol_Grupo1_imp,10012,2,2016-08-23T06:06:43.000Z,2016-08-23T06:19:15.000Z,1,2016-08-23T06:06:45.151Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2972,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,17589,touch_object,1,1
AAB6E9817140429BB915866A37543EBE,Unknown,2016-08-23,"",Espanol_Grupo1_imp,10012,2,2016-08-23T06:06:43.000Z,2016-08-23T06:19:15.000Z,2,2016-08-23T06:07:13.502Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2403,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,1016,touch_object,0,1
AAB6E9817140429BB915866A37543EBE,Unknown,2016-08-23,"",Espanol_Grupo1_imp,10012,2,2016-08-23T06:06:43.000Z,2016-08-23T06:19:15.000Z,3,2016-08-23T06:07:24.197Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,4206,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,2443,touch_object,0,1
AAB6E9817140429BB915866A37543EBE,Unknown,2016-08-23,"",Espanol_Grupo1_imp,10012,2,2016-08-23T06:06:43.000Z,2016-08-23T06:19:15.000Z,4,2016-08-23T06:07:38.164Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,812,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,13785,touch_object,1,1
AAB6E9817140429BB915866A37543EBE,Unknown,2016-08-23,"",Espanol_Grupo1_imp,10012,2,2016-08-23T06:06:43.000Z,2016-08-23T06:19:15.000Z,5,2016-08-23T06:08:00.048Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,914,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,3746,touch_object,0,1
AAB6E9817140429BB915866A37543EBE,Unknown,2016-08-23,"",Espanol_Grupo1_imp,10012,2,2016-08-23T06:06:43.000Z,2016-08-23T06:19:15.000Z,6,2016-08-23T06:08:12.031Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,697,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,6563,touch_object,1,1
AAB6E9817140429BB915866A37543EBE,Unknown,2016-08-23,"",Espanol_Grupo1_imp,10012,2,2016-08-23T06:06:43.000Z,2016-08-23T06:19:15.000Z,7,2016-08-23T06:08:26.616Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,315,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,5027,touch_object,1,1
AAB6E9817140429BB915866A37543EBE,Unknown,2016-08-23,"",Espanol_Grupo1_imp,10012,2,2016-08-23T06:06:43.000Z,2016-08-23T06:19:15.000Z,8,2016-08-23T06:08:45.114Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,954,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3552,touch_object,1,1
AAB6E9817140429BB915866A37543EBE,Unknown,2016-08-23,"",Espanol_Grupo1_imp,10012,2,2016-08-23T06:06:43.000Z,2016-08-23T06:19:15.000Z,9,2016-08-23T06:08:57.001Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,378,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,13183,touch_object,1,1
AAB6E9817140429BB915866A37543EBE,Unknown,2016-08-23,"",Espanol_Grupo1_imp,10012,2,2016-08-23T06:06:43.000Z,2016-08-23T06:19:15.000Z,10,2016-08-23T06:09:17.852Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,338,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,24615,touch_object,0,1
