uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
B7E69C54319F40CEA86CE040071E5058,Unknown,2016-08-16,"",Espanol_Grupo1_imp,543,1,2016-08-16T13:55:05.000Z,2016-08-16T14:04:53.000Z,1,2016-08-16T13:55:06.432Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,829,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,5873,touch_object,1,1
B7E69C54319F40CEA86CE040071E5058,Unknown,2016-08-16,"",Espanol_Grupo1_imp,543,1,2016-08-16T13:55:05.000Z,2016-08-16T14:04:53.000Z,2,2016-08-16T13:55:20.794Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,741,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,11379,touch_object,1,1
B7E69C54319F40CEA86CE040071E5058,Unknown,2016-08-16,"",Espanol_Grupo1_imp,543,1,2016-08-16T13:55:05.000Z,2016-08-16T14:04:53.000Z,3,2016-08-16T13:55:40.238Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,597,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,3999,touch_object,1,1
B7E69C54319F40CEA86CE040071E5058,Unknown,2016-08-16,"",Espanol_Grupo1_imp,543,1,2016-08-16T13:55:05.000Z,2016-08-16T14:04:53.000Z,4,2016-08-16T13:55:52.123Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,671,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,2659,touch_object,0,1
B7E69C54319F40CEA86CE040071E5058,Unknown,2016-08-16,"",Espanol_Grupo1_imp,543,1,2016-08-16T13:55:05.000Z,2016-08-16T14:04:53.000Z,5,2016-08-16T13:56:02.723Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,49,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,4816,touch_object,0,1
B7E69C54319F40CEA86CE040071E5058,Unknown,2016-08-16,"",Espanol_Grupo1_imp,543,1,2016-08-16T13:55:05.000Z,2016-08-16T14:04:53.000Z,6,2016-08-16T13:56:14.873Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,950,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,1455,touch_object,0,1
B7E69C54319F40CEA86CE040071E5058,Unknown,2016-08-16,"",Espanol_Grupo1_imp,543,1,2016-08-16T13:55:05.000Z,2016-08-16T14:04:53.000Z,7,2016-08-16T13:56:24.524Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,216,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,2320,touch_object,1,1
B7E69C54319F40CEA86CE040071E5058,Unknown,2016-08-16,"",Espanol_Grupo1_imp,543,1,2016-08-16T13:55:05.000Z,2016-08-16T14:04:53.000Z,8,2016-08-16T13:56:40.491Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,917,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2414,touch_object,1,1
B7E69C54319F40CEA86CE040071E5058,Unknown,2016-08-16,"",Espanol_Grupo1_imp,543,1,2016-08-16T13:55:05.000Z,2016-08-16T14:04:53.000Z,9,2016-08-16T13:56:51.192Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1219,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,1304,touch_object,1,1
B7E69C54319F40CEA86CE040071E5058,Unknown,2016-08-16,"",Espanol_Grupo1_imp,543,1,2016-08-16T13:55:05.000Z,2016-08-16T14:04:53.000Z,10,2016-08-16T13:57:00.993Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,621,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2818,touch_object,1,1
