uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,1,2016-08-10T02:05:53.000Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1824,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,18103,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,2,2016-08-10T02:06:20.615Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2841,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3417,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,3,2016-08-10T02:06:34.160Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1425,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2734,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,4,2016-08-10T02:06:45.611Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2747,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,2023,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,5,2016-08-10T02:06:57.662Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,4701,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,2618,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,6,2016-08-10T02:07:23.564Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,764,pez_imp,CENTER_RIGHT,boton_imp,CENTER_LEFT,2550,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,7,2016-08-10T02:07:34.231Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1318,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2903,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,8,2016-08-10T02:07:45.731Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,6364,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,8388,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,9,2016-08-10T02:08:07.765Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,9537,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,2787,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,10,2016-08-10T02:08:27.349Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1274,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,7365,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,11,2016-08-10T02:08:43.284Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1459,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,6847,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,12,2016-08-10T02:08:58.868Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1651,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,3034,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,13,2016-08-10T02:09:10.836Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,3386,alto_imp,CENTER_RIGHT,lleno_imp,CENTER_LEFT,5701,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,14,2016-08-10T02:09:27.187Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,4228,inflar_imp,CENTER_LEFT,atajar_imp,CENTER_RIGHT,3000,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,15,2016-08-10T02:09:41.704Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,5100,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,3433,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,16,2016-08-10T02:09:57.522Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,2939,caballo_imp,CENTER_LEFT,gato_imp,CENTER_RIGHT,3238,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,17,2016-08-10T02:10:10.972Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,2127,peludo_imp,CENTER_LEFT,peludo_imp,CENTER_LEFT,1871,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,18,2016-08-10T02:10:22.273Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,7905,accidente_imp,CENTER_RIGHT,helicoptero_imp,CENTER_LEFT,3205,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,19,2016-08-10T02:10:40.674Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,5252,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,7654,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,20,2016-08-10T02:11:02.718Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,4336,rio_imp,CENTER_LEFT,bosque_imp,CENTER_RIGHT,3500,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,21,2016-08-10T02:11:17.910Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,1918,rojo_imp,CENTER_LEFT,grande_imp,CENTER_RIGHT,3881,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,22,2016-08-10T02:11:30.977Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,2656,bicicleta_imp,CENTER_RIGHT,bicicleta_imp,CENTER_RIGHT,3138,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,23,2016-08-10T02:11:44.061Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,4208,pisar_imp,CENTER_RIGHT,pisar_imp,CENTER_RIGHT,13103,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,24,2016-08-10T02:12:08.662Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,2963,romper_imp,CENTER_LEFT,tocar_imp,CENTER_RIGHT,4796,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,25,2016-08-10T02:12:23.696Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,3341,hombre_imp,CENTER_LEFT,pato_imp,CENTER_RIGHT,1843,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,26,2016-08-10T02:12:36.181Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,2969,medico_imp,CENTER_RIGHT,medico_imp,CENTER_RIGHT,3947,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,27,2016-08-10T02:12:50.415Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,6278,viejo_imp,CENTER_LEFT,descalzo_imp,CENTER_RIGHT,3652,touch_object,0,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,28,2016-08-10T02:13:07.615Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,4729,cabeza_imp,CENTER_RIGHT,cabeza_imp,CENTER_RIGHT,7791,touch_object,1,1
C7304F37987A434A8C061AAE50030A03,Unknown,2016-08-10,"",Espanol_Grupo1_imp,10010,1,2016-08-10T02:05:50.000Z,2016-08-10T02:20:02.000Z,29,2016-08-10T02:13:27.450Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,3233,gorro_imp,CENTER_LEFT,camion_imp,CENTER_RIGHT,5631,touch_object,0,1
