uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,1,2016-08-18T13:55:16.018Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,148,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,2755,touch_object,0,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,2,2016-08-18T13:55:26.528Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2338,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,6215,touch_object,0,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,3,2016-08-18T13:55:42.356Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,86,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,2531,touch_object,1,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,4,2016-08-18T13:55:52.323Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1177,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1672,touch_object,1,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,5,2016-08-18T13:56:02.457Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2605,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,2241,touch_object,0,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,6,2016-08-18T13:56:14.590Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2556,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,7004,touch_object,1,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,7,2016-08-18T13:56:31.425Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,3293,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,2184,touch_object,0,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,8,2016-08-18T13:56:44.209Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,292,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,10522,touch_object,1,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,9,2016-08-18T13:57:07.470Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,4487,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1904,touch_object,1,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,10,2016-08-18T13:57:21.211Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1241,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2313,touch_object,1,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,11,2016-08-18T13:57:32.095Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,8374,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,2555,touch_object,0,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,12,2016-08-18T13:57:50.296Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,1722,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2044,touch_object,1,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,13,2016-08-18T13:58:01.380Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1873,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2184,touch_object,1,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,14,2016-08-18T13:58:12.730Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1078,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,1898,touch_object,1,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,15,2016-08-18T13:58:22.997Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,205,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,2899,touch_object,1,1
CC4F351C795A483498BDB40C1328582F,Unknown,2016-08-18,"",Espanol_Grupo1_imp,544,1,2016-08-18T13:55:14.000Z,2016-08-18T14:06:16.000Z,16,2016-08-18T13:58:33.414Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,416,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,5243,touch_object,1,1
