uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,1,2016-06-22T22:20:14.733Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1150,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,38527,touch_object,1,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,2,2016-06-22T22:21:02.289Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1680,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2055,touch_object,1,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,3,2016-06-22T22:21:13.316Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,349,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,2196,touch_object,0,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,4,2016-06-22T22:21:23.134Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1581,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,8255,touch_object,0,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,5,2016-06-22T22:21:40.252Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1029,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,4819,touch_object,0,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,6,2016-06-22T22:21:53.385Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,913,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4571,touch_object,1,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,7,2016-06-22T22:22:06.153Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,616,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,6157,touch_object,1,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,8,2016-06-22T22:22:37.822Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,3790,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,11677,touch_object,1,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,9,2016-06-22T22:23:00.657Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1071,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,3975,touch_object,1,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,10,2016-06-22T22:23:13.024Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,3372,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,6282,touch_object,0,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,11,2016-06-22T22:23:29.957Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,1973,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,16056,touch_object,1,1
E7249945ECD847B0884CE42E5AF1AE7E,Unknown,2016-06-22,"",Espanol_Grupo1_imp,761,1,2016-06-22T22:20:13.000Z,,12,2016-06-22T22:23:55.325Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,792,mariposa_imp,CENTER_RIGHT,tortuga_imp,CENTER_LEFT,17639,touch_object,0,1
