uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,1,2016-08-20T02:16:55.892Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,5462,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,9993,touch_object,1,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,2,2016-08-20T02:17:19.163Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2379,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,2387,touch_object,0,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,3,2016-08-20T02:17:31.193Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,4170,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,8945,touch_object,1,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,4,2016-08-20T02:17:51.609Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,747,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,3593,touch_object,0,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,5,2016-08-20T02:18:03.226Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1807,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,18555,touch_object,1,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,6,2016-08-20T02:18:30.878Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1809,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,10019,touch_object,0,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,7,2016-08-20T02:18:49.979Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1729,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,19600,touch_object,1,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,8,2016-08-20T02:19:20.256Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1029,pez_imp,CENTER_RIGHT,boton_imp,CENTER_LEFT,5279,touch_object,0,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,9,2016-08-20T02:19:33.931Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1278,clavar_imp,CENTER_RIGHT,barrer_imp,CENTER_LEFT,3428,touch_object,0,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,10,2016-08-20T02:19:45.932Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,660,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,4183,touch_object,1,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,11,2016-08-20T02:19:58.083Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,778,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,2985,touch_object,0,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,12,2016-08-20T02:20:09.134Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,2660,mariposa_imp,CENTER_RIGHT,tortuga_imp,CENTER_LEFT,3943,touch_object,0,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,13,2016-08-20T02:20:23.067Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1164,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,6113,touch_object,1,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,14,2016-08-20T02:20:37.634Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1084,canguro_imp,CENTER_RIGHT,pinguino_imp,CENTER_LEFT,2882,touch_object,0,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,15,2016-08-20T02:20:48.885Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,595,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,10390,touch_object,1,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,16,2016-08-20T02:21:07.187Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1714,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,1321,touch_object,1,1
EBCEA2BFFBD34CF189D3B1CBDC1E9395,Unknown,2016-08-20,"",Espanol_Grupo1_imp,801,2,2016-08-20T02:16:53.000Z,2016-08-20T02:32:06.000Z,17,2016-08-20T02:21:17.504Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,819,avion_imp,CENTER_RIGHT,colectivo_imp,CENTER_LEFT,2884,touch_object,0,1
