thisdir	thisf	uuid	device	date	config_scenario	config_profile	subject_id	session_number	session_started_at	session_ended_at	trial_number_session	trial_started_at	repetition	level_number	level_name	level_background	stage_number	objects_count	object1_name	object1_touch_diff_time	object2_name	object2_touch_diff_time	object3_name	object3_touch_diff_time	object4_name	object4_touch_diff_time	mandy_touch_diff_time	object_asked	object_asked_position	object_touched	object_touched_position	object_touched_at	stage_end	correct	feedback	spl	dif	lex
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	8	2016-07-19T22:31:59.517Z	0	2	block1	beach	1	2	boton_imp	NA	pez_imp	NA	NA	NA	NA	NA	946	pez	CENTER_RIGHT	pez_imp	CENTER_RIGHT	3013	touch_object	1	1	NA	moderate	noun
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	10	2016-07-19T22:32:26.717Z	0	2	block1	beach	3	2	lavar_imp	NA	comer_imp	NA	NA	NA	NA	NA	723	lavar	CENTER_LEFT	lavar_imp	CENTER_LEFT	5724	touch_object	1	1	NA	easy	verb
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	11	2016-07-19T22:32:40.467Z	0	2	block1	beach	4	2	pescar_imp	NA	nadar_imp	NA	NA	NA	NA	NA	1027	pescar	CENTER_LEFT	pescar_imp	CENTER_LEFT	4687	touch_object	1	1	NA	difficult	verb
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	12	2016-07-19T22:32:53.501Z	0	2	block1	beach	5	2	tortuga_imp	NA	mariposa_imp	NA	NA	NA	NA	NA	768	mariposa	CENTER_RIGHT	mariposa_imp	CENTER_RIGHT	2659	touch_object	1	1	NA	moderate	noun
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	13	2016-07-19T22:33:04.219Z	0	2	block1	beach	6	2	oscuro_imp	NA	redondo_imp	NA	NA	NA	NA	NA	588	oscuro	CENTER_LEFT	redondo_imp	CENTER_RIGHT	4393	touch_object	0	1	NA	moderate	adj
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	14	2016-07-19T22:33:16.489Z	0	2	block1	beach	7	2	pinguino_imp	NA	canguro_imp	NA	NA	NA	NA	NA	870	canguro	CENTER_RIGHT	canguro_imp	CENTER_RIGHT	1864	touch_object	1	1	NA	difficult	noun
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	15	2016-07-19T22:33:26.520Z	0	2	block1	beach	8	2	lleno_imp	NA	alto_imp	NA	NA	NA	NA	NA	1123	alto	CENTER_RIGHT	alto_imp	CENTER_RIGHT	2894	touch_object	1	1	NA	easy	adj
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	16	2016-07-19T22:33:37.837Z	0	2	block1	beach	9	2	inflar_imp	NA	atajar_imp	NA	NA	NA	NA	NA	1399	inflar	CENTER_LEFT	atajar_imp	CENTER_RIGHT	4202	touch_object	0	1	NA	difficult	verb
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	17	2016-07-19T22:33:50.705Z	0	2	block1	beach	10	2	colectivo_imp	NA	avion_imp	NA	NA	NA	NA	NA	825	avion	CENTER_RIGHT	avion_imp	CENTER_RIGHT	2016	touch_object	1	1	NA	moderate	noun
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	18	2016-07-19T22:34:00.839Z	0	2	block1	beach	11	2	caballo_imp	NA	gato_imp	NA	NA	NA	NA	NA	1072	caballo	CENTER_LEFT	caballo_imp	CENTER_LEFT	1996	touch_object	1	1	NA	easy	noun
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	19	2016-07-19T22:34:11.222Z	0	2	block1	beach	12	2	peludo_imp	NA	rayado_imp	NA	NA	NA	NA	NA	2462	peludo	CENTER_LEFT	rayado_imp	CENTER_RIGHT	2435	touch_object	0	1	NA	difficult	adj
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	20	2016-07-19T22:34:23.390Z	0	2	block1	beach	13	2	helicoptero_imp	NA	accidente_imp	NA	NA	NA	NA	NA	2295	accidente	CENTER_RIGHT	helicoptero_imp	CENTER_LEFT	2456	touch_object	0	1	NA	difficult	noun
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	21	2016-07-19T22:34:35.424Z	0	2	block1	beach	14	2	casa_imp	NA	comida_imp	NA	NA	NA	NA	NA	1223	comida	CENTER_RIGHT	comida_imp	CENTER_RIGHT	2096	touch_object	1	1	NA	easy	noun
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	22	2016-07-19T22:34:52.163Z	0	3	block2	mountain	1	2	rio_imp	NA	bosque_imp	NA	NA	NA	NA	NA	698	rio	CENTER_LEFT	bosque_imp	CENTER_RIGHT	2147	touch_object	0	1	NA	difficult	noun
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	23	2016-07-19T22:35:02.358Z	0	3	block2	mountain	2	2	rojo_imp	NA	grande_imp	NA	NA	NA	NA	NA	1283	rojo	CENTER_LEFT	grande_imp	CENTER_RIGHT	4147	touch_object	0	1	NA	easy	adj
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	24	2016-07-19T22:35:15.076Z	0	3	block2	mountain	3	2	tijera_imp	NA	bicicleta_imp	NA	NA	NA	NA	NA	745	bicicleta	CENTER_RIGHT	bicicleta_imp	CENTER_RIGHT	2022	touch_object	1	1	NA	moderate	noun
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	25	2016-07-19T22:35:25.160Z	0	3	block2	mountain	4	2	atar_imp	NA	pisar_imp	NA	NA	NA	NA	NA	499	pisar	CENTER_RIGHT	pisar_imp	CENTER_RIGHT	6238	touch_object	1	1	NA	moderate	verb
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	27	2016-07-19T22:35:55.962Z	0	3	block2	mountain	6	2	hombre_imp	NA	pato_imp	NA	NA	NA	NA	NA	792	hombre	CENTER_LEFT	hombre_imp	CENTER_LEFT	2860	touch_object	1	1	NA	moderate	noun
NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv	1A4C120389364BCE9E292AF3E8FD2BA2	Unknown	2016-07-19	NA	Espanol_Grupo1_imp	623	1	2016-07-19T22:30:26.000Z	2016-07-19T22:40:36.000Z	28	2016-07-19T22:36:06.913Z	0	3	block2	mountain	7	2	grupo_imp	NA	medico_imp	NA	NA	NA	NA	NA	516	medico	CENTER_RIGHT	medico_imp	CENTER_RIGHT	4290	touch_object	1	1	NA	difficult	noun
