id	SES	date	profile	trials_completed	trials_attempted	pc	rt_corr	rt_incorr	pc_1	pc_2	rt_1	rt_2	propLeft	bias	N_easy	N_mod	N_diff	pc_easy	pc_mod	pc_diff	rt_easy	rt_mod	rt_diff	N_noun	N_adj	N_verb	pc_noun	pc_adj	pc_verb	rt_noun	rt_adj	rt_verb
10010	NSM	2016-08-10	Espanol_Grupo1_imp	41	29	0.379310344827586	3947	3766.5	0.333333333333333	0.428571428571429	3881	3805	0.206896551724138	1	7	10	12	0.285714285714286	0.3	0.5	NA	NA	3490.5	16	7	6	0.5	0.142857142857143	0.333333333333333	3961	1871	4767.5
10011	NSM	2016-08-12	Espanol_Grupo1_imp	41	34	0.5	3296	3014	0.588235294117647	0.411764705882353	4001	2665	0.323529411764706	1	11	12	11	0.545454545454545	0.5	0.454545454545455	3394.5	3064.5	3955	19	5	10	0.526315789473684	0.2	0.6	2988.5	5551	3394
10012	NSM	2016-08-23	Espanol_Grupo1_imp	41	26	0.423076923076923	5057	4741	0.538461538461538	0.307692307692308	5589	4741	0.192307692307692	1	7	11	8	0.428571428571429	0.454545454545455	0.375	NA	3552	NA	18	2	6	0.333333333333333	NA	0.833333333333333	4342.5	NA	5057
10013	NSM	2016-09-08	Espanol_Grupo1_imp	41	40	0.575	1562	1694	0.6	0.55	1614	1669	0.275	1	14	13	13	0.642857142857143	0.615384615384615	0.461538461538462	1403	1680.5	1636.5	22	8	10	0.772727272727273	0.25	0.4	1560	1355.5	1764.5
10014	NSM	2016-09-21	Espanol_Grupo1_imp	41	39	0.435897435897436	3334	3375.5	0.45	0.421052631578947	3013.5	3595	0.230769230769231	1	14	13	12	0.5	0.307692307692308	0.5	3405	2328	3376	20	8	11	0.4	0.375	0.545454545454545	3376	3405	2959
2001	NSM	2016-09-20	Espanol_Grupo1_imp	41	24	0.541666666666667	5536	3989	0.666666666666667	0.416666666666667	3512	5604.5	0.416666666666667	0	7	11	6	0.428571428571429	0.727272727272727	0.333333333333333	NA	4337	NA	14	4	6	0.5	0.75	0.5	3769	5536	5673
491	NSM	2016-08-05	Espanol_Grupo1_imp	41	38	0.894736842105263	1972	2267.5	0.894736842105263	0.894736842105263	1828	1993	0.447368421052632	0	13	14	11	0.846153846153846	0.928571428571429	0.909090909090909	1546	2286	2086.5	22	8	8	1	0.625	0.875	1870	2192	1993
492	NSB	2016-08-10	Espanol_Grupo1_imp	35	34	0.470588235294118	2796	2463	0.470588235294118	0.470588235294118	2522	2713	0	1	12	10	12	0.5	0.5	0.416666666666667	3338	2697	2764	19	8	7	0.578947368421053	0.25	0.428571428571429	2791	3636	3353
493	NSM	2016-08-10	Espanol_Grupo1_imp	41	39	0.948717948717949	2020	NA	0.95	0.947368421052632	1995	2071	0.58974358974359	0	14	12	13	0.928571428571429	1	0.923076923076923	1683	2108	2262	22	8	9	0.954545454545455	0.875	1	1736	2253	2453
494	NSB	2016-08-17	Espanol_Grupo1_imp	41	30	0.633333333333333	3194	3671	0.733333333333333	0.533333333333333	4396	2990	0.433333333333333	0	8	11	11	0.625	0.636363636363636	0.636363636363636	4738	2841	4123	19	8	3	0.578947368421053	0.75	NA	4738	2686.5	NA
536	NSB	2016-07-29	Espanol_Grupo1_imp	41	39	0.666666666666667	2072.5	2082	0.65	0.684210526315789	1992	2316	0.282051282051282	1	13	13	13	0.769230769230769	0.769230769230769	0.461538461538462	1849.5	2367	2174.5	21	8	10	0.714285714285714	0.375	0.8	1949	2314	3087
537	NSB	2016-08-03	Espanol_Grupo1_imp	41	16	0.8125	5544	NA	0.75	0.875	5290	5748	0.4375	0	7	5	4	0.857142857142857	0.8	0.75	4716	6034.5	NA	12	3	1	0.916666666666667	NA	NA	4901	NA	NA
538	NSB	2016-07-29	Espanol_Grupo1_imp	23	23	0.565217391304348	1835	2321	0.666666666666667	0.454545454545455	2411	1704	0.478260869565217	0	7	7	9	0.571428571428571	0.857142857142857	0.333333333333333	2009.5	1979	NA	12	5	6	0.75	0.4	0.333333333333333	2275	1462.5	2807
539	NSB	2016-07-29	Espanol_Grupo1_imp	41	27	0.62962962962963	3493	3466	0.571428571428571	0.692307692307692	3348.5	3511	0.555555555555556	0	10	9	8	0.7	0.666666666666667	0.5	3199	3967.5	3251	18	6	3	0.666666666666667	0.333333333333333	NA	3594.5	2838.5	NA
540	NSB	2016-07-29	Espanol_Grupo2_imp	41	41	0.634146341463415	1624.5	2013	0.619047619047619	0.65	1637	1995.5	0.268292682926829	1	14	14	13	0.642857142857143	0.714285714285714	0.538461538461538	1520	1550.5	1670	22	8	11	0.636363636363636	0.5	0.727272727272727	1624.5	1537.5	1632
541	NSB	2016-07-29	Espanol_Grupo2_imp	41	11	0.545454545454545	4212.5	4116	0.333333333333333	0.8	4345	3851	0.181818181818182	1	5	2	4	0.6	NA	0.5	NA	NA	NA	4	3	4	0.25	NA	0.5	3783	NA	5426.5
542	NSB	2016-07-29	Espanol_Grupo1_imp	41	25	0.6	3553	2629.5	0.538461538461538	0.666666666666667	3434	3222.5	0.68	1	9	9	7	0.666666666666667	0.555555555555556	0.571428571428571	3374.5	3434	4655	11	6	8	0.818181818181818	0.333333333333333	0.5	3553	2594	4452
543	NSM	2016-08-16	Espanol_Grupo1_imp	41	39	0.769230769230769	2376	3201	0.8	0.736842105263158	2425	2664	0.41025641025641	0	13	14	12	0.769230769230769	0.714285714285714	0.833333333333333	2007.5	3036.5	2312.5	21	8	10	0.80952380952381	0.625	0.8	2077	2664	3125.5
544	NSM	2016-08-18	Espanol_Grupo1_imp	41	37	0.810810810810811	2557	2761	0.789473684210526	0.833333333333333	2555	3173.5	0.459459459459459	0	14	12	11	0.714285714285714	0.833333333333333	0.909090909090909	2214	2893.5	2787	20	7	10	0.9	0.714285714285714	0.7	2486.5	2559	2996
545	NSM	2016-09-02	Espanol_Grupo1_imp	41	40	0.875	2143	2113	0.85	0.9	2143.5	1886.5	0.625	1	14	14	12	0.857142857142857	0.857142857142857	0.916666666666667	2046.5	2326.5	2251	21	8	11	0.857142857142857	0.875	0.909090909090909	1729	2107	3135
546	NSM	2016-09-12	Espanol_Grupo1_imp	41	38	0.842105263157895	2631.5	4067	0.894736842105263	0.789473684210526	2480	3056	0.394736842105263	1	14	12	12	0.928571428571429	0.75	0.833333333333333	2444	2610	2780	21	7	10	1	0.428571428571429	0.8	2120	2977	4008.5
547	NSM	2016-09-15	Espanol_Grupo1_imp	41	33	0.545454545454545	2488	2367	0.588235294117647	0.5	2682	2044	0.333333333333333	1	12	12	9	0.666666666666667	0.583333333333333	0.333333333333333	2709	2094	NA	17	8	8	0.764705882352941	0.125	0.5	2094	2588	2663
548	NSM	2016-09-19	Espanol_Grupo1_imp	41	38	0.947368421052632	2738.5	NA	0.947368421052632	0.947368421052632	2576	3293	0.552631578947368	0	13	13	12	1	0.923076923076923	0.916666666666667	2118	2486.5	3712	21	6	11	0.952380952380952	1	0.909090909090909	2076	3664	4012
549	NSM	2016-09-19	Espanol_Grupo1_imp	40	40	0.925	2348	NA	0.95	0.9	2496.5	2523	0.55	0	14	13	13	1	0.769230769230769	1	2345.5	1945	2698	22	8	10	0.954545454545455	1	0.8	2112	2311	3586.5
557	NSM	2016-08-31	Espanol_Grupo1_imp	41	40	0.9	1483	1843.5	0.9	0.9	1461.5	1676.5	0.475	0	14	14	12	0.857142857142857	1	0.833333333333333	1451	1649.5	1429.5	21	8	11	0.952380952380952	0.75	0.909090909090909	1374	2419.5	1852.5
622	NSB	2016-07-19	Espanol_Grupo1_imp	41	41	0.682926829268293	2116.5	2166	0.714285714285714	0.65	2247	2116.5	0.341463414634146	1	14	14	13	0.785714285714286	0.714285714285714	0.538461538461538	2066	2154	2116	22	8	11	0.818181818181818	0.375	0.636363636363636	2076.5	2117	2247
623	NSB	2016-07-19	Espanol_Grupo1_imp	41	38	0.657894736842105	2653	3449	0.684210526315789	0.631578947368421	2894	2653	0.289473684210526	1	13	13	12	0.923076923076923	0.615384615384615	0.416666666666667	2445.5	2936.5	4290	22	8	8	0.772727272727273	0.375	0.625	2562	2894	4687
624	NSB	2016-07-19	Espanol_Grupo1_imp	41	25	0.68	4469	3699	0.769230769230769	0.583333333333333	4842	3874	0.6	0	11	6	8	0.727272727272727	0.666666666666667	0.625	4342.5	4564	4842	15	5	5	0.8	0.4	0.6	4312.5	6157.5	4719
625	NSB	2016-07-19	Espanol_Grupo1_imp	41	41	0.829268292682927	2538	3588	0.904761904761905	0.75	2596	2734.5	0.48780487804878	0	14	14	13	0.857142857142857	0.785714285714286	0.846153846153846	2610	2282	2703	22	8	11	0.954545454545455	0.75	0.636363636363636	2281	2889.5	2709
626	NSM	2016-07-22	Espanol_Grupo1_imp	41	39	0.974358974358974	1774	NA	1	0.947368421052632	1657.5	2153	0.487179487179487	0	13	13	13	1	1	0.923076923076923	1571	2014	1946.5	22	8	9	1	1	0.888888888888889	1572.5	2587.5	2825
627	NSB	2016-07-22	Espanol_Grupo1_imp	41	27	0.555555555555556	3999	3689.5	0.571428571428571	0.538461538461538	3651.5	3999	0.222222222222222	1	9	13	5	0.555555555555556	0.461538461538462	0.8	3999	3983	3736	13	5	9	0.615384615384615	0.2	0.666666666666667	3375	5765	4846
628	NSB	2016-07-22	Espanol_Grupo1_imp	41	40	0.85	2966	2324	0.8	0.9	3081.5	2536	0.4	0	14	14	12	0.928571428571429	0.928571428571429	0.666666666666667	2149	3243	2337.5	21	8	11	0.904761904761905	0.625	0.909090909090909	2149	3611	3665
629	NSB	2016-07-23	Espanol_Grupo1_imp	41	29	1	4360	NA	1	1	4374	4083	0.551724137931034	0	9	11	9	1	1	1	3856	4235	5271	20	6	3	1	1	NA	4299	4807	NA
630	NSB	2016-07-23	Espanol_Grupo1_imp	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA
