thisuuid	sum(data$uuid == thisuuid)	subject_id	config_profile	session_started_at	thisdir	thisf
1A4C120389364BCE9E292AF3E8FD2BA2	48	623	Espanol_Grupo1_imp	2016-07-19T22:30:26.000Z	NSB	app_session_1A4C120389364BCE9E292AF3E8FD2BA2.csv
3921276EC19544DC9952624E142A945E	49	541	Espanol_Grupo2_imp	2016-07-29T23:24:46.000Z	NSB	app_session_3921276EC19544DC9952624E142A945E.csv
3EB05A7243414BEF8013968180EA463C	30	538	Espanol_Grupo1_imp	2016-07-29T15:30:08.000Z	NSB	app_session_3EB05A7243414BEF8013968180EA463C.csv
4888AA197734485F83BAD128431B926B	47	542	Espanol_Grupo1_imp	2016-07-29T23:48:16.000Z	NSB	app_session_4888AA197734485F83BAD128431B926B.csv
5EEA563CE3ED4C8591333DADEAEBD0FC	48	494	Espanol_Grupo1_imp	2016-08-17T12:46:16.000Z	NSB	app_session_5EEA563CE3ED4C8591333DADEAEBD0FC.csv
62DCAD9340624806883AD7375C76D036	46	537	Espanol_Grupo1_imp	2016-08-03T15:00:11.000Z	NSB	app_session_62DCAD9340624806883AD7375C76D036.csv
64B3AB3B58E1452AAA653D4921C4B831	49	628	Espanol_Grupo1_imp	2016-07-22T23:54:39.000Z	NSB	app_session_64B3AB3B58E1452AAA653D4921C4B831.csv
6D7F3E52123740B48E70A5E6B4167BC5	48	627	Espanol_Grupo1_imp	2016-07-22T22:32:11.000Z	NSB	app_session_6D7F3E52123740B48E70A5E6B4167BC5.csv
7013022595EE41E78BF35A1C15A35B0A	48	625	Espanol_Grupo1_imp	2016-07-19T23:35:51.000Z	NSB	app_session_7013022595EE41E78BF35A1C15A35B0A.csv
779B9A1AB89F4BEE845D176BCB80E4C8	46	539	Espanol_Grupo1_imp	2016-07-29T15:59:26.000Z	NSB	app_session_779B9A1AB89F4BEE845D176BCB80E4C8.csv
77E7B1FB7F11404D8F6934C5A7D175AB	47	861	Espanol_Grupo1_imp	2016-08-29T13:17:19.000Z	NSB	app_session_77E7B1FB7F11404D8F6934C5A7D175AB.csv
790DA88EB9E5465F8E27C4EDE5141AD8	48	622	Espanol_Grupo1_imp	2016-07-19T22:03:40.000Z	NSB	app_session_790DA88EB9E5465F8E27C4EDE5141AD8.csv
89D929A2810E44469EC950CD54319C64	42	492	Espanol_Grupo1_imp	2016-08-10T22:45:39.000Z	NSB	app_session_89D929A2810E44469EC950CD54319C64.csv
8BD1E81E5F084A95B5DD85D0900EF07D	46	629	Espanol_Grupo1_imp	2016-07-23T00:55:18.000Z	NSB	app_session_8BD1E81E5F084A95B5DD85D0900EF07D.csv
8C093B15E3914563964CB5F3E51E63EF	48	624	Espanol_Grupo1_imp	2016-07-19T22:45:09.000Z	NSB	app_session_8C093B15E3914563964CB5F3E51E63EF.csv
8E3ADC8D01494053B97D2C32807C4C2A	52	540	Espanol_Grupo2_imp	2016-07-29T22:57:24.000Z	NSB	app_session_8E3ADC8D01494053B97D2C32807C4C2A.csv
8EABDB95CB764AA0A06AFF1397CB3657	47	536	Espanol_Grupo1_imp	2016-07-29T14:51:50.000Z	NSB	app_session_8EABDB95CB764AA0A06AFF1397CB3657.csv
937683DF8C5D41E48069C9300569644F	35	760	Espanol_Grupo1_imp	2016-06-22T21:09:43.000Z	NSB	app_session_937683DF8C5D41E48069C9300569644F.csv
9B32136F5E1E4906AD7DC6167CEC8929	45	862	Espanol_Grupo1_imp	2016-08-29T14:24:31.000Z	NSB	app_session_9B32136F5E1E4906AD7DC6167CEC8929.csv
B800A0218AD84501BED681B04B9AB960	1	630	Espanol_Grupo1_imp	2016-07-23T01:25:15.000Z	NSB	app_session_B800A0218AD84501BED681B04B9AB960.csv
CBDE60018C784B7DB28345CB0D8526D3	46	639	Espanol_Grupo1_imp	2016-09-28T02:58:13.000Z	NSB	app_session_CBDE60018C784B7DB28345CB0D8526D3.csv
CFDF3479643A4733A1A3BF1359FB1EC1	13	863	Espanol_Grupo1_imp	2016-09-16T12:09:16.000Z	NSB	app_session_CFDF3479643A4733A1A3BF1359FB1EC1.csv
D72C8C4560754ED9B7E37E8BFAA65A77	49	638	Espanol_Grupo1_imp	2016-09-21T22:40:12.000Z	NSB	app_session_D72C8C4560754ED9B7E37E8BFAA65A77.csv
07695454F949436F89199D692D13010F	46	626	Espanol_Grupo1_imp	2016-07-22T05:01:54.000Z	NSM	app_session_07695454F949436F89199D692D13010F.csv
1609AFC9A4C94D259A5BFBE63A039517	51	10011	Espanol_Grupo1_imp	2016-08-12T02:41:35.000Z	NSM	app_session_1609AFC9A4C94D259A5BFBE63A039517.csv
1C106127C7A3457788B8895F3FA45300	48	547	Espanol_Grupo1_imp	2016-09-15T19:00:22.000Z	NSM	app_session_1C106127C7A3457788B8895F3FA45300.csv
236F62CE67A24B73832AEBE3A080007B	48	10013	Espanol_Grupo1_imp	2016-09-08T19:25:08.000Z	NSM	app_session_236F62CE67A24B73832AEBE3A080007B.csv
27F7693DCB31488F89026C819F7D89A9	45	557	Espanol_Grupo1_imp	2016-08-31T20:46:13.000Z	NSM	app_session_27F7693DCB31488F89026C819F7D89A9.csv
355104586D6C4DB085E19BCCFB393611	48	650	Espanol_Grupo1_imp	2016-06-22T13:11:47.000Z	NSM	app_session_355104586D6C4DB085E19BCCFB393611.csv
36229D62364944FE8ABC80DE8C9D8206	46	637	Espanol_Grupo1_imp	2016-09-09T02:28:32.000Z	NSM	app_session_36229D62364944FE8ABC80DE8C9D8206.csv
3744706ECB07442683350A317CC0707E	47	864	Espanol_Grupo1_imp	2016-09-19T16:53:27.000Z	NSM	app_session_3744706ECB07442683350A317CC0707E.csv
3828B7D176FB4929B35E4FB4265F4F63	54	10014	Espanol_Grupo1_imp	2016-09-21T19:24:47.000Z	NSM	app_session_3828B7D176FB4929B35E4FB4265F4F63.csv
41C7ABAAE0BA4A5AABA433706FF11209	48	545	Espanol_Grupo1_imp	2016-09-02T19:04:47.000Z	NSM	app_session_41C7ABAAE0BA4A5AABA433706FF11209.csv
466B470ECC134576B2C50BD95A28D331	45	493	Espanol_Grupo1_imp	2016-08-10T23:55:52.000Z	NSM	app_session_466B470ECC134576B2C50BD95A28D331.csv
5048823B774642EF8701970781EB6F13	48	858	Espanol_Grupo1_imp	2016-08-19T15:43:33.000Z	NSM	app_session_5048823B774642EF8701970781EB6F13.csv
514AD1A4D6464C388947643D979D3ADA	48	2001	Espanol_Grupo1_imp	2016-09-20T18:45:25.000Z	NSM	app_session_514AD1A4D6464C388947643D979D3ADA.csv
5C53DAE539EB4F2B879B17B02B1C8428	50	800	Espanol_Grupo1_imp	2016-08-18T05:00:24.000Z	NSM	app_session_5C53DAE539EB4F2B879B17B02B1C8428.csv
610B3824CAB9460F819B7918FC5988D1	46	546	Espanol_Grupo1_imp	2016-09-12T20:39:24.000Z	NSM	app_session_610B3824CAB9460F819B7918FC5988D1.csv
646F5F5DA5224A84BAD36D8025646509	48	491	Espanol_Grupo1_imp	2016-08-05T15:34:09.000Z	NSM	app_session_646F5F5DA5224A84BAD36D8025646509.csv
87AE5F7418EF4B20BFAF3ACA05B6E315	46	548	Espanol_Grupo1_imp	2016-09-19T20:01:14.000Z	NSM	app_session_87AE5F7418EF4B20BFAF3ACA05B6E315.csv
91B6DF4C43B74D38B9391A60A859D900	45	695	Espanol_Grupo1_imp	2016-08-11T14:33:59.000Z	NSM	app_session_91B6DF4C43B74D38B9391A60A859D900.csv
97637E205FE14C0CB3EF1BB9B49B3DD2	45	696	Espanol_Grupo1_imp	2016-08-14T13:27:20.000Z	NSM	app_session_97637E205FE14C0CB3EF1BB9B49B3DD2.csv
9A923F79338649408053BA41F84C5D0C	47	631	Espanol_Grupo1_imp	2016-07-27T04:15:15.000Z	NSM	app_session_9A923F79338649408053BA41F84C5D0C.csv
9ACD24CC5EC44A07AA32D1B2170C2C04	48	859	Espanol_Grupo1_imp	2016-08-23T21:39:14.000Z	NSM	app_session_9ACD24CC5EC44A07AA32D1B2170C2C04.csv
9B08168378D14A3984F1BE6653830961	47	694	Espanol_Grupo1_imp	2016-08-03T18:29:42.000Z	NSM	app_session_9B08168378D14A3984F1BE6653830961.csv
A94762FF2DF04A6288FE55716D664CE2	45	549	Espanol_Grupo1_imp	2016-09-19T20:14:40.000Z	NSM	app_session_A94762FF2DF04A6288FE55716D664CE2.csv
A95F6AC39DE3473C8BF97F26A2F763AC	46	636	Espanol_Grupo1_imp	2016-09-06T05:41:29.000Z	NSM	app_session_A95F6AC39DE3473C8BF97F26A2F763AC.csv
