uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
9C3ED3B5A5704E15826A07D9FF8DEC65,Unknown,2016-04-14,"",Test_mix1_beg,216,1,2016-04-14T08:27:05.000Z,2016-04-14T08:38:39.000Z,1,2016-04-14T08:27:07.140Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,2232,poisson,CENTER_LEFT,poisson,CENTER_LEFT,1947,touch_object,1,1
9C3ED3B5A5704E15826A07D9FF8DEC65,Unknown,2016-04-14,"",Test_mix1_beg,216,1,2016-04-14T08:27:05.000Z,2016-04-14T08:38:39.000Z,2,2016-04-14T08:27:21.931Z,0,2,Training_L1,countryside,1,2,syl_01,1847,zyl_02,3886,,,,,3089,syl_01,CENTER_LEFT,syl_01,CENTER_LEFT,1822,touch_object,1,1
9C3ED3B5A5704E15826A07D9FF8DEC65,Unknown,2016-04-14,"",Test_mix1_beg,216,1,2016-04-14T08:27:05.000Z,2016-04-14T08:38:39.000Z,3,2016-04-14T08:27:44.040Z,1,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,3960,petit,CENTER_RIGHT,jaune,CENTER_LEFT,2059,touch_object,0,1
9C3ED3B5A5704E15826A07D9FF8DEC65,Unknown,2016-04-14,"",Test_mix1_beg,216,1,2016-04-14T08:27:05.000Z,2016-04-14T08:38:39.000Z,4,2016-04-14T08:27:56.373Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,2479,petit,CENTER_RIGHT,petit,CENTER_RIGHT,1858,touch_object,1,1
9C3ED3B5A5704E15826A07D9FF8DEC65,Unknown,2016-04-14,"",Test_mix1_beg,216,1,2016-04-14T08:27:05.000Z,2016-04-14T08:38:39.000Z,5,2016-04-14T08:28:15.748Z,0,4,Training_L2,countryside,1,2,zyl_02,1649,syl_01,1539,,,,,4336,syl_01,CENTER_RIGHT,zyl_02,CENTER_LEFT,1515,touch_object,0,1
9C3ED3B5A5704E15826A07D9FF8DEC65,Unknown,2016-04-14,"",Test_mix1_beg,216,1,2016-04-14T08:27:05.000Z,2016-04-14T08:38:39.000Z,6,2016-04-14T08:28:32.092Z,0,4,Training_L2,countryside,2,2,syl_01,1320,zyl_02,1577,,,,,1648,zyl_02,CENTER_RIGHT,zyl_02,CENTER_RIGHT,2950,touch_object,1,1
9C3ED3B5A5704E15826A07D9FF8DEC65,Unknown,2016-04-14,"",Test_mix1_beg,216,1,2016-04-14T08:27:05.000Z,2016-04-14T08:38:39.000Z,7,2016-04-14T08:28:50.730Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,663,manger,CENTER_RIGHT,manger,CENTER_RIGHT,2186,touch_object,1,1
9C3ED3B5A5704E15826A07D9FF8DEC65,Unknown,2016-04-14,"",Test_mix1_beg,216,1,2016-04-14T08:27:05.000Z,2016-04-14T08:38:39.000Z,8,2016-04-14T08:29:04.084Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,1546,train,CENTER_LEFT,train,CENTER_LEFT,1572,touch_object,1,1
9C3ED3B5A5704E15826A07D9FF8DEC65,Unknown,2016-04-14,"",Test_mix1_beg,216,1,2016-04-14T08:27:05.000Z,2016-04-14T08:38:39.000Z,9,2016-04-14T08:29:13.576Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,1048,ciseau,CENTER_LEFT,ciseau,CENTER_LEFT,1622,touch_object,1,1
9C3ED3B5A5704E15826A07D9FF8DEC65,Unknown,2016-04-14,"",Test_mix1_beg,216,1,2016-04-14T08:27:05.000Z,2016-04-14T08:38:39.000Z,10,2016-04-14T08:29:22.544Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,1386,pleurer,CENTER_RIGHT,pleurer,CENTER_RIGHT,1926,touch_object,1,1
