uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,1,2016-04-05T06:59:39.064Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,3653,poisson,CENTER_LEFT,poisson,CENTER_LEFT,2039,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,2,2016-04-05T06:59:56.327Z,0,2,Training_L1,countryside,1,2,syl_01,2315,zyl_02,3361,,,,,1886,syl_01,CENTER_LEFT,zyl_02,CENTER_RIGHT,2045,touch_object,0,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,3,2016-04-05T07:00:16.340Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,2531,petit,CENTER_RIGHT,petit,CENTER_RIGHT,2438,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,4,2016-04-05T07:00:31.676Z,0,4,Training_L2,countryside,1,2,zyl_02,1818,syl_01,1453,,,,,1763,syl_01,CENTER_RIGHT,zyl_02,CENTER_LEFT,2194,touch_object,0,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,5,2016-04-05T07:00:46.198Z,0,4,Training_L2,countryside,2,2,syl_01,1540,zyl_02,1620,,,,,1837,zyl_02,CENTER_RIGHT,zyl_02,CENTER_RIGHT,4093,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,6,2016-04-05T07:01:04.758Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,1997,manger,CENTER_RIGHT,manger,CENTER_RIGHT,2546,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,7,2016-04-05T07:01:20.366Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,1132,train,CENTER_LEFT,train,CENTER_LEFT,1920,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,8,2016-04-05T07:01:30.804Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,1464,ciseau,CENTER_LEFT,ciseau,CENTER_LEFT,2087,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,9,2016-04-05T07:01:41.652Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,1663,pleurer,CENTER_RIGHT,pleurer,CENTER_RIGHT,2713,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,10,2016-04-05T07:01:58.413Z,0,7,Test_L1,mountain,1,2,zop_02,1816,sop_01,1518,,,,,1515,zop_02,CENTER_LEFT,sop_01,CENTER_RIGHT,1668,touch_object,0,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,11,2016-04-05T07:02:14.259Z,0,8,Test_C2,mountain,1,2,riviere,,foret,,,,,,1113,riviere,CENTER_LEFT,riviere,CENTER_LEFT,2100,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,12,2016-04-05T07:02:24.804Z,0,8,Test_C2,mountain,2,2,telephoner,,coiffer,,,,,,1065,coiffer,CENTER_RIGHT,coiffer,CENTER_RIGHT,3809,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,13,2016-04-05T07:02:36.988Z,0,8,Test_C2,mountain,3,2,chat,,cochon,,,,,,955,cochon,CENTER_RIGHT,cochon,CENTER_RIGHT,1457,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,14,2016-04-05T07:02:46.705Z,0,8,Test_C2,mountain,4,2,pingouin,,kangourou,,,,,,959,pingouin,CENTER_LEFT,pingouin,CENTER_LEFT,1751,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,15,2016-04-05T07:02:58.954Z,0,9,Test_L2,mountain,1,2,zat_02,1538,sat_01,1669,,,,,1326,sat_01,CENTER_RIGHT,sat_01,CENTER_RIGHT,1818,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,16,2016-04-05T07:03:14.328Z,0,10,Test_C3,desert,1,2,debout,,assis,,,,,,679,assis,CENTER_RIGHT,debout,CENTER_LEFT,2390,touch_object,0,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,17,2016-04-05T07:03:24.757Z,0,10,Test_C3,desert,2,2,groupe,,medecin,,,,,,802,medecin,CENTER_RIGHT,medecin,CENTER_RIGHT,2513,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,18,2016-04-05T07:03:40.775Z,0,11,Test_L3,desert,1,2,sat_01,1423,zat_02,1658,,,,,4041,zat_02,CENTER_RIGHT,zat_02,CENTER_RIGHT,1712,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,19,2016-04-05T07:04:00.085Z,0,12,Test_C4,desert,1,2,perroquet,,moustique,,,,,,690,perroquet,CENTER_LEFT,perroquet,CENTER_LEFT,2059,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,20,2016-04-05T07:04:10.159Z,0,12,Test_C4,desert,2,2,tete,,bouche,,,,,,2677,tete,CENTER_LEFT,tete,CENTER_LEFT,2747,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,21,2016-04-05T07:04:22.894Z,0,12,Test_C4,desert,3,2,plonger,,pecher,,,,,,1054,pecher,CENTER_RIGHT,pecher,CENTER_RIGHT,2403,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,22,2016-04-05T07:04:35.515Z,0,13,Test_L4,desert,1,2,zop_02,1369,sop_01,1713,,,,,5825,zop_02,CENTER_LEFT,sop_01,CENTER_RIGHT,1849,touch_object,0,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,23,2016-04-05T07:05:00.419Z,0,14,Test_C5,beach,1,2,propre,,sale,,,,,,862,propre,CENTER_LEFT,sale,CENTER_RIGHT,3004,touch_object,0,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,24,2016-04-05T07:05:11.630Z,0,14,Test_C5,beach,2,2,chaussures,,lits,,,,,,1020,chaussures,CENTER_LEFT,chaussures,CENTER_LEFT,1877,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,25,2016-04-05T07:05:21.814Z,0,14,Test_C5,beach,3,2,piedsnus,,jeune,,,,,,11308,jeune,CENTER_RIGHT,piedsnus,CENTER_LEFT,2507,touch_object,0,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,26,2016-04-05T07:05:49.371Z,0,15,Test_L5,beach,1,2,zat_02,1397,sat_01,1359,,,,,1191,sat_01,CENTER_RIGHT,sat_01,CENTER_RIGHT,1420,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,27,2016-04-05T07:06:04.838Z,0,16,Test_C6,beach,1,2,livre,,ballon,,,,,,828,livre,CENTER_LEFT,livre,CENTER_LEFT,1699,touch_object,1,1
953860E3A330422593763027863067BA,Unknown,2016-04-05,"",Test_mix1_beg,101,6,2016-04-05T06:59:37.000Z,2016-04-05T07:11:31.000Z,28,2016-04-05T07:06:14.684Z,0,16,Test_C6,beach,2,2,serpent,,papillon,,,,,,1696,papillon,CENTER_RIGHT,serpent,CENTER_LEFT,2055,touch_object,0,1
