uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
98BC8B8C72214D1DAED95CE29E6D22C3,Unknown,2016-04-05,"",Test_mix1_beg,102,4,2016-04-05T07:18:17.000Z,,1,2016-04-05T07:18:19.412Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,1090,poisson,CENTER_LEFT,poisson,CENTER_LEFT,2316,touch_object,1,1
98BC8B8C72214D1DAED95CE29E6D22C3,Unknown,2016-04-05,"",Test_mix1_beg,102,4,2016-04-05T07:18:17.000Z,,2,2016-04-05T07:18:32.433Z,0,2,Training_L1,countryside,1,2,syl_01,1710,zyl_02,1428,,,,,2572,syl_01,CENTER_LEFT,syl_01,CENTER_LEFT,2257,touch_object,1,1
98BC8B8C72214D1DAED95CE29E6D22C3,Unknown,2016-04-05,"",Test_mix1_beg,102,4,2016-04-05T07:18:17.000Z,,3,2016-04-05T07:18:48.992Z,1,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,967,petit,CENTER_RIGHT,jaune,CENTER_LEFT,1324,touch_object,0,1
98BC8B8C72214D1DAED95CE29E6D22C3,Unknown,2016-04-05,"",Test_mix1_beg,102,4,2016-04-05T07:18:17.000Z,,4,2016-04-05T07:18:58.597Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,840,petit,CENTER_RIGHT,petit,CENTER_RIGHT,2031,touch_object,1,1
98BC8B8C72214D1DAED95CE29E6D22C3,Unknown,2016-04-05,"",Test_mix1_beg,102,4,2016-04-05T07:18:17.000Z,,5,2016-04-05T07:19:10.089Z,0,4,Training_L2,countryside,1,2,zyl_02,1517,syl_01,1046,,,,,716,syl_01,CENTER_RIGHT,syl_01,CENTER_RIGHT,2194,touch_object,1,1
98BC8B8C72214D1DAED95CE29E6D22C3,Unknown,2016-04-05,"",Test_mix1_beg,102,4,2016-04-05T07:18:17.000Z,,6,2016-04-05T07:19:22.898Z,0,4,Training_L2,countryside,2,2,syl_01,18731,zyl_02,1096,,,,,182,zyl_02,CENTER_RIGHT,zyl_02,CENTER_RIGHT,901,touch_object,1,1
98BC8B8C72214D1DAED95CE29E6D22C3,Unknown,2016-04-05,"",Test_mix1_beg,102,4,2016-04-05T07:18:17.000Z,,7,2016-04-05T07:19:52.143Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,800,manger,CENTER_RIGHT,manger,CENTER_RIGHT,1461,touch_object,1,1
98BC8B8C72214D1DAED95CE29E6D22C3,Unknown,2016-04-05,"",Test_mix1_beg,102,4,2016-04-05T07:18:17.000Z,,8,2016-04-05T07:20:03.213Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,759,train,CENTER_LEFT,train,CENTER_LEFT,786,touch_object,1,1
98BC8B8C72214D1DAED95CE29E6D22C3,Unknown,2016-04-05,"",Test_mix1_beg,102,4,2016-04-05T07:18:17.000Z,,9,2016-04-05T07:20:12.134Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,230,ciseau,CENTER_LEFT,ciseau,CENTER_LEFT,714,touch_object,1,1
98BC8B8C72214D1DAED95CE29E6D22C3,Unknown,2016-04-05,"",Test_mix1_beg,102,4,2016-04-05T07:18:17.000Z,,10,2016-04-05T07:20:20.367Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,224,pleurer,CENTER_RIGHT,pleurer,CENTER_RIGHT,2318,touch_object,1,1
