uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,1,2016-04-05T08:04:46.764Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,14621,poisson,CENTER_LEFT,poisson,CENTER_LEFT,10728,touch_object,1,1
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,2,2016-04-05T08:05:24.786Z,0,2,Training_L1,countryside,1,2,syl_01,2659,zyl_02,1288,,,,,1714,syl_01,CENTER_LEFT,zyl_02,CENTER_RIGHT,2013,touch_object,0,1
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,3,2016-04-05T08:05:41.405Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,761,petit,CENTER_RIGHT,petit,CENTER_RIGHT,1828,touch_object,1,1
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,4,2016-04-05T08:05:55.810Z,0,4,Training_L2,countryside,1,2,zyl_02,2314,syl_01,1217,,,,,1036,syl_01,CENTER_RIGHT,syl_01,CENTER_RIGHT,1902,touch_object,1,1
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,5,2016-04-05T08:06:09.562Z,0,4,Training_L2,countryside,2,2,syl_01,1139,zyl_02,1312,,,,,2484,zyl_02,CENTER_RIGHT,zyl_02,CENTER_RIGHT,1989,touch_object,1,1
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,6,2016-04-05T08:06:27.226Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,1096,manger,CENTER_RIGHT,manger,CENTER_RIGHT,1331,touch_object,1,1
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,7,2016-04-05T08:06:38.205Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,764,train,CENTER_LEFT,train,CENTER_LEFT,2150,touch_object,1,1
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,8,2016-04-05T08:06:48.481Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,1454,ciseau,CENTER_LEFT,ciseau,CENTER_LEFT,2166,touch_object,1,1
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,9,2016-04-05T08:06:59.381Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,938,pleurer,CENTER_RIGHT,pleurer,CENTER_RIGHT,2675,touch_object,1,1
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,10,2016-04-05T08:07:11.479Z,0,7,Test_L1,mountain,1,2,zop_02,2152,sop_01,2345,,,,,3125,zop_02,CENTER_LEFT,sop_01,CENTER_RIGHT,1780,touch_object,0,1
FC8CEEF2DD8E4280BFDAAF71D0F38BE7,Unknown,2016-04-05,"",Test_mix1_beg,104,4,2016-04-05T08:04:44.000Z,2016-04-05T08:15:32.000Z,11,2016-04-05T08:07:28.235Z,0,8,Test_C2,mountain,1,2,riviere,,foret,,,,,,1511,riviere,CENTER_LEFT,riviere,CENTER_LEFT,1910,touch_object,1,1
