uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,1,2016-04-05T08:22:22.791Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,2021,poisson,CENTER_LEFT,poisson,CENTER_LEFT,2640,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,2,2016-04-05T08:22:36.152Z,0,2,Training_L1,countryside,1,2,syl_01,7462,zyl_02,1866,,,,,2867,syl_01,CENTER_LEFT,zyl_02,CENTER_RIGHT,2078,touch_object,0,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,3,2016-04-05T08:23:03.950Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,4788,petit,CENTER_RIGHT,petit,CENTER_RIGHT,2944,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,4,2016-04-05T08:23:22.088Z,0,4,Training_L2,countryside,1,2,zyl_02,1809,syl_01,1392,,,,,3180,syl_01,CENTER_RIGHT,zyl_02,CENTER_LEFT,2010,touch_object,0,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,5,2016-04-05T08:23:37.762Z,0,4,Training_L2,countryside,2,2,syl_01,3167,zyl_02,3953,,,,,1846,zyl_02,CENTER_RIGHT,zyl_02,CENTER_RIGHT,7215,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,6,2016-04-05T08:24:03.136Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,2388,manger,CENTER_RIGHT,manger,CENTER_RIGHT,4353,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,7,2016-04-05T08:24:19.410Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,1891,train,CENTER_LEFT,train,CENTER_LEFT,2404,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,8,2016-04-05T08:24:31.066Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,1152,ciseau,CENTER_LEFT,ciseau,CENTER_LEFT,1680,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,9,2016-04-05T08:24:41.183Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,2104,pleurer,CENTER_RIGHT,pleurer,CENTER_RIGHT,2814,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,10,2016-04-05T08:24:55.046Z,0,7,Test_L1,mountain,1,2,zop_02,2157,sop_01,3127,,,,,1782,zop_02,CENTER_LEFT,sop_01,CENTER_RIGHT,3765,touch_object,0,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,11,2016-04-05T08:25:14.911Z,0,8,Test_C2,mountain,1,2,riviere,,foret,,,,,,1161,riviere,CENTER_LEFT,riviere,CENTER_LEFT,2479,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,12,2016-04-05T08:25:25.869Z,0,8,Test_C2,mountain,2,2,telephoner,,coiffer,,,,,,1597,coiffer,CENTER_RIGHT,coiffer,CENTER_RIGHT,4182,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,13,2016-04-05T08:25:38.953Z,0,8,Test_C2,mountain,3,2,chat,,cochon,,,,,,1705,cochon,CENTER_RIGHT,cochon,CENTER_RIGHT,1937,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,14,2016-04-05T08:25:49.887Z,0,8,Test_C2,mountain,4,2,pingouin,,kangourou,,,,,,1106,pingouin,CENTER_LEFT,pingouin,CENTER_LEFT,1511,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,15,2016-04-05T08:26:01.507Z,0,9,Test_L2,mountain,1,2,zat_02,1742,sat_01,2967,,,,,1566,sat_01,CENTER_RIGHT,zat_02,CENTER_LEFT,2771,touch_object,0,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,16,2016-04-05T08:26:19.609Z,0,10,Test_C3,desert,1,2,debout,,assis,,,,,,1037,assis,CENTER_RIGHT,assis,CENTER_RIGHT,2581,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,17,2016-04-05T08:26:30.606Z,0,10,Test_C3,desert,2,2,groupe,,medecin,,,,,,1284,medecin,CENTER_RIGHT,medecin,CENTER_RIGHT,2185,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,18,2016-04-05T08:26:43.384Z,0,11,Test_L3,desert,1,2,sat_01,1867,zat_02,1509,,,,,834,zat_02,CENTER_RIGHT,sat_01,CENTER_LEFT,3156,touch_object,0,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,19,2016-04-05T08:27:01.034Z,0,12,Test_C4,desert,1,2,perroquet,,moustique,,,,,,1465,perroquet,CENTER_LEFT,perroquet,CENTER_LEFT,2703,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,20,2016-04-05T08:27:12.524Z,0,12,Test_C4,desert,2,2,tete,,bouche,,,,,,1596,tete,CENTER_LEFT,tete,CENTER_LEFT,2959,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,21,2016-04-05T08:27:24.375Z,0,12,Test_C4,desert,3,2,plonger,,pecher,,,,,,1409,pecher,CENTER_RIGHT,pecher,CENTER_RIGHT,3334,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,22,2016-04-05T08:27:38.997Z,0,13,Test_L4,desert,1,2,zop_02,1811,sop_01,1687,,,,,1009,zop_02,CENTER_LEFT,sop_01,CENTER_RIGHT,2430,touch_object,0,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,23,2016-04-05T08:27:55.129Z,0,14,Test_C5,beach,1,2,propre,,sale,,,,,,1157,propre,CENTER_LEFT,propre,CENTER_LEFT,2105,touch_object,1,1
72321C90E39E4934820AD7F9524AB934,Unknown,2016-04-05,"",Test_mix1_beg,105,1,2016-04-05T08:22:20.000Z,2016-04-05T08:34:52.000Z,24,2016-04-05T08:28:05.727Z,0,14,Test_C5,beach,2,2,chaussures,,lits,,,,,,1152,chaussures,CENTER_LEFT,chaussures,CENTER_LEFT,1735,touch_object,1,1
