uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,1,2016-04-05T08:39:06.460Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,7029,poisson,CENTER_LEFT,poisson,CENTER_LEFT,11675,touch_object,1,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,2,2016-04-05T08:39:36.022Z,0,2,Training_L1,countryside,1,2,syl_01,1576,zyl_02,3887,,,,,2148,syl_01,CENTER_LEFT,syl_01,CENTER_LEFT,3001,touch_object,1,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,3,2016-04-05T08:39:56.598Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,1321,petit,CENTER_RIGHT,petit,CENTER_RIGHT,2235,touch_object,1,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,4,2016-04-05T08:40:10.736Z,0,4,Training_L2,countryside,1,2,zyl_02,1526,syl_01,1598,,,,,1157,syl_01,CENTER_RIGHT,zyl_02,CENTER_LEFT,2167,touch_object,0,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,5,2016-04-05T08:40:24.453Z,0,4,Training_L2,countryside,2,2,syl_01,1342,zyl_02,1782,,,,,1274,zyl_02,CENTER_RIGHT,syl_01,CENTER_LEFT,1777,touch_object,0,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,6,2016-04-05T08:40:39.169Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,1121,manger,CENTER_RIGHT,manger,CENTER_RIGHT,1973,touch_object,1,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,7,2016-04-05T08:40:51.159Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,896,train,CENTER_LEFT,bateau,CENTER_RIGHT,2461,touch_object,0,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,8,2016-04-05T08:41:01.871Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,977,ciseau,CENTER_LEFT,ciseau,CENTER_LEFT,1353,touch_object,1,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,9,2016-04-05T08:41:11.489Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,1246,pleurer,CENTER_RIGHT,pleurer,CENTER_RIGHT,1574,touch_object,1,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,10,2016-04-05T08:41:22.961Z,0,7,Test_L1,mountain,1,2,zop_02,1412,sop_01,1403,,,,,990,zop_02,CENTER_LEFT,zop_02,CENTER_LEFT,2432,touch_object,1,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,11,2016-04-05T08:41:37.599Z,0,8,Test_C2,mountain,1,2,riviere,,foret,,,,,,612,riviere,CENTER_LEFT,riviere,CENTER_LEFT,2128,touch_object,1,1
2EAEE5BFC200421E84EACAEBCD5FEE74,Unknown,2016-04-05,"",Test_mix1_beg,106,2,2016-04-05T08:39:04.000Z,2016-04-05T08:49:23.000Z,12,2016-04-05T08:41:47.690Z,0,8,Test_C2,mountain,2,2,telephoner,,coiffer,,,,,,912,coiffer,CENTER_RIGHT,coiffer,CENTER_RIGHT,1723,touch_object,1,1
