uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,1,2016-04-05T07:20:30.018Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,1292,poisson,CENTER_LEFT,poisson,CENTER_LEFT,12428,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,2,2016-04-05T07:20:56.227Z,0,2,Training_L1,countryside,1,2,zyl_02,3836,syl_01,2458,,,,,2856,zyl_02,CENTER_LEFT,syl_01,CENTER_RIGHT,2193,touch_object,0,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,3,2016-04-05T07:21:17.524Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,955,petit,CENTER_RIGHT,petit,CENTER_RIGHT,2166,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,4,2016-04-05T07:21:29.047Z,0,4,Training_L2,countryside,1,2,syl_01,1737,zyl_02,1538,,,,,909,zyl_02,CENTER_RIGHT,zyl_02,CENTER_RIGHT,1696,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,5,2016-04-05T07:21:42.253Z,0,4,Training_L2,countryside,2,2,zyl_02,1841,syl_01,1602,,,,,1105,syl_01,CENTER_RIGHT,syl_01,CENTER_RIGHT,1896,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,6,2016-04-05T07:21:57.740Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,950,manger,CENTER_RIGHT,manger,CENTER_RIGHT,18483,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,7,2016-04-05T07:22:25.149Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,842,bateau,CENTER_RIGHT,bateau,CENTER_RIGHT,1790,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,8,2016-04-05T07:22:34.172Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,797,velo,CENTER_RIGHT,velo,CENTER_RIGHT,1580,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,9,2016-04-05T07:22:42.856Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,1990,sauter,CENTER_LEFT,sauter,CENTER_LEFT,3917,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,10,2016-04-05T07:22:56.329Z,0,7,Test_L1,mountain,1,2,sop_01,1529,zop_02,1384,,,,,1006,sop_01,CENTER_LEFT,zop_02,CENTER_RIGHT,2594,touch_object,0,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,11,2016-04-05T07:23:11.591Z,0,8,Test_C2,mountain,1,2,riviere,,foret,,,,,,740,foret,CENTER_RIGHT,foret,CENTER_RIGHT,4985,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,12,2016-04-05T07:23:23.624Z,0,8,Test_C2,mountain,2,2,telephoner,,coiffer,,,,,,2263,telephoner,CENTER_LEFT,telephoner,CENTER_LEFT,3727,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,13,2016-04-05T07:23:35.926Z,0,8,Test_C2,mountain,3,2,chat,,cochon,,,,,,1001,chat,CENTER_LEFT,chat,CENTER_LEFT,2029,touch_object,1,1
511CE3AF5780497583C8FD2A89A62AEB,Unknown,2016-04-05,"",Test_mix2_beg,17,3,2016-04-05T07:20:28.000Z,,14,2016-04-05T07:23:45.243Z,0,8,Test_C2,mountain,4,2,pingouin,,kangourou,,,,,,661,kangourou,CENTER_RIGHT,kangourou,CENTER_RIGHT,2632,touch_object,1,1
