uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,1,2016-04-05T08:06:13.146Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,887,poisson,CENTER_LEFT,poisson,CENTER_LEFT,7986,touch_object,1,1
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,2,2016-04-05T08:06:31.607Z,0,2,Training_L1,countryside,1,2,zyl_02,1969,syl_01,1227,,,,,1741,zyl_02,CENTER_LEFT,syl_01,CENTER_RIGHT,2638,touch_object,0,1
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,3,2016-04-05T08:06:47.578Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,1794,petit,CENTER_RIGHT,petit,CENTER_RIGHT,2801,touch_object,1,1
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,4,2016-04-05T08:06:59.502Z,0,4,Training_L2,countryside,1,2,syl_01,1053,zyl_02,1096,,,,,451,zyl_02,CENTER_RIGHT,zyl_02,CENTER_RIGHT,1636,touch_object,1,1
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,5,2016-04-05T08:07:11.041Z,0,4,Training_L2,countryside,2,2,zyl_02,1066,syl_01,946,,,,,432,syl_01,CENTER_RIGHT,syl_01,CENTER_RIGHT,1959,touch_object,1,1
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,6,2016-04-05T08:07:23.936Z,1,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,501,manger,CENTER_RIGHT,ouvrir,CENTER_LEFT,1750,touch_object,0,1
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,7,2016-04-05T08:07:32.510Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,2753,manger,CENTER_RIGHT,manger,CENTER_RIGHT,2163,touch_object,1,1
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,8,2016-04-05T08:07:44.606Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,520,bateau,CENTER_RIGHT,bateau,CENTER_RIGHT,2005,touch_object,1,1
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,9,2016-04-05T08:07:53.493Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,4590,velo,CENTER_RIGHT,velo,CENTER_RIGHT,2056,touch_object,1,1
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,10,2016-04-05T08:08:06.461Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,588,sauter,CENTER_LEFT,pleurer,CENTER_RIGHT,1993,touch_object,0,1
E3281D4DCF324FCE897E1480F2219F2A,Unknown,2016-04-05,"",Test_mix2_beg,202,2,2016-04-05T08:06:11.000Z,,11,2016-04-05T08:08:16.939Z,0,7,Test_L1,mountain,1,2,sop_01,1235,zop_02,762,,,,,534,sop_01,CENTER_LEFT,zop_02,CENTER_RIGHT,1621,touch_object,0,1
