uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,1,2016-04-05T08:23:38.118Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,478,poisson,CENTER_LEFT,poisson,CENTER_LEFT,4979,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,2,2016-04-05T08:23:51.710Z,0,2,Training_L1,countryside,1,2,zyl_02,3194,syl_01,2228,,,,,3860,zyl_02,CENTER_LEFT,syl_01,CENTER_RIGHT,3146,touch_object,0,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,3,2016-04-05T08:24:18.234Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,2961,petit,CENTER_RIGHT,petit,CENTER_RIGHT,1801,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,4,2016-04-05T08:24:32.441Z,0,4,Training_L2,countryside,1,2,syl_01,6754,zyl_02,2673,,,,,5644,zyl_02,CENTER_RIGHT,zyl_02,CENTER_RIGHT,2425,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,5,2016-04-05T08:24:57.267Z,0,4,Training_L2,countryside,2,2,zyl_02,3665,syl_01,2929,,,,,3250,syl_01,CENTER_RIGHT,syl_01,CENTER_RIGHT,2777,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,6,2016-04-05T08:25:19.199Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,1170,manger,CENTER_RIGHT,manger,CENTER_RIGHT,2620,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,7,2016-04-05T08:25:31.669Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,794,bateau,CENTER_RIGHT,bateau,CENTER_RIGHT,2964,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,8,2016-04-05T08:25:41.770Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,2037,velo,CENTER_RIGHT,velo,CENTER_RIGHT,1437,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,9,2016-04-05T08:25:51.520Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,1994,sauter,CENTER_LEFT,pleurer,CENTER_RIGHT,1873,touch_object,0,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,10,2016-04-05T08:26:03.367Z,0,7,Test_L1,mountain,1,2,sop_01,3074,zop_02,1613,,,,,931,sop_01,CENTER_LEFT,zop_02,CENTER_RIGHT,2149,touch_object,0,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,11,2016-04-05T08:26:20.522Z,0,8,Test_C2,mountain,1,2,riviere,,foret,,,,,,1896,foret,CENTER_RIGHT,foret,CENTER_RIGHT,1793,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,12,2016-04-05T08:26:30.539Z,0,8,Test_C2,mountain,2,2,telephoner,,coiffer,,,,,,1002,telephoner,CENTER_LEFT,telephoner,CENTER_LEFT,2888,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,13,2016-04-05T08:26:40.740Z,0,8,Test_C2,mountain,3,2,chat,,cochon,,,,,,2253,chat,CENTER_LEFT,chat,CENTER_LEFT,2864,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,14,2016-04-05T08:26:52.141Z,0,8,Test_C2,mountain,4,2,pingouin,,kangourou,,,,,,782,kangourou,CENTER_RIGHT,kangourou,CENTER_RIGHT,1520,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,15,2016-04-05T08:27:02.867Z,0,9,Test_L2,mountain,1,2,sat_01,2309,zat_02,1528,,,,,1727,zat_02,CENTER_RIGHT,zat_02,CENTER_RIGHT,2362,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,16,2016-04-05T08:27:19.651Z,0,10,Test_C3,desert,1,2,debout,,assis,,,,,,1200,debout,CENTER_LEFT,assis,CENTER_RIGHT,4124,touch_object,0,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,17,2016-04-05T08:27:31.326Z,0,10,Test_C3,desert,2,2,groupe,,medecin,,,,,,547,groupe,CENTER_LEFT,medecin,CENTER_RIGHT,2171,touch_object,0,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,18,2016-04-05T08:27:47.399Z,0,11,Test_L3,desert,1,2,zat_02,2271,sat_01,1451,,,,,6563,sat_01,CENTER_RIGHT,sat_01,CENTER_RIGHT,2171,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,19,2016-04-05T08:28:08.893Z,0,12,Test_C4,desert,1,2,perroquet,,moustique,,,,,,1489,moustique,CENTER_RIGHT,moustique,CENTER_RIGHT,2070,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,20,2016-04-05T08:28:18.779Z,0,12,Test_C4,desert,2,2,tete,,bouche,,,,,,1156,bouche,CENTER_RIGHT,bouche,CENTER_RIGHT,1750,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,21,2016-04-05T08:28:27.996Z,0,12,Test_C4,desert,3,2,plonger,,pecher,,,,,,3071,plonger,CENTER_LEFT,plonger,CENTER_LEFT,2937,touch_object,1,1
134FA33F7A6E4F16837963EF1BA4CA66,Unknown,2016-04-05,"",Test_mix2_beg,203,2,2016-04-05T08:23:36.000Z,2016-04-05T08:35:17.000Z,22,2016-04-05T08:28:43.062Z,0,13,Test_L4,desert,1,2,sop_01,1873,zop_02,1707,,,,,1798,sop_01,CENTER_LEFT,zop_02,CENTER_RIGHT,2008,touch_object,0,1
