uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,1,2016-04-05T08:41:59.378Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,321,poisson,CENTER_LEFT,poisson,CENTER_LEFT,4064,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,2,2016-04-05T08:42:12.448Z,0,2,Training_L1,countryside,1,2,zyl_02,4310,syl_01,2599,,,,,1064,zyl_02,CENTER_LEFT,syl_01,CENTER_RIGHT,7066,touch_object,0,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,3,2016-04-05T08:42:35.775Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,715,petit,CENTER_RIGHT,petit,CENTER_RIGHT,2149,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,4,2016-04-05T08:42:46.003Z,0,4,Training_L2,countryside,1,2,syl_01,3361,zyl_02,1440,,,,,803,zyl_02,CENTER_RIGHT,syl_01,CENTER_LEFT,1628,touch_object,0,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,5,2016-04-05T08:43:00.503Z,0,4,Training_L2,countryside,2,2,zyl_02,5078,syl_01,1705,,,,,1107,syl_01,CENTER_RIGHT,syl_01,CENTER_RIGHT,5267,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,6,2016-04-05T08:43:22.536Z,1,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,992,manger,CENTER_RIGHT,ouvrir,CENTER_LEFT,5643,touch_object,0,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,7,2016-04-05T08:43:35.489Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,1053,manger,CENTER_RIGHT,manger,CENTER_RIGHT,1681,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,8,2016-04-05T08:43:48.798Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,3061,bateau,CENTER_RIGHT,train,CENTER_LEFT,4081,touch_object,0,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,9,2016-04-05T08:44:02.273Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,3014,velo,CENTER_RIGHT,velo,CENTER_RIGHT,1807,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,10,2016-04-05T08:44:13.424Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,3744,sauter,CENTER_LEFT,pleurer,CENTER_RIGHT,2293,touch_object,0,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,11,2016-04-05T08:44:27.412Z,0,7,Test_L1,mountain,1,2,sop_01,3793,zop_02,1453,,,,,882,sop_01,CENTER_LEFT,zop_02,CENTER_RIGHT,2000,touch_object,0,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,12,2016-04-05T08:44:43.855Z,0,8,Test_C2,mountain,1,2,riviere,,foret,,,,,,2230,foret,CENTER_RIGHT,foret,CENTER_RIGHT,983,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,13,2016-04-05T08:44:53.393Z,0,8,Test_C2,mountain,2,2,telephoner,,coiffer,,,,,,1018,telephoner,CENTER_LEFT,coiffer,CENTER_RIGHT,2061,touch_object,0,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,14,2016-04-05T08:45:02.743Z,0,8,Test_C2,mountain,3,2,chat,,cochon,,,,,,496,chat,CENTER_LEFT,cochon,CENTER_RIGHT,5456,touch_object,0,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,15,2016-04-05T08:45:14.961Z,0,8,Test_C2,mountain,4,2,pingouin,,kangourou,,,,,,4304,kangourou,CENTER_RIGHT,kangourou,CENTER_RIGHT,2216,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,16,2016-04-05T08:45:29.770Z,0,9,Test_L2,mountain,1,2,sat_01,2174,zat_02,2517,,,,,2835,zat_02,CENTER_RIGHT,zat_02,CENTER_RIGHT,2490,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,17,2016-04-05T08:45:49.035Z,0,10,Test_C3,desert,1,2,debout,,assis,,,,,,2740,debout,CENTER_LEFT,assis,CENTER_RIGHT,1806,touch_object,0,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,18,2016-04-05T08:45:59.913Z,0,10,Test_C3,desert,2,2,groupe,,medecin,,,,,,650,groupe,CENTER_LEFT,groupe,CENTER_LEFT,1848,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,19,2016-04-05T08:46:10.205Z,0,11,Test_L3,desert,1,2,zat_02,1580,sat_01,2956,,,,,9904,sat_01,CENTER_RIGHT,sat_01,CENTER_RIGHT,1853,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,20,2016-04-05T08:46:35.210Z,0,12,Test_C4,desert,1,2,perroquet,,moustique,,,,,,920,moustique,CENTER_RIGHT,moustique,CENTER_RIGHT,1790,touch_object,1,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,21,2016-04-05T08:46:44.249Z,0,12,Test_C4,desert,2,2,tete,,bouche,,,,,,1157,bouche,CENTER_RIGHT,tete,CENTER_LEFT,1922,touch_object,0,1
FC85261ECCD8427B8FC5B7B528C7B78B,Unknown,2016-04-05,"",Test_mix2_beg,204,2,2016-04-05T08:41:57.000Z,,22,2016-04-05T08:46:53.616Z,0,12,Test_C4,desert,3,2,plonger,,pecher,,,,,,1500,plonger,CENTER_LEFT,pecher,CENTER_RIGHT,2084,touch_object,0,1
