uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,1,2016-04-05T07:43:54.619Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,1521,poisson,CENTER_LEFT,poisson,CENTER_LEFT,3434,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,2,2016-04-05T07:44:09.226Z,0,2,Training_L1,countryside,1,2,syl_01,2845,zyl_02,2675,,,,,3636,syl_01,CENTER_LEFT,syl_01,CENTER_LEFT,4023,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,3,2016-04-05T07:44:31.638Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,4280,petit,CENTER_RIGHT,petit,CENTER_RIGHT,3185,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,4,2016-04-05T07:44:48.340Z,0,4,Training_L2,countryside,1,2,zyl_02,1997,syl_01,1797,,,,,7097,syl_01,CENTER_RIGHT,syl_01,CENTER_RIGHT,4300,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,5,2016-04-05T07:45:10.835Z,0,4,Training_L2,countryside,2,2,syl_01,2731,zyl_02,1992,,,,,2145,zyl_02,CENTER_RIGHT,syl_01,CENTER_LEFT,12128,touch_object,0,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,6,2016-04-05T07:45:38.648Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,1616,manger,CENTER_RIGHT,manger,CENTER_RIGHT,3423,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,7,2016-04-05T07:45:52.758Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,1348,train,CENTER_LEFT,train,CENTER_LEFT,1909,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,8,2016-04-05T07:46:03.371Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,1295,ciseau,CENTER_LEFT,ciseau,CENTER_LEFT,2162,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,9,2016-04-05T07:46:14.122Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,1328,pleurer,CENTER_RIGHT,pleurer,CENTER_RIGHT,3543,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,10,2016-04-05T07:46:27.759Z,0,7,Test_L1,mountain,1,2,zop_02,2457,sop_01,1881,,,,,1588,zop_02,CENTER_LEFT,zop_02,CENTER_LEFT,3661,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,11,2016-04-05T07:46:48.733Z,0,8,Test_C2,mountain,1,2,riviere,,foret,,,,,,1287,riviere,CENTER_LEFT,riviere,CENTER_LEFT,2317,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,12,2016-04-05T07:46:59.674Z,0,8,Test_C2,mountain,2,2,telephoner,,coiffer,,,,,,1129,coiffer,CENTER_RIGHT,coiffer,CENTER_RIGHT,6783,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,13,2016-04-05T07:47:14.891Z,0,8,Test_C2,mountain,3,2,chat,,cochon,,,,,,1260,cochon,CENTER_RIGHT,cochon,CENTER_RIGHT,2164,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,14,2016-04-05T07:47:25.625Z,0,8,Test_C2,mountain,4,2,pingouin,,kangourou,,,,,,16564,pingouin,CENTER_LEFT,pingouin,CENTER_LEFT,1922,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,15,2016-04-05T07:47:52.962Z,0,9,Test_L2,mountain,1,2,zat_02,1809,sat_01,1582,,,,,1462,sat_01,CENTER_RIGHT,sat_01,CENTER_RIGHT,2754,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,16,2016-04-05T07:48:09.442Z,0,10,Test_C3,desert,1,2,debout,,assis,,,,,,1047,assis,CENTER_RIGHT,debout,CENTER_LEFT,6926,touch_object,0,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,17,2016-04-05T07:48:24.795Z,0,10,Test_C3,desert,2,2,groupe,,medecin,,,,,,1166,medecin,CENTER_RIGHT,medecin,CENTER_RIGHT,3700,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,18,2016-04-05T07:48:38.701Z,0,11,Test_L3,desert,1,2,sat_01,1828,zat_02,1697,,,,,2504,zat_02,CENTER_RIGHT,zat_02,CENTER_RIGHT,2836,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,19,2016-04-05T07:48:58.946Z,0,12,Test_C4,desert,1,2,perroquet,,moustique,,,,,,904,perroquet,CENTER_LEFT,perroquet,CENTER_LEFT,2674,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,20,2016-04-05T07:49:09.848Z,0,12,Test_C4,desert,2,2,tete,,bouche,,,,,,1338,tete,CENTER_LEFT,tete,CENTER_LEFT,2717,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,21,2016-04-05T07:49:21.182Z,0,12,Test_C4,desert,3,2,plonger,,pecher,,,,,,1595,pecher,CENTER_RIGHT,pecher,CENTER_RIGHT,2662,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,22,2016-04-05T07:49:34.279Z,0,13,Test_L4,desert,1,2,zop_02,1904,sop_01,1787,,,,,1153,zop_02,CENTER_LEFT,zop_02,CENTER_LEFT,2788,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,23,2016-04-05T07:49:54.510Z,0,14,Test_C5,beach,1,2,propre,,sale,,,,,,1222,propre,CENTER_LEFT,propre,CENTER_LEFT,4113,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,24,2016-04-05T07:50:07.235Z,0,14,Test_C5,beach,2,2,chaussures,,lits,,,,,,7672,chaussures,CENTER_LEFT,chaussures,CENTER_LEFT,2770,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,25,2016-04-05T07:50:24.969Z,0,14,Test_C5,beach,3,2,piedsnus,,jeune,,,,,,777,jeune,CENTER_RIGHT,jeune,CENTER_RIGHT,13657,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,26,2016-04-05T07:50:51.283Z,0,15,Test_L5,beach,1,2,zat_02,1587,sat_01,1754,,,,,1272,sat_01,CENTER_RIGHT,sat_01,CENTER_RIGHT,11595,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,27,2016-04-05T07:51:18.739Z,0,16,Test_C6,beach,1,2,livre,,ballon,,,,,,888,livre,CENTER_LEFT,livre,CENTER_LEFT,1656,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,28,2016-04-05T07:51:28.606Z,0,16,Test_C6,beach,2,2,serpent,,papillon,,,,,,792,papillon,CENTER_RIGHT,papillon,CENTER_RIGHT,1943,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,29,2016-04-05T07:51:38.673Z,0,16,Test_C6,beach,3,2,couteau,,crayon,,,,,,756,couteau,CENTER_LEFT,couteau,CENTER_LEFT,3138,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,30,2016-04-05T07:51:49.857Z,0,16,Test_C6,beach,4,2,rouge,,grand,,,,,,973,grand,CENTER_RIGHT,grand,CENTER_RIGHT,2267,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,31,2016-04-05T07:52:02.030Z,0,17,Test_L6,beach,1,2,sop_01,1779,zop_02,1282,,,,,1439,sop_01,CENTER_LEFT,sop_01,CENTER_LEFT,10368,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,32,2016-04-05T07:52:25.651Z,0,18,Test_C7,countryside,1,2,avion,,camion,,,,,,824,avion,CENTER_LEFT,avion,CENTER_LEFT,2895,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,33,2016-04-05T07:52:36.692Z,0,18,Test_C7,countryside,2,2,cloche,,bougie,,,,,,700,bougie,CENTER_RIGHT,cloche,CENTER_LEFT,3500,touch_object,0,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,34,2016-04-05T07:52:48.160Z,0,18,Test_C7,countryside,3,2,chien,,bebe,,,,,,18092,chien,CENTER_LEFT,chien,CENTER_LEFT,1852,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,35,2016-04-05T07:53:15.395Z,0,18,Test_C7,countryside,4,2,raye,,poilu,,,,,,608,poilu,CENTER_RIGHT,poilu,CENTER_RIGHT,3599,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,36,2016-04-05T07:53:26.929Z,0,18,Test_C7,countryside,5,2,griffes,,plumes,,,,,,698,plumes,CENTER_RIGHT,plumes,CENTER_RIGHT,3475,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,37,2016-04-05T07:53:44.009Z,0,19,Test_C8,mountain,1,2,croquer,,lancer,,,,,,907,croquer,CENTER_LEFT,croquer,CENTER_LEFT,4313,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,38,2016-04-05T07:53:56.564Z,0,19,Test_C8,mountain,2,2,fleur,,maison,,,,,,364,maison,CENTER_RIGHT,maison,CENTER_RIGHT,2108,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,39,2016-04-05T07:54:06.332Z,0,19,Test_C8,mountain,3,2,gonfler,,sourire,,,,,,3653,sourire,CENTER_RIGHT,gonfler,CENTER_LEFT,3171,touch_object,0,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,40,2016-04-05T07:54:20.432Z,0,19,Test_C8,mountain,4,2,lourd,,ferme,,,,,,871,lourd,CENTER_LEFT,lourd,CENTER_LEFT,8227,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,41,2016-04-05T07:54:36.833Z,0,19,Test_C8,mountain,5,2,helicoptere,,accident,,,,,,788,helicoptere,CENTER_LEFT,helicoptere,CENTER_LEFT,2272,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,42,2016-04-05T07:54:47.184Z,0,19,Test_C8,mountain,6,2,rond,,casse,,,,,,1302,casse,CENTER_RIGHT,casse,CENTER_RIGHT,3288,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,43,2016-04-05T07:55:01.228Z,0,20,Test_C9,beach,1,2,chateau,,panier,,,,,,538,chateau,CENTER_LEFT,chateau,CENTER_LEFT,29401,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,44,2016-04-05T07:55:38.486Z,0,20,Test_C9,beach,2,2,toucher,,casser,,,,,,1038,toucher,CENTER_LEFT,toucher,CENTER_LEFT,3526,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,45,2016-04-05T07:55:50.354Z,0,20,Test_C9,beach,3,2,rigoler,,colorier,,,,,,732,colorier,CENTER_RIGHT,colorier,CENTER_RIGHT,3150,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,46,2016-04-05T07:56:01.520Z,0,20,Test_C9,beach,4,2,tortue,,girafe,,,,,,637,tortue,CENTER_LEFT,tortue,CENTER_LEFT,1824,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,47,2016-04-05T07:56:11.272Z,0,20,Test_C9,beach,5,2,jouer,,dormir,,,,,,859,dormir,CENTER_RIGHT,dormir,CENTER_RIGHT,2202,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,48,2016-04-05T07:56:21.638Z,0,20,Test_C9,beach,6,2,nager,,courir,,,,,,625,nager,CENTER_LEFT,courir,CENTER_RIGHT,6347,touch_object,0,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,49,2016-04-05T07:56:38.850Z,0,21,Test_C10,desert,1,2,fatigue,,triste,,,,,,1176,fatigue,CENTER_LEFT,fatigue,CENTER_LEFT,4696,touch_object,1,1
893CDF2DADE84F929C2DCFF53CE1523C,Unknown,2016-04-05,"",Test_mix1_beg,20,2,2016-04-05T07:43:52.000Z,,50,2016-04-05T07:56:52.057Z,0,21,Test_C10,desert,2,2,tirer,,lire,,,,,,835,lire,CENTER_RIGHT,lire,CENTER_RIGHT,2776,touch_object,1,1
