uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,1,2016-04-05T07:36:39.354Z,1,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,10130,poisson,CENTER_LEFT,lapin,CENTER_RIGHT,1539,touch_object,0,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,2,2016-04-05T07:36:57.661Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,1644,poisson,CENTER_LEFT,poisson,CENTER_LEFT,17546,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,3,2016-04-05T07:37:25.899Z,0,2,Training_L1,countryside,1,2,zyl_02,3255,syl_01,1437,,,,,1472,zyl_02,CENTER_LEFT,syl_01,CENTER_RIGHT,2482,touch_object,0,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,4,2016-04-05T07:37:49.483Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,740,petit,CENTER_RIGHT,petit,CENTER_RIGHT,4407,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,5,2016-04-05T07:38:02.466Z,0,4,Training_L2,countryside,1,2,syl_01,3463,zyl_02,1343,,,,,1317,zyl_02,CENTER_RIGHT,zyl_02,CENTER_RIGHT,2472,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,6,2016-04-05T07:38:18.341Z,0,4,Training_L2,countryside,2,2,zyl_02,1712,syl_01,1137,,,,,712,syl_01,CENTER_RIGHT,zyl_02,CENTER_LEFT,2258,touch_object,0,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,7,2016-04-05T07:38:33.857Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,829,manger,CENTER_RIGHT,manger,CENTER_RIGHT,2990,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,8,2016-04-05T07:38:45.269Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,694,bateau,CENTER_RIGHT,bateau,CENTER_RIGHT,1137,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,9,2016-04-05T07:38:53.444Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,530,velo,CENTER_RIGHT,velo,CENTER_RIGHT,1138,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,10,2016-04-05T07:39:01.411Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,551,sauter,CENTER_LEFT,sauter,CENTER_LEFT,1896,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,11,2016-04-05T07:39:11.968Z,0,7,Test_L1,mountain,1,2,sop_01,2384,zop_02,1427,,,,,827,sop_01,CENTER_LEFT,zop_02,CENTER_RIGHT,1683,touch_object,0,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,12,2016-04-05T07:39:26.624Z,0,8,Test_C2,mountain,1,2,riviere,,foret,,,,,,630,foret,CENTER_RIGHT,foret,CENTER_RIGHT,1473,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,13,2016-04-05T07:39:35.063Z,0,8,Test_C2,mountain,2,2,telephoner,,coiffer,,,,,,1135,telephoner,CENTER_LEFT,telephoner,CENTER_LEFT,2462,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,14,2016-04-05T07:39:44.979Z,0,8,Test_C2,mountain,3,2,chat,,cochon,,,,,,498,chat,CENTER_LEFT,chat,CENTER_LEFT,1240,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,15,2016-04-05T07:39:53.014Z,0,8,Test_C2,mountain,4,2,pingouin,,kangourou,,,,,,706,kangourou,CENTER_RIGHT,kangourou,CENTER_RIGHT,1893,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,16,2016-04-05T07:40:03.125Z,0,9,Test_L2,mountain,1,2,sat_01,2115,zat_02,1505,,,,,788,zat_02,CENTER_RIGHT,zat_02,CENTER_RIGHT,1822,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,17,2016-04-05T07:40:18.143Z,0,10,Test_C3,desert,1,2,debout,,assis,,,,,,1024,debout,CENTER_LEFT,debout,CENTER_LEFT,4180,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,18,2016-04-05T07:40:29.716Z,0,10,Test_C3,desert,2,2,groupe,,medecin,,,,,,510,groupe,CENTER_LEFT,medecin,CENTER_RIGHT,1687,touch_object,0,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,19,2016-04-05T07:40:40.420Z,0,11,Test_L3,desert,1,2,zat_02,2154,sat_01,1062,,,,,835,sat_01,CENTER_RIGHT,zat_02,CENTER_LEFT,2422,touch_object,0,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,20,2016-04-05T07:40:56.135Z,0,12,Test_C4,desert,1,2,perroquet,,moustique,,,,,,756,moustique,CENTER_RIGHT,moustique,CENTER_RIGHT,1247,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,21,2016-04-05T07:41:04.468Z,0,12,Test_C4,desert,2,2,tete,,bouche,,,,,,772,bouche,CENTER_RIGHT,bouche,CENTER_RIGHT,2157,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,22,2016-04-05T07:41:13.718Z,0,12,Test_C4,desert,3,2,plonger,,pecher,,,,,,560,plonger,CENTER_LEFT,plonger,CENTER_LEFT,2045,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,23,2016-04-05T07:41:23.760Z,0,13,Test_L4,desert,1,2,sop_01,2234,zop_02,1053,,,,,756,sop_01,CENTER_LEFT,zop_02,CENTER_RIGHT,1679,touch_object,0,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,24,2016-04-05T07:41:37.081Z,0,14,Test_C5,beach,1,2,propre,,sale,,,,,,1112,sale,CENTER_RIGHT,sale,CENTER_RIGHT,1628,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,25,2016-04-05T07:41:46.187Z,0,14,Test_C5,beach,2,2,chaussures,,lits,,,,,,555,lits,CENTER_RIGHT,lits,CENTER_RIGHT,1412,touch_object,1,1
18F719E1B7454C3E824D16E1F129BCFA,Unknown,2016-04-05,"",Test_mix2_beg,5,5,2016-04-05T07:36:37.000Z,2016-04-05T07:46:48.000Z,26,2016-04-05T07:41:54.438Z,0,14,Test_C5,beach,3,2,piedsnus,,jeune,,,,,,568,piedsnus,CENTER_LEFT,piedsnus,CENTER_LEFT,2982,touch_object,1,1
