uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
B05643BF6B6841058073612CF4C3EBAC,Unknown,2016-04-12,"",Test_mix2_beg,212,1,2016-04-12T07:58:18.000Z,2016-04-12T08:08:19.000Z,1,2016-04-12T07:58:20.267Z,0,1,Training_C1,countryside,1,2,poisson,,lapin,,,,,,425,poisson,CENTER_LEFT,poisson,CENTER_LEFT,3297,touch_object,1,1
B05643BF6B6841058073612CF4C3EBAC,Unknown,2016-04-12,"",Test_mix2_beg,212,1,2016-04-12T07:58:18.000Z,2016-04-12T08:08:19.000Z,2,2016-04-12T07:58:39.624Z,0,2,Training_L1,countryside,1,2,zyl_02,1714,syl_01,1470,,,,,1838,zyl_02,CENTER_LEFT,syl_01,CENTER_RIGHT,2226,touch_object,0,1
B05643BF6B6841058073612CF4C3EBAC,Unknown,2016-04-12,"",Test_mix2_beg,212,1,2016-04-12T07:58:18.000Z,2016-04-12T08:08:19.000Z,3,2016-04-12T07:58:56.327Z,0,3,Training_C2,countryside,1,2,jaune,,petit,,,,,,1008,petit,CENTER_RIGHT,petit,CENTER_RIGHT,2204,touch_object,1,1
B05643BF6B6841058073612CF4C3EBAC,Unknown,2016-04-12,"",Test_mix2_beg,212,1,2016-04-12T07:58:18.000Z,2016-04-12T08:08:19.000Z,4,2016-04-12T07:59:07.611Z,0,4,Training_L2,countryside,1,2,syl_01,1652,zyl_02,1063,,,,,910,zyl_02,CENTER_RIGHT,syl_01,CENTER_LEFT,2792,touch_object,0,1
B05643BF6B6841058073612CF4C3EBAC,Unknown,2016-04-12,"",Test_mix2_beg,212,1,2016-04-12T07:58:18.000Z,2016-04-12T08:08:19.000Z,5,2016-04-12T07:59:21.333Z,0,4,Training_L2,countryside,2,2,zyl_02,1938,syl_01,1193,,,,,975,syl_01,CENTER_RIGHT,syl_01,CENTER_RIGHT,1642,touch_object,1,1
B05643BF6B6841058073612CF4C3EBAC,Unknown,2016-04-12,"",Test_mix2_beg,212,1,2016-04-12T07:58:18.000Z,2016-04-12T08:08:19.000Z,6,2016-04-12T07:59:35.835Z,0,5,Training_C3,countryside,1,2,ouvrir,,manger,,,,,,934,manger,CENTER_RIGHT,manger,CENTER_RIGHT,1733,touch_object,1,1
B05643BF6B6841058073612CF4C3EBAC,Unknown,2016-04-12,"",Test_mix2_beg,212,1,2016-04-12T07:58:18.000Z,2016-04-12T08:08:19.000Z,7,2016-04-12T07:59:46.697Z,0,6,Test_C1,mountain,1,2,train,,bateau,,,,,,1091,bateau,CENTER_RIGHT,bateau,CENTER_RIGHT,1463,touch_object,1,1
B05643BF6B6841058073612CF4C3EBAC,Unknown,2016-04-12,"",Test_mix2_beg,212,1,2016-04-12T07:58:18.000Z,2016-04-12T08:08:19.000Z,8,2016-04-12T07:59:55.618Z,0,6,Test_C1,mountain,2,2,ciseau,,velo,,,,,,800,velo,CENTER_RIGHT,velo,CENTER_RIGHT,1342,touch_object,1,1
B05643BF6B6841058073612CF4C3EBAC,Unknown,2016-04-12,"",Test_mix2_beg,212,1,2016-04-12T07:58:18.000Z,2016-04-12T08:08:19.000Z,9,2016-04-12T08:00:04.053Z,0,6,Test_C1,mountain,3,2,sauter,,pleurer,,,,,,621,sauter,CENTER_LEFT,sauter,CENTER_LEFT,1700,touch_object,1,1
B05643BF6B6841058073612CF4C3EBAC,Unknown,2016-04-12,"",Test_mix2_beg,212,1,2016-04-12T07:58:18.000Z,2016-04-12T08:08:19.000Z,10,2016-04-12T08:00:14.125Z,0,7,Test_L1,mountain,1,2,sop_01,1730,zop_02,1253,,,,,892,sop_01,CENTER_LEFT,zop_02,CENTER_RIGHT,2049,touch_object,0,1
