"Date"	"CSV"	"Anon"	"Remove"	"Comments"	"check"	"uuid"	"subject_id"	"session_started_at"	"config_profile"	"thisdir"	"thisf"	"date"
"22/03/2016"	"DCF5FADF00E8411D8A1CB2FB57742722"	"D12"	"yes"	"different version app?"	"SEE"	""	NA	""	""	""	""	""
"22/03/2016"	"AEA7ED435D3F4F98B3C622E449FC5B28"	"D15"	"yes"	"different version app?"	"SEE"	""	NA	""	""	""	""	""
"22/03/2016"	"D6A7E3FE11214A618BA81200BD2B743F"	"D22"	"yes"	"different version app?"	"SEE"	""	NA	""	""	""	""	""
"22/03/2016"	"C201D2FA33D04E24A5964EAB73B26EE1"	"D5"	"yes"	"different version app?"	"SEE"	""	NA	""	""	""	""	""
"22/03/2016"	"8D9EBF6362664C9392AEA83D26992004"	"D6"	"yes"	"different version app?"	"SEE"	""	NA	""	""	""	""	""
"22/03/2016"	"2FDE361BFD2E42FA9A9B60D4E23C1C72"	"D9"	"yes"	"different version app?"	"SEE"	""	NA	""	""	""	""	""
"23/03/2016"	"7206BA98A9F347598B1537C8062FB01C"	"D10"	"no"	""	""	"7206BA98A9F347598B1537C8062FB01C"	10	"2016-03-23T09:47:32.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_718.csv"	"23/03/2016"
"23/03/2016"	"05F09834024C4C6BBB415698CC63DA1F"	"D13"	"no"	""	""	"05F09834024C4C6BBB415698CC63DA1F"	14	"2016-03-23T09:00:41.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_714.csv"	"23/03/2016"
"23/03/2016"	"325BB2684F4149FF8BD2A495D6094821"	"D14"	"no"	""	""	"325BB2684F4149FF8BD2A495D6094821"	14	"2016-03-23T08:45:06.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_713.csv"	"23/03/2016"
"23/03/2016"	"94C50AAE514F49E4BE9E95626A7536A5"	"D16"	"yes"	"application restarted (child had only completed 1 test trial)"	""	"94C50AAE514F49E4BE9E95626A7536A5"	16	"2016-03-23T09:16:27.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_715.csv"	"23/03/2016"
"23/03/2016"	"4D76E66FD118449291F62A2E08848EDF"	"D16"	"no"	""	""	"4D76E66FD118449291F62A2E08848EDF"	16	"2016-03-23T09:18:29.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_716.csv"	"23/03/2016"
"23/03/2016"	"FC38D10B7C23412B84CCEDF6A8342039"	"D17"	"no"	""	""	"FC38D10B7C23412B84CCEDF6A8342039"	17	"2016-03-23T09:58:52.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_719.csv"	"23/03/2016"
"23/03/2016"	"DB2C15A360EF40D0ADBF5CD5C11E0441"	"D18"	"no"	""	""	"DB2C15A360EF40D0ADBF5CD5C11E0441"	18	"2016-03-23T09:31:00.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_717.csv"	"23/03/2016"
"23/03/2016"	"6D00CF885EF0408787722A79D4EA2435"	"D2"	"no"	""	""	"6D00CF885EF0408787722A79D4EA2435"	12	"2016-03-23T08:44:49.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_705.csv"	"23/03/2016"
"23/03/2016"	"B90F503D1956482B8CD63B3BEBFC9A63"	"D20"	"no"	""	""	"B90F503D1956482B8CD63B3BEBFC9A63"	20	"2016-03-23T09:30:41.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_708.csv"	"23/03/2016"
"23/03/2016"	"697FCD95A2B543DF9C74BCF7E09EBE52"	"D23"	"no"	""	""	"697FCD95A2B543DF9C74BCF7E09EBE52"	23	"2016-03-23T09:17:10.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_707.csv"	"23/03/2016"
"23/03/2016"	"22677C0688BA4808835AF58CD484CA39"	"D7"	"no"	""	""	"22677C0688BA4808835AF58CD484CA39"	7	"2016-03-23T08:59:55.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_706.csv"	"23/03/2016"
"05/04/2016"	"B75F9399AEF54C009F821D4655CE0FD4"	"J11"	"no"	""	""	"B75F9399AEF54C009F821D4655CE0FD4"	201	"2016-04-05T06:59:58.000Z"	"Test_mix2_beg"	"fautrier"	"201_app_session_B75F9399AEF54C009F821D4655CE0FD4.csv"	"05/04/2016"
"05/04/2016"	"BED2E8D1B7474A81B50C5601B0DD7A8F"	"J14"	"no"	""	""	"BED2E8D1B7474A81B50C5601B0DD7A8F"	14	"2016-04-05T07:49:21.000Z"	"Test_mix2_beg"	"fautrier"	"14_app_session_BED2E8D1B7474A81B50C5601B0DD7A8F.csv"	"05/04/2016"
"05/04/2016"	"FC85261ECCD8427B8FC5B7B528C7B78B"	"J16"	"no"	""	""	"FC85261ECCD8427B8FC5B7B528C7B78B"	204	"2016-04-05T08:41:57.000Z"	"Test_mix2_beg"	"fautrier"	"204_app_session_FC85261ECCD8427B8FC5B7B528C7B78B.csv"	"05/04/2016"
"05/04/2016"	"511CE3AF5780497583C8FD2A89A62AEB"	"J17"	"no"	""	""	"511CE3AF5780497583C8FD2A89A62AEB"	17	"2016-04-05T07:20:28.000Z"	"Test_mix2_beg"	"fautrier"	"17_app_session_511CE3AF5780497583C8FD2A89A62AEB.csv"	"05/04/2016"
