"thisdir"	"thisf"	"uuid"	"device"	"date"	"config_scenario"	"config_profile"	"subject_id"	"session_number"	"session_started_at"	"session_ended_at"	"trial_number_session"	"trial_started_at"	"repetition"	"level_number"	"level_name"	"level_background"	"stage_number"	"objects_count"	"object1_name"	"object1_touch_diff_time"	"object2_name"	"object2_touch_diff_time"	"object3_name"	"object3_touch_diff_time"	"object4_name"	"object4_touch_diff_time"	"mandy_touch_diff_time"	"object_asked"	"object_asked_position"	"object_touched"	"object_touched_position"	"object_touched_at"	"stage_end"	"correct"	"feedback"
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	1	"2016-03-23T08:44:50.420Z"	1	1	"Training_C1"	"countryside"	1	2	"poisson"	NA	"lapin"	NA	NA	NA	NA	NA	3227	"poisson"	"CENTER_LEFT"	"lapin"	"CENTER_RIGHT"	3524	"touch_object"	0	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	2	"2016-03-23T08:45:03.750Z"	0	1	"Training_C1"	"countryside"	1	2	"poisson"	NA	"lapin"	NA	NA	NA	NA	NA	4067	"poisson"	"CENTER_LEFT"	"poisson"	"CENTER_LEFT"	2186	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	3	"2016-03-23T08:45:18.010Z"	0	2	"Training_L1"	"countryside"	1	2	"syl_01"	1552	"zyl_02"	1793	NA	NA	NA	NA	1284	"syl_01"	"CENTER_LEFT"	"zyl_02"	"CENTER_RIGHT"	2136	"touch_object"	0	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	4	"2016-03-23T08:45:34.129Z"	0	3	"Training_C2"	"countryside"	1	2	"jaune"	NA	"petit"	NA	NA	NA	NA	NA	2848	"petit"	"CENTER_RIGHT"	"petit"	"CENTER_RIGHT"	2060	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	5	"2016-03-23T08:45:46.720Z"	0	4	"Training_L2"	"countryside"	1	2	"zyl_02"	1496	"syl_01"	1131	NA	NA	NA	NA	345	"syl_01"	"CENTER_RIGHT"	"syl_01"	"CENTER_RIGHT"	1712	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	6	"2016-03-23T08:45:58.714Z"	0	4	"Training_L2"	"countryside"	2	2	"syl_01"	828	"zyl_02"	1160	NA	NA	NA	NA	292	"zyl_02"	"CENTER_RIGHT"	"syl_01"	"CENTER_LEFT"	1711	"touch_object"	0	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	7	"2016-03-23T08:46:11.090Z"	0	5	"Training_C3"	"countryside"	1	2	"ouvrir"	NA	"manger"	NA	NA	NA	NA	NA	756	"manger"	"CENTER_RIGHT"	"manger"	"CENTER_RIGHT"	1615	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	8	"2016-03-23T08:46:20.975Z"	0	6	"Test_C1"	"mountain"	1	2	"train"	NA	"bateau"	NA	NA	NA	NA	NA	1133	"train"	"CENTER_LEFT"	"train"	"CENTER_LEFT"	2128	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	9	"2016-03-23T08:46:30.599Z"	0	6	"Test_C1"	"mountain"	2	2	"ciseau"	NA	"velo"	NA	NA	NA	NA	NA	15281	"ciseau"	"CENTER_LEFT"	"ciseau"	"CENTER_LEFT"	1755	"touch_object"	1	1
"dumeril"	"app_session_705.csv"	"6D00CF885EF0408787722A79D4EA2435"	"Unknown"	"2016-03-23"	NA	"Test_mix1_beg"	12	4	"2016-03-23T08:44:49.000Z"	NA	10	"2016-03-23T08:46:53.934Z"	0	6	"Test_C1"	"mountain"	3	2	"sauter"	NA	"pleurer"	NA	NA	NA	NA	NA	494	"pleurer"	"CENTER_RIGHT"	"pleurer"	"CENTER_RIGHT"	2510	"touch_object"	1	1
