thisdir	thisf	uuid	device	date	config_scenario	config_profile	subject_id	session_number	session_started_at	session_ended_at	trial_number_session	trial_started_at	repetition	level_number	level_name	level_background	stage_number	objects_count	object1_name	object1_touch_diff_time	object2_name	object2_touch_diff_time	object3_name	object3_touch_diff_time	object4_name	object4_touch_diff_time	mandy_touch_diff_time	object_asked	object_asked_position	object_touched	object_touched_position	object_touched_at	stage_end	correct	feedback	spl	dif	lex
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	8	2016-03-23T08:46:20.975Z	0	6	Test_C1	mountain	1	2	train	NA	bateau	NA	NA	NA	NA	NA	1133	train	CENTER_LEFT	train	CENTER_LEFT	2128	touch_object	1	1	1	easy	noun
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	9	2016-03-23T08:46:30.599Z	0	6	Test_C1	mountain	2	2	ciseau	NA	velo	NA	NA	NA	NA	NA	15281	ciseau	CENTER_LEFT	ciseau	CENTER_LEFT	1755	touch_object	1	1	2	moderate	noun
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	10	2016-03-23T08:46:53.934Z	0	6	Test_C1	mountain	3	2	sauter	NA	pleurer	NA	NA	NA	NA	NA	494	pleurer	CENTER_RIGHT	pleurer	CENTER_RIGHT	2510	touch_object	1	1	1	easy	verb
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	12	2016-03-23T08:47:17.351Z	0	8	Test_C2	mountain	1	2	riviere	NA	foret	NA	NA	NA	NA	NA	908	riviere	CENTER_LEFT	foret	CENTER_RIGHT	1998	touch_object	0	1	2	difficult	noun
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	13	2016-03-23T08:47:26.568Z	0	8	Test_C2	mountain	2	2	telephoner	NA	coiffer	NA	NA	NA	NA	NA	965	coiffer	CENTER_RIGHT	coiffer	CENTER_RIGHT	2580	touch_object	1	1	1	difficult	verb
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	14	2016-03-23T08:47:36.420Z	0	8	Test_C2	mountain	3	2	chat	NA	cochon	NA	NA	NA	NA	NA	900	cochon	CENTER_RIGHT	cochon	CENTER_RIGHT	3689	touch_object	1	1	2	easy	noun
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	15	2016-03-23T08:47:47.287Z	0	8	Test_C2	mountain	4	2	pingouin	NA	kangourou	NA	NA	NA	NA	NA	2143	pingouin	CENTER_LEFT	pingouin	CENTER_LEFT	1477	touch_object	1	1	1	difficult	noun
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	17	2016-03-23T08:48:13.395Z	0	10	Test_C3	desert	1	2	debout	NA	assis	NA	NA	NA	NA	NA	756	assis	CENTER_RIGHT	assis	CENTER_RIGHT	1325	touch_object	1	1	2	easy	adj
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	18	2016-03-23T08:48:21.872Z	0	10	Test_C3	desert	2	2	groupe	NA	medecin	NA	NA	NA	NA	NA	837	medecin	CENTER_RIGHT	groupe	CENTER_LEFT	1987	touch_object	0	1	1	difficult	noun
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	20	2016-03-23T08:48:48.104Z	0	12	Test_C4	desert	1	2	perroquet	NA	moustique	NA	NA	NA	NA	NA	11399	perroquet	CENTER_LEFT	perroquet	CENTER_LEFT	2113	touch_object	1	1	2	difficult	noun
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	21	2016-03-23T08:49:07.957Z	0	12	Test_C4	desert	2	2	tete	NA	bouche	NA	NA	NA	NA	NA	4181	tete	CENTER_LEFT	bouche	CENTER_RIGHT	1860	touch_object	0	1	1	easy	noun
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	22	2016-03-23T08:49:20.275Z	0	12	Test_C4	desert	3	2	plonger	NA	pecher	NA	NA	NA	NA	NA	3691	pecher	CENTER_RIGHT	plonger	CENTER_LEFT	3822	touch_object	0	1	2	difficult	verb
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	24	2016-03-23T08:49:52.460Z	0	14	Test_C5	beach	1	2	propre	NA	sale	NA	NA	NA	NA	NA	1195	propre	CENTER_LEFT	propre	CENTER_LEFT	4377	touch_object	1	1	1	moderate	adj
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	26	2016-03-23T08:50:40.196Z	0	14	Test_C5	beach	3	2	piedsnus	NA	jeune	NA	NA	NA	NA	NA	740	jeune	CENTER_RIGHT	jeune	CENTER_RIGHT	1999	touch_object	1	1	2	difficult	adj
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	29	2016-03-23T08:51:33.616Z	0	16	Test_C6	beach	2	2	serpent	NA	papillon	NA	NA	NA	NA	NA	2223	papillon	CENTER_RIGHT	papillon	CENTER_RIGHT	1905	touch_object	1	1	1	moderate	noun
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	30	2016-03-23T08:51:44.033Z	0	16	Test_C6	beach	3	2	couteau	NA	crayon	NA	NA	NA	NA	NA	1120	couteau	CENTER_LEFT	couteau	CENTER_LEFT	2072	touch_object	1	1	2	moderate	noun
dumeril	app_session_705.csv	6D00CF885EF0408787722A79D4EA2435	Unknown	2016-03-23	NA	Test_mix1_beg	6D00CF885EF0408787722A79D4EA2435	4	2016-03-23T08:44:49.000Z	NA	33	2016-03-23T08:52:30.198Z	0	18	Test_C7	countryside	1	2	avion	NA	camion	NA	NA	NA	NA	NA	783	avion	CENTER_LEFT	avion	CENTER_LEFT	1573	touch_object	1	1	1	moderate	noun
