"Anon"	"id"	"school"	"date.x"	"profile"	"trials_completed"	"trials_attempted"	"pc"	"rt_corr"	"rt_incorr"	"pc_1"	"pc_2"	"rt_1"	"rt_2"	"propLeft"	"bias"	"N_easy"	"N_mod"	"N_diff"	"pc_easy"	"pc_mod"	"pc_diff"	"rt_easy"	"rt_mod"	"rt_diff"	"N_noun"	"N_adj"	"N_verb"	"pc_noun"	"pc_adj"	"pc_verb"	"rt_noun"	"rt_adj"	"rt_verb"	"Date"	"Remove"	"Comments"	"check"	"uuid"	"subject_id"	"session_started_at"	"config_profile"	"thisdir"	"thisf"	"date.y"	"DOB"	"edMom"	"edPar"	"lang"	"age"	"ed"
"D10"	"7206BA98A9F347598B1537C8062FB01C"	"dumeril"	"2016-03-23"	"Test_mix2_beg"	14	14	0.785714285714286	2842	NA	0.571428571428571	1	2859	2716	0.5	0	6	2	6	0.833333333333333	NA	0.666666666666667	2842	NA	2921	9	2	3	0.666666666666667	NA	NA	2737	NA	NA	"23/03/2016"	"no"	""	""	"7206BA98A9F347598B1537C8062FB01C"	10	"2016-03-23T09:47:32.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_718.csv"	"23/03/2016"	"24/11/2013"	2	3.5	"bilingual"	2.32717316906229	"lower"
"D11"	"991FDCFC5F32492183D955D579F9CD07"	"dumeril"	"2016-04-14"	"Test_mix1_beg"	41	40	0.975	2384	NA	0.95	1	2419.5	2349	0.5	0	14	14	12	1	0.928571428571429	1	2147	2588	2335.5	22	7	11	1	0.857142857142857	1	2168	2441	2541	"14/04/2016"	"no"	""	""	"991FDCFC5F32492183D955D579F9CD07"	215	"2016-04-14T08:11:40.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_817.csv"	"14/04/2016"	"04/06/2013"	11	11	"monolingual"	2.86105407255305	"higher"
"D13"	"05F09834024C4C6BBB415698CC63DA1F"	"dumeril"	"2016-03-23"	"Test_mix2_beg"	25	18	0.944444444444444	2779	NA	1	0.888888888888889	2697	3666	0.555555555555556	0	8	4	6	1	1	0.833333333333333	3181.5	2636	2779	12	3	3	0.916666666666667	NA	NA	2074	NA	NA	"23/03/2016"	"no"	""	""	"05F09834024C4C6BBB415698CC63DA1F"	14	"2016-03-23T09:00:41.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_714.csv"	"23/03/2016"	"06/02/2013"	11	11	NA	3.12388774811773	"higher"
"D14"	"325BB2684F4149FF8BD2A495D6094821"	"dumeril"	"2016-03-23"	"Test_mix2_beg"	9	9	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	0	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	"23/03/2016"	"no"	""	""	"325BB2684F4149FF8BD2A495D6094821"	14	"2016-03-23T08:45:06.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_713.csv"	"23/03/2016"	"03/03/2013"	NA	NA	"monolingual"	3.05544147843943	NA
"D16"	"4D76E66FD118449291F62A2E08848EDF"	"dumeril"	"2016-03-23"	"Test_mix2_beg"	17	15	0.666666666666667	2526	3586	0.75	0.571428571428571	2966	3586	0.133333333333333	1	6	3	6	0.5	NA	0.666666666666667	NA	NA	2371	9	2	4	0.888888888888889	NA	0.25	2526	NA	2170	"23/03/2016"	"no"	""	""	"4D76E66FD118449291F62A2E08848EDF"	16	"2016-03-23T09:18:29.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_716.csv"	"23/03/2016"	"10/08/2013"	6	4.5	"bilingual"	2.61738535249829	"lower"
"D17"	"FC38D10B7C23412B84CCEDF6A8342039"	"dumeril"	"2016-03-23"	"Test_mix2_beg"	32	29	0.724137931034483	2699	2476.5	0.6	0.857142857142857	2704	2008.5	0.310344827586207	1	11	8	10	0.636363636363636	0.875	0.7	2970	2025	2699	18	6	5	0.833333333333333	0.833333333333333	0.2	2154	2704	3030	"23/03/2016"	"no"	""	""	"FC38D10B7C23412B84CCEDF6A8342039"	17	"2016-03-23T09:58:52.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_719.csv"	"23/03/2016"	"26/08/2013"	8	7	"multilingual"	2.57357973990418	"higher"
"D18"	"DB2C15A360EF40D0ADBF5CD5C11E0441"	"dumeril"	"2016-03-23"	"Test_mix2_beg"	34	31	0.612903225806452	2534	2425.5	0.5625	0.666666666666667	2479	2423	0.451612903225806	0	12	9	10	0.833333333333333	0.444444444444444	0.5	2152	3110.5	3324	18	5	8	0.722222222222222	0.2	0.625	2537	1465	2534	"23/03/2016"	"no"	""	""	"DB2C15A360EF40D0ADBF5CD5C11E0441"	18	"2016-03-23T09:31:00.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_717.csv"	"23/03/2016"	"20/08/2013"	NA	NA	"multilingual"	2.59000684462697	NA
"D19"	"9C3ED3B5A5704E15826A07D9FF8DEC65"	"dumeril"	"2016-04-14"	"Test_mix1_beg"	41	41	0.926829268292683	1898	NA	0.857142857142857	1	1964	1990	0.536585365853659	0	14	14	13	0.928571428571429	0.928571428571429	0.923076923076923	1780	1637	2586	22	8	11	1	0.75	0.909090909090909	1629.5	3217.5	2728	"14/04/2016"	"no"	""	""	"9C3ED3B5A5704E15826A07D9FF8DEC65"	216	"2016-04-14T08:27:05.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_819.csv"	"14/04/2016"	"10/02/2013"	9	8.5	"bilingual"	3.17316906228611	"higher"
"D2"	"6D00CF885EF0408787722A79D4EA2435"	"dumeril"	"2016-03-23"	"Test_mix1_beg"	25	20	0.75	2072	1998	0.8	0.7	1946	2092.5	0.55	0	6	5	9	0.833333333333333	1	0.555555555555556	2128	1905	2113	14	3	3	0.714285714285714	NA	NA	1988.5	NA	NA	"23/03/2016"	"no"	""	""	"6D00CF885EF0408787722A79D4EA2435"	12	"2016-03-23T08:44:49.000Z"	"Test_mix1_beg"	"dumeril"	"app_session_705.csv"	"23/03/2016"	"06/08/2013"	6	6	"monolingual"	2.62833675564682	"lower"
"D20"	"B90F503D1956482B8CD63B3BEBFC9A63"	"dumeril"	"2016-03-23"	"Test_mix2_beg"	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	"23/03/2016"	"no"	""	""	"B90F503D1956482B8CD63B3BEBFC9A63"	20	"2016-03-23T09:30:41.000Z"	"Test_mix2_beg"	"dumeril"	"app_session_708.csv"	"23/03/2016"	"03/12/2013"	8	8	"bilingual"	2.3025325119781	"higher"
