thisuuid	sum(data$uuid == thisuuid)	subject_id	config_profile	session_started_at	thisdir	thisf
6D00CF885EF0408787722A79D4EA2435	38	12	Test_mix1_beg	2016-03-23T08:44:49.000Z	dumeril	app_session_705.csv
22677C0688BA4808835AF58CD484CA39	50	7	Test_mix1_beg	2016-03-23T08:59:55.000Z	dumeril	app_session_706.csv
697FCD95A2B543DF9C74BCF7E09EBE52	45	23	Test_mix1_beg	2016-03-23T09:17:10.000Z	dumeril	app_session_707.csv
B90F503D1956482B8CD63B3BEBFC9A63	9	20	Test_mix2_beg	2016-03-23T09:30:41.000Z	dumeril	app_session_708.csv
325BB2684F4149FF8BD2A495D6094821	18	14	Test_mix2_beg	2016-03-23T08:45:06.000Z	dumeril	app_session_713.csv
05F09834024C4C6BBB415698CC63DA1F	37	14	Test_mix2_beg	2016-03-23T09:00:41.000Z	dumeril	app_session_714.csv
94C50AAE514F49E4BE9E95626A7536A5	7	16	Test_mix2_beg	2016-03-23T09:16:27.000Z	dumeril	app_session_715.csv
4D76E66FD118449291F62A2E08848EDF	28	16	Test_mix2_beg	2016-03-23T09:18:29.000Z	dumeril	app_session_716.csv
DB2C15A360EF40D0ADBF5CD5C11E0441	47	18	Test_mix2_beg	2016-03-23T09:31:00.000Z	dumeril	app_session_717.csv
7206BA98A9F347598B1537C8062FB01C	24	10	Test_mix2_beg	2016-03-23T09:47:32.000Z	dumeril	app_session_718.csv
FC38D10B7C23412B84CCEDF6A8342039	44	17	Test_mix2_beg	2016-03-23T09:58:52.000Z	dumeril	app_session_719.csv
991FDCFC5F32492183D955D579F9CD07	53	215	Test_mix1_beg	2016-04-14T08:11:40.000Z	dumeril	app_session_817.csv
9C3ED3B5A5704E15826A07D9FF8DEC65	54	216	Test_mix1_beg	2016-04-14T08:27:05.000Z	dumeril	app_session_819.csv
4C0DF5A626FA42A9BFAF26B6CF663125	14	118	Test_mix1_beg	2016-04-14T08:12:54.000Z	dumeril	app_session_820.csv
410A82C51E644B658800F418626D50E9	53	119	Test_mix1_beg	2016-04-14T08:21:39.000Z	dumeril	app_session_821.csv
953860E3A330422593763027863067BA	53	101	Test_mix1_beg	2016-04-05T06:59:37.000Z	fautrier	101_app_session_953860E3A330422593763027863067BA.csv
98BC8B8C72214D1DAED95CE29E6D22C3	49	102	Test_mix1_beg	2016-04-05T07:18:17.000Z	fautrier	102_app_session_98BC8B8C72214D1DAED95CE29E6D22C3.csv
FC8CEEF2DD8E4280BFDAAF71D0F38BE7	53	104	Test_mix1_beg	2016-04-05T08:04:44.000Z	fautrier	104_app_session_FC8CEEF2DD8E4280BFDAAF71D0F38BE7.csv
72321C90E39E4934820AD7F9524AB934	53	105	Test_mix1_beg	2016-04-05T08:22:20.000Z	fautrier	105_app_session_72321C90E39E4934820AD7F9524AB934.csv
2EAEE5BFC200421E84EACAEBCD5FEE74	53	106	Test_mix1_beg	2016-04-05T08:39:04.000Z	fautrier	106_app_session_2EAEE5BFC200421E84EACAEBCD5FEE74.csv
BED2E8D1B7474A81B50C5601B0DD7A8F	46	14	Test_mix2_beg	2016-04-05T07:49:21.000Z	fautrier	14_app_session_BED2E8D1B7474A81B50C5601B0DD7A8F.csv
511CE3AF5780497583C8FD2A89A62AEB	39	17	Test_mix2_beg	2016-04-05T07:20:28.000Z	fautrier	17_app_session_511CE3AF5780497583C8FD2A89A62AEB.csv
893CDF2DADE84F929C2DCFF53CE1523C	50	20	Test_mix1_beg	2016-04-05T07:43:52.000Z	fautrier	20_app_session_893CDF2DADE84F929C2DCFF53CE1523C.csv
B75F9399AEF54C009F821D4655CE0FD4	53	201	Test_mix2_beg	2016-04-05T06:59:58.000Z	fautrier	201_app_session_B75F9399AEF54C009F821D4655CE0FD4.csv
E3281D4DCF324FCE897E1480F2219F2A	49	202	Test_mix2_beg	2016-04-05T08:06:11.000Z	fautrier	202_app_session_E3281D4DCF324FCE897E1480F2219F2A.csv
134FA33F7A6E4F16837963EF1BA4CA66	53	203	Test_mix2_beg	2016-04-05T08:23:36.000Z	fautrier	203_app_session_134FA33F7A6E4F16837963EF1BA4CA66.csv
FC85261ECCD8427B8FC5B7B528C7B78B	37	204	Test_mix2_beg	2016-04-05T08:41:57.000Z	fautrier	204_app_session_FC85261ECCD8427B8FC5B7B528C7B78B.csv
18F719E1B7454C3E824D16E1F129BCFA	54	5	Test_mix2_beg	2016-04-05T07:36:37.000Z	fautrier	5_app_session_18F719E1B7454C3E824D16E1F129BCFA.csv
2FCFC9E3BF284DEE9A1FF6E6F3146A1C	53	112	Test_mix1_beg	2016-04-12T07:29:33.000Z	fautrier	app_session_800.csv
