word	stimulus	name
mano	tocà la mano 	mano_imp
amarillo	tocà el amarillo 	amarillo_imp
correr	tocà el que està sonriendo 	correr_imp
abrir	tocà el que està abriendo algo	abrir_imp
gato	tocà el gato 	gato_imp
perro	tocà el perro 	perro_imp
muñeca	tocà la muñeca 	muneca_imp
boca	tocà la boca 	boca_imp
zapatillas	tocà las zapatillas 	zapatillas_imp
pantalón	tocà el pantalón 	pantalon_imp
casa	tocà la casa 	casa_imp
lavar	tocà el que està lavando 	lavar_imp
tocar	tocà el que està tocando 	tocar_imp
jugar	tocà el que està jugando 	jugar_imp
saltar	tocà el que està saltando 	saltar_imp
limpia	tocà la mano limpia 	limpia_imp
lleno	tocà el vaso lleno 	lleno_imp
rojo	tocà el rojo 	rojo_imp
bicicleta	tocà la bicicleta 	bicicleta_imp
avión	tocà el avión 	avion_imp
camión	tocà el camión 	camion_imp
tren	tocà el tren 	tren_imp
boton	tocà el boton 	boton_imp
tortuga	tocà la tortuga 	tortuga_imp
pato	tocà el pato 	pato_imp
patear	tocà el que està pateando algo	patear_imp
atar	tocà el que està atando algo	atar_imp
reir	tocà el que se està riendo 	reir_imp
atrapar	tocà la que està atrapando algo	atrapar_imp
triste	tocà el hombre triste 	triste_imp
redonda	tocà la forma redonda 	redonda_imp
pesada	tocà la caja pesada 	pesada_imp
pingüino	tocà el pingüino 	pinguino_imp
río	tocà el río 	rio_imp
grupo	tocà el grupo 	grupo_imp
canilla	tocà la canilla 	canilla_imp
bolso	tocà el bolso 	bolso_imp
loro	tocà el loro 	loro_imp
helicóptero	tocà el helicóptero 	helicoptero_imp
lampara	tocà la lampara 	lampara_imp
nadar	tocà el que està nadando 	nadar_imp
inflar	tocà el que està inflando algo	inflar_imp
clavar	tocà el que està clavando 	clavar_imp
rayado	tocà el animal rayado 	rayado_imp
joven	tocà el hombre joven 	joven_imp
oreja	tocà la oreja 	oreja_imp
verde	tocà el verde 	verde_imp
sonreir	tocà el que està sonriendo 	sonreir_imp
tirar	tocà el que està tirando algo	tirar_imp
caballo	tocà el caballo 	caballo_imp
nene	tocà el nene 	nene_imp
mochila	tocà la mochila 	mochila_imp
cabeza	tocà la cabeza 	cabeza_imp
camas	tocà las camas 	camas_imp
lápiz	tocà el lápiz 	lapiz_imp
comida	tocà la comida 	comida_imp
comer	tocà el que està comiendo 	comer_imp
romper	tocà el que està rompiendo 	romper_imp
dormir	tocà el que està durmiendo 	dormir_imp
llorar	tocà el que està llorando 	llorar_imp
sucia	tocà la mano sucia 	sucia_imp
alto	tocà el vaso alto 	alto_imp
grande	tocà el grande 	grande_imp
tijera	tocà la tijera 	tijera_imp
colectivo	tocà el colectivo 	colectivo_imp
gorro	tocà el gorro 	gorro_imp
barco	tocà el barco 	barco_imp
pez	tocà el pez 	pez_imp
mariposa	tocà la mariposa 	mariposa_imp
hombre	tocà el hombre 	hombre_imp
arrancar	tocà el que està arrancando algo	arrancar_imp
pisar	tocà el que està pisando algo	pisar_imp
peinar	tocà el que se està peinando 	peinar_imp
soplar	tocà la que està soplando algo	soplar_imp
contento	tocà el hombre contento 	contento_imp
oscura	tocà la forma oscura 	oscura_imp
rota	tocà la caja rota 	rota_imp
canguro	tocà el canguro 	canguro_imp
bosque	tocà el bosque 	bosque_imp
médico	tocà el médico 	medico_imp
vela	tocà la vela 	vela_imp
mueble	tocà el mueble 	mueble_imp
mosquito	tocà el mosquito 	mosquito_imp
accidente	tocà el accidente 	accidente_imp
empanada	tocà la empanada 	empanada_imp
pescar	tocà el que està pescando 	pescar_imp
atajar	tocà el que està atajando algo	atajar_imp
barrer	tocà el que està barriendo 	barrer_imp
peludo	tocà el animal peludo 	peludo_imp
descalzo	tocà el hombre descalzo 	descalzo_imp
mano	¿Cuál es la mano? Tocala	mano_preg
amarillo	¿Cuál es amarillo? Tocalo	amarillo_preg
correr	¿Cuál está corriendo? Tocalo	correr_preg
abrir	¿Quién está abriendo algo? Tocalo	abrir_preg
gato	¿Cuál es el gato? Tocalo	gato_preg
perro	¿Cuál es el perro? Tocalo	perro_preg
muñeca	¿Cuál es la muñeca? Tocala	muneca_preg
boca	¿Cuál es la boca? Tocala	boca_preg
zapatillas	¿Cuáles son las zapatillas? Tocalas	zapatillas_preg
pantalón	¿Cuál es el pantalón? Tocalo	pantalon_preg
casa	¿Cuál es la casa? Tocala	casa_preg
lavar	¿Cuál está lavando? Tocalo	lavar_preg
