word	stimulus	type	name
peinar	¿Cuál se está peinando? 	preg	peinar_preg
soplar	¿Cuál está soplando algo? 	preg	soplar_preg
arrancar	¿Cuál está arrancando algo? 	preg	arrancar_preg
tirar	¿Cual está tirando algo? 	preg	tirar_preg
llorar	¿Cuál está llorando? 	preg	llorar_preg
atajar	¿Cuál está atajando? 	preg	atajar_preg
pisar	¿Cuál está pisando algo? 	preg	pisar_preg
romper	¿Cuál está rompiendo algo? 	preg	romper_preg
barrer	¿Cuál está barriendo? 	preg	barrer_preg
pescar	¿Cuál está pescando? 	preg	pescar_preg
dormir	¿Cuál está durmiendo? 	preg	dormir_preg
comer	¿Cuál está comiendo? 	preg	comer_preg
sonreir	¿Cuál está sonriendo? 	preg	sonreir_preg
camas	¿Cuáles son las camas? 	preg	camas_preg
empanada	¿Cuál es la empanada? 	preg	empanada_preg
vela	¿Cuál es la vela? 	preg	vela_preg
mariposa	¿Cuál es la mariposa? 	preg	mariposa_preg
tijera	¿Cuál es la tijera? 	preg	tijera_preg
comida	¿Cuál es la comida? 	preg	comida_preg
cabeza	¿Cuál es la cabeza? 	preg	cabeza_preg
mochila	¿Cuál es la mochila? 	preg	mochila_preg
oreja	¿Cuál es la oreja? 	preg	oreja_preg
accidente	¿Cuál es el accidente? 	preg	accidente_preg
mosquito	¿Cuál es el mosquito? 	preg	mosquito_preg
mueble	¿Cuál es el mueble? 	preg	mueble_preg
medico	¿Cuál es el medico? 	preg	medico_preg
bosque	¿Cuál es el bosque? 	preg	bosque_preg
canguro	¿Cuál es el canguro? 	preg	canguro_preg
hombre	¿Cuál es el hombre? 	preg	hombre_preg
pez	¿Cuál es el pez? 	preg	pez_preg
barco	¿Cuál es el barco? 	preg	barco_preg
gorro	¿Cuál es el gorro? 	preg	gorro_preg
colectivo	¿Cuál es el colectivo? 	preg	colectivo_preg
lapiz	¿Cuál es el lapiz? 	preg	lapiz_preg
nene	¿Cuál es el nene? 	preg	nene_preg
caballo	¿Cuál es el caballo? 	preg	caballo_preg
sucia	¿Cuál mano está sucia? 	preg	sucia_preg
oscuro	¿Cuál es la forma oscura? 	preg	oscuro_preg
rota	¿Cuál es la caja rota? 	preg	rota_preg
alto	¿Cuál es el vaso alto? 	preg	alto_preg
descalzo	¿Cuál es el hombre descalzo? 	preg	descalzo_preg
